Gene = Jon74E
index = 1240
Annotated 5SS: [254 578]
Annotated 3SS: [314 664]
SMsplice 5SS: [254 578]
SMsplice 3SS: [314 664]
top_k =  1000
Partition function (log Z): 4.502601485476537

Sorted 5' Splice Sites (High to Low Probability):
Position 254: 0.9969031754182942
Position 578: 0.9968616752932355
Position 448: 0.013995900476625836
Position 955: 0.005982510583567418
Position 611: 0.0018111705893369633
Position 153: 0.0012981457988214197
Position 950: 0.0011412747274875804
Position 557: 0.0005286770212662276
Position 608: 0.0002915843241284611
Position 394: 0.0002784102159711431
Position 319: 0.00019091094238511068
Position 885: 0.00014807610411582506
Position 258: 9.943538908830206e-05
Position 830: 7.02071671355836e-05
Position 797: 3.4114591668312596e-05
Position 194: 3.301622221284164e-05
Position 185: 3.097933084876773e-05
Position 246: 2.6707358212982318e-05
Position 823: 2.3567897532336284e-05
Position 728: 2.087219709667248e-05
Position 265: 1.5431617159707215e-05
Position 476: 1.3880537629031856e-05
Position 157: 1.200290099248782e-05
Position 25: 8.40631102623977e-06
Position 65: 8.397536816552188e-06
Position 205: 7.047172166718729e-06
Position 474: 7.013650075994536e-06
Position 277: 3.6713590038882667e-06
Position 913: 2.956066403494401e-06
Position 286: 1.4536669240980161e-06
Position 865: 8.464676022334293e-07
Position 538: 4.777197672046683e-07
Position 346: 3.240537994302969e-07
Position 838: 3.0254496499356453e-07
Position 88: 2.1182032503148711e-07
Position 140: 1.6998619417755437e-07
Position 54: 1.5126180348067843e-07
Position 964: 8.47979978886326e-08
Position 122: 7.518920417412668e-08
Position 498: 5.997220313235263e-08
Position 36: 2.1083967760901626e-08
Position 709: 1.576164865612261e-08
Position 196: 8.067714282448695e-09
Position 692: 4.294223909136522e-09
Position 697: 3.5581670715239768e-09
Position 981: 2.2182783357324178e-10
Position 975: 4.4843131635827256e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 664: 0.9991522335591172
Position 314: 0.9582516753185373
Position 369: 0.03582862243122174
Position 505: 0.015390438688245798
Position 1012: 0.007127709418781229
Position 394: 0.0011837126611067934
Position 460: 0.0011171271418927906
Position 322: 0.0006716317623530289
Position 843: 0.0003537974083120284
Position 885: 0.000170833439064159
Position 949: 0.00016654617773995798
Position 316: 0.00015422090801332016
Position 425: 0.00012944075503775466
Position 527: 6.66624224077906e-05
Position 205: 3.314017767340645e-05
Position 723: 1.7201138729000483e-05
Position 830: 1.0642607223225562e-05
Position 153: 9.202853496242891e-06
Position 462: 3.3973762511567153e-06
Position 978: 3.2540804801546464e-06
Position 981: 2.6174307736263638e-06
Position 102: 2.5857770414206915e-06
Position 784: 1.3117547610685804e-06
Position 954: 1.1069717965624112e-06
Position 140: 7.868720353923147e-07
Position 518: 7.802595991347178e-07
Position 805: 7.735484772015916e-07
Position 122: 7.5884345899403e-07
Position 900: 3.4620625585423733e-07
Position 346: 3.210109342607329e-07
Position 286: 1.474333568271677e-07
Position 814: 1.2577582506171673e-07
Position 608: 9.24343313084626e-08
Position 277: 8.24683664006337e-08
Position 265: 5.2583685573332414e-08
Position 1044: 2.9204210892927292e-08
Position 254: 1.0716643337413167e-08
Position 270: 3.872399419699544e-09
Position 964: 3.1617273944443787e-09
Position 132: 2.1960196439933402e-09
Position 986: 2.433853359455389e-10
Position 170: 1.9923256712172783e-10
Position 582: 1.88020444841297e-11
Position 173: 1.9428966749554104e-12
Position 163: 1.9219281837741873e-12
Position 258: 8.166981891158329e-13
