Gene = fln
index = 1701
Annotated 5SS: [  72  850 1072]
Annotated 3SS: [ 585  915 1133]
SMsplice 5SS: [369 850]
SMsplice 3SS: [585 915]
top_k =  1000
Partition function (log Z): -4.622443920254666

Sorted 5' Splice Sites (High to Low Probability):
Position 850: 0.9831024899487081
Position 369: 0.5436443573901059
Position 1072: 0.3014128359862176
Position 72: 0.1544931160265813
Position 1089: 0.09560533987804556
Position 534: 0.07262836793019957
Position 1248: 0.05535484302347008
Position 204: 0.04686590612220692
Position 244: 0.037714775084521236
Position 192: 0.019963540428475205
Position 201: 0.011590702323120813
Position 398: 0.010459826813573417
Position 1266: 0.007291854099248401
Position 457: 0.004966647258591767
Position 1095: 0.0037399073061723485
Position 132: 0.003375196214364139
Position 767: 0.0030800555035205694
Position 305: 0.0025784742098766125
Position 66: 0.002555774228517653
Position 1472: 0.0024713583424389256
Position 471: 0.0024477920893117865
Position 864: 0.0022202210640971656
Position 1319: 0.0021056500011293294
Position 1077: 0.001985795670564146
Position 1574: 0.001939999993627562
Position 481: 0.0018903874998162464
Position 1334: 0.001460778895299558
Position 1492: 0.0011281716566306822
Position 1563: 0.0010341314002864901
Position 411: 0.0008180163477002629
Position 52: 0.000679918234127836
Position 173: 0.0006094119477249118
Position 32: 0.000606411074820118
Position 258: 0.0005231076446429283
Position 1104: 0.0005124217060413648
Position 421: 0.0004932229331190811
Position 1386: 0.00047436535516054033
Position 1519: 0.00044984098152208064
Position 889: 0.00039373211083061567
Position 845: 0.00035915504389445854
Position 19: 0.0003462866059531666
Position 974: 0.00031478694689042447
Position 869: 0.0002736656933235277
Position 159: 0.00026425925134885685
Position 465: 0.00025285785056375506
Position 879: 0.00021379189312821327
Position 884: 0.0002007906819688758
Position 435: 0.00018784772512054525
Position 1322: 0.00017714448365584097
Position 1378: 0.00016034387891440563
Position 1501: 0.00012816530893443857
Position 854: 0.00011328547248234421
Position 147: 0.00010522546744631046
Position 1036: 8.697381182765594e-05
Position 372: 7.193239194553794e-05
Position 509: 7.14362333982538e-05
Position 810: 6.122465745104704e-05
Position 109: 4.752177019153223e-05
Position 1282: 4.1424035907636295e-05
Position 6: 3.602146590802679e-05
Position 1444: 3.5290313368201135e-05
Position 1382: 3.2035290645081035e-05
Position 77: 2.7873608816193242e-05
Position 1363: 2.5714441693446715e-05
Position 1296: 1.8849507884289043e-05
Position 401: 1.6892474492907805e-05
Position 824: 1.2029793433692557e-05
Position 330: 5.172339075851363e-06
Position 92: 4.479522118058802e-06
Position 542: 3.8225815463755806e-06
Position 403: 3.4084665429525894e-06
Position 103: 3.068282455103044e-06
Position 1047: 2.2238874727979274e-06
Position 943: 9.934930994907522e-07
Position 1110: 7.151561631793208e-07
Position 1107: 4.645732464178114e-07
Position 922: 4.4217367991273623e-07
Position 693: 3.513340773596506e-07
Position 289: 3.4138570213436985e-07
Position 1049: 2.0815209728555922e-07
Position 1152: 1.7236513887106877e-07
Position 722: 1.0814427266008769e-07
Position 1093: 9.069384678860447e-08
Position 585: 1.153648784492485e-11
Position 695: 7.865818066200369e-15
Position 725: 7.703067248520901e-15

Sorted 3' Splice Sites (High to Low Probability):
