Gene = tra
index = 1916
Annotated 5SS: [ 47 699]
Annotated 3SS: [294 755]
SMsplice 5SS: [ 47 699]
SMsplice 3SS: [119 755]
top_k =  1000
Partition function (log Z): -4.7278750388701525

Sorted 5' Splice Sites (High to Low Probability):
Position 699: 0.9431571103987773
Position 47: 0.5939065849360594
Position 61: 0.12177997276500356
Position 405: 0.02346157736810553
Position 638: 0.013385932128731457
Position 256: 0.009468354702573407
Position 422: 0.003055781283769436
Position 703: 0.002268547638287584
Position 678: 0.001853107269413139
Position 228: 0.0014390967884467954
Position 219: 0.001016909571937913
Position 706: 0.0009564479839886191
Position 311: 0.0008172157341470272
Position 672: 0.00041829811567855175
Position 713: 0.00015586804297974986
Position 766: 8.327988569498308e-05
Position 604: 1.8791031182468635e-05
Position 389: 1.1344348840152841e-05
Position 104: 1.1207429671691123e-05
Position 29: 7.443266959301286e-06
Position 595: 7.386041892277045e-06
Position 565: 6.6942878480030345e-06
Position 138: 4.015797796389112e-06
Position 91: 2.310061161698732e-06
Position 129: 1.912011067561562e-06
Position 556: 1.5650937778410347e-06
Position 778: 1.3624864389597754e-06
Position 488: 1.2342793791278846e-06
Position 107: 1.0669037849070072e-06
Position 619: 9.794396731152074e-07
Position 301: 5.665264000932362e-07
Position 121: 3.042535046866568e-07
Position 131: 2.707794456292965e-07
Position 491: 1.6449389464532513e-07
Position 580: 1.3142630142278327e-07
Position 119: 4.104946472552778e-08
Position 812: 1.6230725308138992e-08
Position 761: 1.4019143948175547e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 755: 0.9606636501954731
Position 119: 0.6733928627970194
Position 475: 0.02242475298095285
Position 399: 0.022302737326287764
Position 294: 0.018457856248928303
Position 773: 0.004232955695885964
Position 460: 0.003822188233857367
Position 310: 0.0035552699365132842
Position 793: 0.0023629844383467316
Position 171: 0.002111553621562981
Position 481: 0.0012759102985712117
Position 778: 0.0008659512285923585
Position 832: 0.00038409437790877174
Position 556: 0.00025597255732857357
Position 589: 0.00020642710785443973
Position 499: 0.0001780520199482422
Position 333: 0.00015699209079251484
Position 260: 0.0001075054396995541
Position 656: 8.38110511062899e-05
Position 562: 6.646477747295168e-05
Position 565: 6.461922593882012e-05
Position 352: 4.602503312247597e-05
Position 514: 4.5444154475527266e-05
Position 604: 3.7659868880920365e-05
Position 535: 2.4440507147430462e-05
Position 91: 2.293886891514281e-05
Position 442: 2.1475864990568488e-05
Position 689: 2.1066036463161664e-05
Position 538: 1.6980701856841498e-05
Position 367: 1.64271379197219e-05
Position 508: 1.0103270272622604e-05
Position 198: 9.10965116681216e-06
Position 488: 8.645593869237116e-06
Position 175: 7.125331441290976e-06
Position 364: 5.764453483017197e-06
Position 430: 5.255405545609775e-06
Position 331: 4.369720791653979e-06
Position 527: 3.979825897341342e-06
Position 416: 3.2220250334534255e-06
Position 517: 3.0224566719293827e-06
Position 601: 2.6059018570472286e-06
Position 595: 2.4124805723973025e-06
Position 880: 1.6416756559774008e-06
Position 177: 1.483217488939079e-06
Position 842: 1.4402403679940764e-06
Position 356: 1.2982559700131774e-06
Position 151: 1.2377176667778256e-06
Position 186: 1.1729581157654546e-06
Position 411: 1.1608867840639765e-06
Position 703: 1.0544082752919194e-06
Position 706: 8.812753114930833e-07
Position 383: 5.267698914564697e-07
Position 183: 2.3362742417656694e-07
Position 678: 4.409290286830203e-08
Position 404: 4.193130619058796e-08
Position 190: 1.107850462466721e-09
Position 327: 7.201885110764683e-10
Position 79: 4.3738074798542036e-10
Position 181: 4.29732253448444e-10
Position 377: 8.892866509202238e-11
Position 374: 8.165332303555352e-11
Position 371: 7.507804897938289e-12
Position 358: 1.1309139213203066e-12
