Gene = CIAPIN1
index = 1043
Annotated 5SS: [ 222  808 2287]
Annotated 3SS: [ 310  875 2340]
SMsplice 5SS: [222 808]
SMsplice 3SS: [310 875]
top_k =  1000
Partition function (log Z): -3.967817074038048

Sorted 5' Splice Sites (High to Low Probability):
Position 808: 0.975315031549171
Position 222: 0.5620618543624261
Position 241: 0.21002975965871004
Position 1005: 0.20914269657897236
Position 1766: 0.1977173420135749
Position 2287: 0.0640174636185113
Position 1466: 0.03263744114167728
Position 269: 0.029463356180107723
Position 1706: 0.028973312222107712
Position 245: 0.027407775094741293
Position 943: 0.02396909065810965
Position 1074: 0.02007167670900515
Position 829: 0.019432021001589143
Position 951: 0.011640847560175685
Position 243: 0.007698359019850878
Position 236: 0.005828256055118376
Position 2060: 0.005330794913750158
Position 1033: 0.002011593868644985
Position 1745: 0.0016409378307281745
Position 1796: 0.001553517306414669
Position 247: 0.0013081797477382633
Position 1343: 0.0013012869717007785
Position 2242: 0.0010546369332722892
Position 226: 0.0006462986007592755
Position 1478: 0.00043435263412236886
Position 1691: 0.0003642641721441948
Position 249: 0.00031000486582435986
Position 231: 0.00030008703810484663
Position 1434: 0.0002952333469022291
Position 1457: 0.00027994544814419035
Position 2245: 0.0001941624438224997
Position 21: 0.00019115075338129052
Position 203: 0.00015856956063293497
Position 47: 0.0001244639249415453
Position 1929: 0.00011257216106842712
Position 1220: 0.00011049868273713373
Position 792: 0.00010004927255015123
Position 1302: 9.135012044330317e-05
Position 1304: 6.974810836167624e-05
Position 376: 6.872055977209736e-05
Position 1916: 6.738764225215968e-05
Position 552: 5.385924845021262e-05
Position 1418: 5.313835495747447e-05
Position 37: 4.074731918131733e-05
Position 1682: 3.9509646242848694e-05
Position 1260: 3.787432799525525e-05
Position 1502: 2.979626387925345e-05
Position 2448: 2.880281061666252e-05
Position 371: 2.4261974440101648e-05
Position 434: 2.335460776693822e-05
Position 1504: 2.2540494949249315e-05
Position 1111: 2.2262557721163758e-05
Position 1548: 2.0336802604417104e-05
Position 273: 1.9987518788167956e-05
Position 1392: 1.89227983644999e-05
Position 1410: 1.5367750480970737e-05
Position 254: 1.4241725066569977e-05
Position 102: 9.298232619193713e-06
Position 1526: 9.087913804142337e-06
Position 155: 7.154889518056184e-06
Position 188: 6.144700061118356e-06
Position 685: 4.9893180780324e-06
Position 1213: 4.392369334081717e-06
Position 1129: 3.5056368638285286e-06
Position 1147: 3.0462964322248188e-06
Position 812: 2.7708571495406106e-06
Position 42: 2.6513802987767322e-06
Position 1271: 2.6122500208165532e-06
Position 800: 2.1548944017072075e-06
Position 833: 1.9597421146544686e-06
Position 1341: 1.9389664238545345e-06
Position 446: 1.8125324980360708e-06
Position 1694: 1.6298740058789573e-06
Position 217: 1.3182072407389007e-06
Position 351: 1.178920162258905e-06
Position 1640: 8.971478052825213e-07
Position 677: 8.560273658867628e-07
Position 423: 8.370498530799048e-07
Position 1066: 7.654086240981352e-07
Position 589: 5.753035112101948e-07
Position 689: 4.4411613595037705e-07
Position 1193: 4.433533547189637e-07
Position 605: 3.795012564369997e-07
Position 1332: 2.9113155059394813e-07
Position 1497: 2.5517792303992714e-07
Position 421: 2.419396303065685e-07
Position 343: 2.3763377682349618e-07
Position 1241: 2.340180030351918e-07
Position 578: 1.4255745741196076e-07
