Gene = mus312
index = 1808
Annotated 5SS: [ 232  506 1108 2100 2205]
Annotated 3SS: [ 296  583 1166 2159 2260]
SMsplice 5SS: [ 232  506 1108 2100 2205]
SMsplice 3SS: [ 296  583 1166 2159 2260]
top_k =  1000
Partition function (log Z): 6.5484718458042845

Sorted 5' Splice Sites (High to Low Probability):
Position 1108: 0.9993726323488287
Position 506: 0.9875505935744601
Position 232: 0.9752426833801011
Position 2100: 0.9477677269636956
Position 2205: 0.9417853602214922
Position 2422: 0.4698935725078752
Position 1407: 0.02274904918152036
Position 2308: 0.018797492430949626
Position 3676: 0.009673158940130454
Position 4158: 0.0072673328806886674
Position 65: 0.007043062567865106
Position 3017: 0.006051995773097069
Position 4171: 0.005990725704762479
Position 2662: 0.005468635422624738
Position 3552: 0.005406185958326056
Position 1624: 0.005319677088624551
Position 35: 0.005268107975029805
Position 1487: 0.004463302234238643
Position 1212: 0.003940891546029893
Position 1658: 0.0032072046911613326
Position 2457: 0.002458886376153812
Position 2467: 0.0021430530654640294
Position 1928: 0.0018068273516585124
Position 2074: 0.0014008189136156316
Position 1645: 0.001290237640059405
Position 2869: 0.001169588125531631
Position 3478: 0.0010275842803281411
Position 3972: 0.0010108551289723948
Position 2209: 0.0008709968327165926
Position 2448: 0.000836181887952566
Position 255: 0.0007612787919840633
Position 2223: 0.0006995997964239887
Position 1560: 0.0006480531102621181
Position 3451: 0.0005914314717724585
Position 2390: 0.00046599319812637034
Position 2693: 0.0003719586453455435
Position 4187: 0.00033323227320440266
Position 4123: 0.00027653071023666325
Position 1225: 0.0002732432882721244
Position 2374: 0.00023887363467053083
Position 1632: 0.00020945727056932494
Position 45: 0.00020850264782371284
Position 1761: 0.00020399647912672532
Position 811: 0.00016183649136808628
Position 72: 0.00013512385088095154
Position 1982: 0.0001254271175483772
Position 1134: 9.762415818737799e-05
Position 3697: 9.651610926580693e-05
Position 1370: 9.413854424702982e-05
Position 1721: 9.348214143752887e-05
Position 2624: 8.617530792841388e-05
Position 1469: 7.874590030321499e-05
Position 1237: 7.862447430047582e-05
Position 263: 7.327984877979854e-05
Position 1961: 7.06063597017303e-05
Position 3724: 7.027772531447832e-05
Position 1079: 6.773050713555346e-05
Position 806: 5.737553872236329e-05
Position 2298: 4.687795554754939e-05
Position 1350: 4.6744611523298794e-05
Position 1994: 3.902376251074415e-05
Position 1017: 3.505167274387318e-05
Position 1794: 3.401594329466266e-05
Position 1691: 3.3239449817242575e-05
Position 853: 3.047956784110414e-05
Position 169: 3.0186335768780183e-05
Position 2081: 2.85093333130523e-05
Position 663: 2.5480104081093922e-05
Position 973: 2.0771534333397063e-05
Position 1112: 1.8125508591098757e-05
Position 212: 1.4991218678184365e-05
