Gene = Ndfip
index = 1313
Annotated 5SS: [289]
Annotated 3SS: [5033]
SMsplice 5SS: [289]
SMsplice 3SS: [5033]
top_k =  1000
Partition function (log Z): -11.368333337290494

Sorted 5' Splice Sites (High to Low Probability):
Position 3450: 0.7206368923693173
Position 289: 0.6306464593096149
Position 3722: 0.32903939141192073
Position 1344: 0.29477434802696045
Position 1825: 0.2705439304320435
Position 465: 0.05847164999311844
Position 59: 0.04620886390388855
Position 6405: 0.03729803468113477
Position 4903: 0.03569853135911195
Position 3274: 0.030077273420798738
Position 4047: 0.027140027403974944
Position 5144: 0.024769647241416698
Position 3954: 0.023810076660912408
Position 475: 0.020974871711967217
Position 4297: 0.019409684927903317
Position 473: 0.01501478815088977
Position 219: 0.014260445731645498
Position 631: 0.010812846916919418
Position 469: 0.009388542567869924
Position 1603: 0.009081131993661042
Position 161: 0.008735025607814622
Position 1875: 0.008563000160572968
Position 1680: 0.008072043239102827
Position 4841: 0.007852415201810826
Position 4270: 0.007120935757967799
Position 2510: 0.0069790275754244725
Position 5767: 0.004962496553523615
Position 5300: 0.004675812577683717
Position 5290: 0.0039031766254957415
Position 3985: 0.003822314614434818
Position 4899: 0.003279720540494192
Position 479: 0.0029132173305612707
Position 3565: 0.0024672242495873517
Position 1831: 0.002021618929796739
Position 544: 0.0017834675647853179
Position 2506: 0.0017054069764978678
Position 349: 0.0016251403467660815
Position 4022: 0.0015335721933181598
Position 1174: 0.0015301091285911
Position 4120: 0.0013639520301698214
Position 776: 0.0011597044950369282
Position 4559: 0.0010187101482376768
Position 2019: 0.0007927226499036473
Position 600: 0.0006445566411385109
Position 4040: 0.0005988952553264447
Position 5882: 0.000579564956266646
Position 28: 0.0003978217108126703
Position 1660: 0.00039591250580928963
Position 766: 0.00036666490516187774
Position 462: 0.00034227528227053123
Position 1771: 0.0003350915967118485
Position 3544: 0.00031769612433612464
Position 770: 0.0002643159079849861
Position 1637: 0.00025567564150306635
Position 1374: 0.00021266071576270327
Position 4241: 0.0002076000510425571
Position 594: 0.00019817076814526371
Position 1246: 0.00019426227794564808
Position 3880: 0.0001882719512796523
Position 3736: 0.0001807927458165521
Position 1495: 0.0001363186563181598
Position 150: 9.491227120085516e-05
Position 94: 3.7874111780948006e-05
Position 89: 3.3418649295328486e-05
Position 1052: 3.195108984380503e-05
Position 1587: 3.159531190413878e-05
Position 598: 2.0323145547421055e-05
Position 485: 2.0149712855665542e-05
Position 400: 1.9982038092967124e-05
Position 1607: 1.720104311733742e-05
Position 2033: 1.7162984930314895e-05
Position 1530: 1.6640907507578372e-05
Position 566: 1.6528901308605747e-05
Position 1915: 1.5656932557068826e-05
Position 25: 1.4879176491752793e-05
Position 582: 1.3356827779814926e-05
Position 22: 9.626856583422329e-06
Position 4094: 8.703110083036228e-06
Position 477: 7.2531207325636855e-06
Position 167: 3.824546097404557e-06
Position 606: 3.693362577024574e-06
Position 653: 3.5667399021525017e-06
Position 778: 3.1161837122830417e-06
Position 182: 2.8492138463435513e-06
Position 363: 2.6171194968023527e-06
Position 68: 2.340910892321514e-06
Position 1225: 1.6413815925056895e-06
Position 1722: 1.0922520709713747e-06
Position 159: 1.0616908085453692e-06
Position 36: 6.560178693639296e-07
Position 493: 5.727557874526207e-07
Position 1356: 5.522779456133231e-07
Position 1239: 4.938306039366213e-07
Position 165: 4.3989247158404995e-08
Position 487: 1.6940085396059492e-08
Position 498: 1.382613757166697e-08
Position 130: 9.868224729638118e-09
Position 909: 4.697470420305974e-09
Position 1306: 3.82200971271573e-09
Position 673: 2.713306350456442e-09
Position 124: 1.8739484764382206e-09
Position 780: 1.7625496634068145e-09
Position 592: 4.3426200235525227e-10
Position 895: 1.479717249593101e-10
Position 1055: 1.0274763327467881e-10
Position 698: 4.1219500719254703e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 3520: 0.6680184895828788
Position 5033: 0.566749361783355
Position 3319: 0.2919024295270777
Position 1400: 0.14990308314445028
Position 354: 0.08619656642599928
Position 4832: 0.08586639594412813
Position 3134: 0.07602890885727125
Position 529: 0.06496730762838258
Position 3653: 0.06433312002900209
Position 1419: 0.06218761590615008
Position 3131: 0.05705726855287697
Position 2461: 0.043980457918890305
Position 1738: 0.042988402712673214
Position 2503: 0.04236981526204927
Position 6199: 0.040123900017899304
Position 3400: 0.036276581264181255
Position 6479: 0.03406649268184473
