Gene = Dim1
index = 1136
Annotated 5SS: [164]
Annotated 3SS: [262]
SMsplice 5SS: [164]
SMsplice 3SS: [262]
top_k =  1000
Partition function (log Z): -7.285061136369318

Sorted 5' Splice Sites (High to Low Probability):
Position 615: 0.6784958027682173
Position 164: 0.6444300268721885
Position 400: 0.06706766506332165
Position 601: 0.039857765185154284
Position 263: 0.039018476906133234
Position 380: 0.030848172102855533
Position 338: 0.016833421111518497
Position 7: 0.008318360155479532
Position 168: 0.005778261356241522
Position 555: 0.005340898877322701
Position 158: 0.003062740698648153
Position 177: 0.0029121416690761847
Position 59: 0.002657161883265964
Position 216: 0.0024828643334387783
Position 26: 0.002200477370295258
Position 201: 0.0015499654366440616
Position 181: 0.0012068006971370712
Position 572: 0.0008311555538314104
Position 161: 0.0005278453456796079
Position 624: 0.0005153959170176042
Position 549: 0.00044030428404222835
Position 125: 0.0002248263437156426
Position 409: 0.00018712565193346891
Position 11: 0.00016082294206632165
Position 406: 0.0001393434726748407
Position 365: 0.00010868819531798726
Position 319: 0.00010417027623745174
Position 425: 9.299473920655183e-05
Position 539: 7.382390034212773e-05
Position 567: 5.410003623976646e-05
Position 619: 3.912410288816379e-05
Position 91: 9.708541524991254e-06
Position 564: 7.670935535289212e-06
Position 276: 6.673776078024723e-06
Position 314: 6.248209258331627e-06
Position 640: 5.426211978242704e-06
Position 530: 3.385422896534375e-06
Position 36: 1.955416378702786e-06
Position 353: 1.596163337658951e-06
Position 430: 1.2769338231278103e-06
Position 541: 1.2584852565577883e-06
Position 575: 9.852137860993868e-07
Position 42: 9.347826565177723e-07
Position 250: 6.703522279966578e-07
Position 270: 1.3461680222410852e-07
Position 88: 8.142880657634953e-08
Position 647: 7.113933506035115e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 262: 0.5579022521109637
Position 686: 0.4415146694147718
Position 659: 0.2792060548480921
Position 448: 0.1632970047392773
Position 231: 0.07166380212962627
Position 324: 0.027387295679138723
Position 689: 0.008095678534995402
Position 84: 0.002439906671730562
Position 124: 0.0016825422145438221
Position 337: 0.0011446754348698198
Position 487: 0.0005491081784286205
Position 245: 0.0003474559641809413
Position 606: 0.00011921166358743651
Position 397: 0.0001034000938092454
Position 313: 5.411265949384853e-05
Position 505: 3.094342034648597e-05
Position 511: 1.9218215314060548e-05
Position 640: 1.809918002871831e-05
Position 343: 4.963435189571534e-06
Position 514: 4.402202814784144e-06
Position 575: 4.389707165423303e-06
Position 614: 4.2635572645884805e-06
Position 601: 3.174575198223409e-06
Position 379: 2.823357121351491e-06
Position 406: 2.043613950636009e-06
Position 177: 1.4504939542740895e-06
Position 559: 1.324544504238123e-06
Position 133: 1.2126980402772796e-06
Position 586: 9.426868251394579e-07
Position 190: 7.052689078783493e-07
Position 148: 5.699813168906274e-07
Position 187: 5.606308209169438e-07
Position 334: 4.136167699096673e-07
Position 151: 7.58371100446728e-08
Position 517: 5.3146889811647815e-08
Position 161: 2.114287941525437e-10
Position 206: 9.296805584516791e-11
Position 168: 5.549666355503076e-11
Position 158: 1.0877547401110798e-11
