Gene = Spindly
index = 1513
Annotated 5SS: [ 550  780 1062 1262 1501]
Annotated 3SS: [ 613  845 1119 1401 1560]
SMsplice 5SS: [ 550  780 1062 1501]
SMsplice 3SS: [ 613  845 1119 1560]
top_k =  1000
Partition function (log Z): 6.685058573532827

Sorted 5' Splice Sites (High to Low Probability):
Position 1501: 0.9958010361212694
Position 550: 0.9934553121731338
Position 1062: 0.9887719625564703
Position 780: 0.9650151065100688
Position 1262: 0.21818562328168944
Position 1359: 0.11060884652216968
Position 1354: 0.03852870294026097
Position 783: 0.026748323968477566
Position 1223: 0.009794402958489304
Position 1940: 0.008065905262456517
Position 1865: 0.006359558563582383
Position 2735: 0.005694853774207293
Position 1992: 0.005319827400140698
Position 2477: 0.005236269371298881
Position 2252: 0.004729729044152514
Position 1706: 0.004569836952749189
Position 1313: 0.0025729098167425082
Position 405: 0.002561264011140496
Position 2745: 0.002462713411168647
Position 728: 0.001560169242515707
Position 417: 0.0013579278541409755
Position 1066: 0.0012242742991595158
Position 343: 0.0011336129591219591
Position 2042: 0.0008479576731397518
Position 2732: 0.0008236646962665968
Position 535: 0.0005739728109993963
Position 641: 0.0005350350728433673
Position 1340: 0.0004813646511212526
Position 2292: 0.00047042180128428865
Position 501: 0.00036638229106741263
Position 476: 0.0003511817307304608
Position 1916: 0.0002731310139294594
Position 1798: 0.0002451968534661086
Position 1959: 0.00023312957960173236
Position 1712: 0.00020507813353449456
Position 1083: 0.00019144155876970343
Position 569: 0.00017160727581865283
Position 2690: 0.00016897010821541206
Position 1922: 0.00015548081745448615
Position 1281: 0.0001498987330802694
Position 1227: 0.00012050933617665399
Position 1268: 0.00010506907021187572
Position 1660: 0.00010464288266574137
Position 1087: 0.00010338010630860225
Position 2129: 8.403065052197142e-05
Position 2673: 7.545573725574636e-05
Position 1023: 7.470505077783126e-05
Position 2297: 6.709628610524775e-05
Position 2217: 5.9525531044025014e-05
Position 1041: 5.337774722800993e-05
Position 978: 4.719589065954868e-05
Position 1710: 4.2711633325271714e-05
Position 2175: 3.9014882023867466e-05
Position 2727: 2.925741449465201e-05
Position 288: 2.7801107877300704e-05
Position 2578: 1.8499188416391874e-05
Position 1826: 1.697534038132728e-05
Position 1481: 1.6953456174252017e-05
Position 2853: 1.6333681359783286e-05
Position 84: 1.3927881615968416e-05
Position 2257: 1.357998978116477e-05
Position 2421: 1.0244008036675997e-05
Position 2225: 8.828850680075678e-06
Position 281: 7.671457267841566e-06
Position 711: 7.189237605453009e-06
Position 1868: 6.075420447445289e-06
Position 195: 4.827837013520104e-06
Position 33: 4.768208690172656e-06
Position 11: 4.311273783155711e-06
Position 449: 3.818427026708184e-06
Position 1108: 3.1779544734042484e-06
Position 224: 2.581414675876669e-06
Position 76: 1.9360504490411418e-06
Position 995: 1.4914367292796689e-06
Position 316: 8.139162325244093e-07
Position 875: 5.623003433560603e-07
