Gene = GXIVsPLA2
index = 1178
Annotated 5SS: [214 452]
Annotated 3SS: [291 514]
SMsplice 5SS: [214 452]
SMsplice 3SS: [291 514]
top_k =  1000
Partition function (log Z): -5.204243996633599

Sorted 5' Splice Sites (High to Low Probability):
Position 452: 0.8099655378923838
Position 214: 0.5880224785304734
Position 219: 0.11065934923475759
Position 233: 0.0949233426707518
Position 457: 0.08485839636271313
Position 476: 0.03178055347459065
Position 498: 0.029102177354873995
Position 244: 0.02074471644039992
Position 6: 0.009148687685955956
Position 454: 0.007353958197032865
Position 1031: 0.002998129874538562
Position 58: 0.0027988107850183937
Position 890: 0.0027492666798905364
Position 980: 0.0023459663679871053
Position 1048: 0.001425186713510407
Position 696: 0.0012120468872253874
Position 145: 0.0006857176353233569
Position 996: 0.0005489509830483533
Position 1238: 0.00047362463546822504
Position 1010: 0.0003962381925916906
Position 708: 0.00021258814331167686
Position 1092: 0.00017641536761297256
Position 957: 0.00015325661847845492
Position 63: 0.00014269709577987378
Position 1269: 0.00012789658931582456
Position 358: 0.00011485436389367928
Position 254: 9.38940321266042e-05
Position 1026: 9.31317956629891e-05
Position 902: 8.981266577360065e-05
Position 385: 8.276929476624615e-05
Position 208: 8.003923408723523e-05
Position 675: 7.418626231878518e-05
Position 1017: 6.244382658305324e-05
Position 702: 4.746247558278524e-05
Position 46: 3.798045546998056e-05
Position 500: 2.6872786826724617e-05
Position 1024: 2.364876936169864e-05
Position 1127: 2.2883812932438828e-05
Position 269: 2.2818999771166344e-05
Position 1035: 1.6537532802136958e-05
Position 1220: 1.361258260891598e-05
Position 1183: 1.0256429963348262e-05
Position 260: 8.146131568026621e-06
Position 502: 6.508535844858949e-06
Position 1273: 5.40692827662759e-06
Position 1104: 5.367941339899355e-06
Position 1217: 3.583394268844233e-06
Position 1118: 3.457099902819383e-06
Position 423: 3.4300185977713317e-06
Position 329: 3.071063754220224e-06
Position 376: 2.6681776910455287e-06
Position 1029: 2.4115207274334975e-06
Position 1202: 2.059713303817227e-06
Position 29: 1.8628961790202786e-06
Position 129: 1.5399916328059563e-06
Position 165: 9.64309665848506e-07
Position 729: 4.563054711332585e-07
Position 352: 9.995167510432951e-09
Position 563: 8.463117200856071e-09
Position 334: 7.361797511436914e-09
Position 336: 4.035331696412742e-09
Position 566: 2.8277274844375027e-09
Position 400: 2.5223656059894557e-09
Position 623: 1.9701707389754545e-09
Position 526: 1.735322884786301e-09
Position 537: 3.1976054437902125e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 514: 0.896376207009207
Position 291: 0.755605946533305
Position 556: 0.08315576408495136
Position 310: 0.03157474048285298
Position 342: 0.007553480269401084
Position 58: 0.007390865695120962
Position 1104: 0.007103854711539912
Position 296: 0.0026375786586265632
Position 1291: 0.002561697023859793
Position 118: 0.0021809247806003846
Position 1160: 0.0019348671526781941
Position 1035: 0.0013000037140909178
Position 63: 0.0009724601411477578
Position 129: 0.0007570898248250746
Position 1051: 0.00048525712185891077
Position 187: 0.0004291303388418338
Position 352: 0.000391810720629643
Position 834: 0.00021825568988215638
Position 719: 0.00019297604517891823
Position 756: 0.00017939833524415684
Position 1317: 0.0001630858204938443
Position 384: 0.00011672017623266206
Position 318: 0.00010557916773303392
Position 765: 6.847712413647619e-05
Position 91: 6.087918278345623e-05
Position 1343: 5.940670735157577e-05
Position 537: 5.870794834763422e-05
Position 884: 5.518216721086926e-05
Position 521: 5.104297240138236e-05
Position 587: 4.579804401227708e-05
Position 662: 3.158284711844581e-05
Position 423: 2.307785018421766e-05
Position 831: 2.123421578241773e-05
Position 1232: 1.4788515413730883e-05
Position 1331: 1.2423609551764472e-05
Position 609: 1.0904225730523757e-05
Position 488: 1.0792656233862838e-05
Position 962: 7.964125799036468e-06
Position 736: 7.429991987048509e-06
Position 236: 6.523535153145823e-06
Position 861: 6.023263233488437e-06
Position 888: 4.008853949496815e-06
Position 144: 4.0045816554033094e-06
Position 1269: 3.629018441307113e-06
Position 939: 3.110373770439894e-06
Position 200: 2.9390699382276214e-06
Position 612: 1.7394855123011016e-06
Position 592: 1.5831484736656416e-06
Position 1123: 1.546640573522754e-06
Position 531: 1.401401138220212e-06
Position 957: 1.3439178187373058e-06
Position 905: 1.222188669427513e-06
Position 208: 1.14528435824415e-06
Position 740: 8.656827363221611e-07
Position 218: 8.538057182277992e-07
Position 248: 4.223732168290269e-07
Position 451: 2.3651917246072035e-07
Position 254: 1.2910424551961192e-07
Position 445: 4.882752691278411e-08
Position 693: 4.545833860777732e-09
Position 729: 6.790049344637876e-10
Position 672: 3.5253068908961354e-10
Position 408: 2.8591383255030676e-10
Position 581: 4.0273269987624035e-11
Position 708: 1.4782754353627938e-11
Position 250: 2.155486880072299e-18
