Gene = RhoGAP68F
index = 1422
Annotated 5SS: [  84 1261 2510 2609 2862]
Annotated 3SS: [1094 2383 2575 2665 2924]
SMsplice 5SS: [  84 1261 2510 2609 2862]
SMsplice 3SS: [1094 2383 2572 2665 2924]
top_k =  1000
Partition function (log Z): 0.2699251107565681

Sorted 5' Splice Sites (High to Low Probability):
Position 1261: 0.9914084339710469
Position 2862: 0.9883747541286181
Position 2510: 0.8664056109268111
Position 2609: 0.7541455886501061
Position 84: 0.5771897165703828
Position 3081: 0.23575475757821612
Position 2160: 0.09661025522003609
Position 924: 0.07997321925495884
Position 2304: 0.05778772498702183
Position 1050: 0.03174425531813169
Position 461: 0.029364511515476244
Position 44: 0.024242603816747223
Position 234: 0.021147526462717867
Position 934: 0.015325073794406813
Position 3078: 0.012998133186563086
Position 361: 0.011893963390588904
Position 834: 0.011765868634800709
Position 150: 0.009226954412707418
Position 118: 0.008724195244508064
Position 548: 0.008673412633694031
Position 442: 0.008334893636411118
Position 183: 0.006089306290777828
Position 2034: 0.005817255340245912
Position 959: 0.005488865890296054
Position 3088: 0.005050271636631281
Position 447: 0.00468753649470329
Position 870: 0.004466088654073757
Position 1938: 0.004465931564554943
Position 2692: 0.004033783580957064
Position 3085: 0.0038745960532664786
Position 174: 0.0029084859005142146
Position 1038: 0.002503937086851993
Position 3993: 0.0022420467208611604
Position 3983: 0.0020727717862556016
Position 571: 0.001664244582959137
Position 838: 0.0015779722044706325
Position 1951: 0.001558045075001595
Position 221: 0.0015421040552627654
Position 445: 0.0015410539980903108
Position 3099: 0.0015260145582136236
Position 3102: 0.0012422884038666528
Position 3987: 0.0011903616595449532
Position 2193: 0.0011582822075062353
Position 3112: 0.0010868603066574863
Position 459: 0.0010701489026205698
Position 196: 0.0010640129202653735
Position 2857: 0.0009156162860237761
Position 522: 0.0008073619031244072
Position 3420: 0.000770279961920905
Position 552: 0.0007615781233781055
Position 473: 0.0006571377441147276
Position 1445: 0.0006222459993765669
Position 2132: 0.000616881960713882
Position 355: 0.0005989948464748671
Position 2469: 0.0005658147925398677
Position 71: 0.0005650233071507096
Position 1451: 0.0005159769307130624
Position 1497: 0.0004630345680821459
Position 1935: 0.0004572460439658315
Position 4013: 0.0004342993134481487
Position 357: 0.0003951602733367793
Position 213: 0.00038657920847244386
Position 3948: 0.0003385975051422831
Position 1826: 0.0003299121205446528
Position 1487: 0.0003160946674541033
Position 33: 0.0002766729136182657
Position 719: 0.0002762264113459603
Position 4140: 0.0002761353795623149
Position 711: 0.00019965040763273378
Position 3353: 0.00019654343186259734
Position 699: 0.0001815335829026085
Position 290: 0.0001610804179289068
Position 618: 0.00013549734094982563
Position 2079: 0.00012602175621551082
Position 536: 0.00011915508386952998
Position 3818: 0.00011567889349801065
Position 2879: 0.0001118023172651123
Position 407: 0.00011059973287906819
Position 1595: 0.00010019482828162265
Position 945: 8.158828876899317e-05
Position 846: 8.02114667616583e-05
Position 684: 7.706848123495792e-05
Position 2006: 6.815183672885172e-05
Position 1413: 6.739500693202933e-05
Position 2584: 6.5937383637322e-05
Position 331: 6.280276530304287e-05
Position 1501: 5.858315397925907e-05
Position 1833: 4.96404127204474e-05
Position 756: 4.56935868401557e-05
Position 2588: 4.133382584626656e-05
Position 1741: 4.0967862347526736e-05
Position 1265: 3.9297883563460725e-05
Position 1286: 3.809013796323758e-05
Position 2072: 3.7433088584948823e-05
Position 1334: 3.51475189920239e-05
Position 1900: 3.3893733135208916e-05
Position 4144: 3.3336867176356446e-05
Position 4399: 3.3021175864906474e-05
Position 36: 3.164668286424439e-05
Position 3036: 3.10752029615642e-05
Position 4106: 2.6128825139096208e-05
Position 4111: 2.4694373288569344e-05
Position 557: 2.1100908069261794e-05
Position 3735: 2.1095485663228296e-05
Position 3627: 1.92439658505126e-05
Position 1876: 1.8273366998532936e-05
Position 374: 1.7454179445801987e-05
Position 2974: 1.734386742831367e-05
Position 1632: 1.4086807304453697e-05
Position 365: 1.262670558955963e-05
Position 876: 1.2109391757737145e-05
Position 1361: 1.1489427818820281e-05
Position 764: 1.1312612623931486e-05
Position 2168: 1.0877975660572484e-05
Position 2736: 9.949329254190687e-06
Position 2613: 9.259219476262987e-06
Position 271: 6.604318218447964e-06
Position 731: 5.305904126574235e-06
Position 4432: 4.7116932884230645e-06
Position 1812: 4.4603588611153865e-06
Position 1623: 2.13378082110851e-06
Position 600: 1.4096098380147296e-06
Position 2545: 1.134351195073857e-06
Position 2795: 1.0349595357778898e-06
Position 3848: 7.728769408091027e-07
Position 3562: 4.902367101126005e-07
Position 312: 2.625297025012078e-07
Position 3383: 1.7802065388344566e-07
Position 3754: 1.7756310438638408e-07
Position 2953: 1.4312117661555632e-07
Position 3671: 9.407211654301523e-08
Position 359: 8.516291763365116e-08
Position 3682: 7.596890952706013e-08
Position 3021: 4.346307827178205e-08
Position 293: 3.2082033194237906e-08
Position 2890: 9.477294569508962e-09
Position 1163: 6.335606754840151e-09
Position 296: 5.612191046377823e-10
Position 758: 5.117128593952871e-10
Position 766: 5.092322653510758e-10
Position 426: 3.211737035694128e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2924: 0.9903354958072362
Position 2383: 0.8867823526828041
Position 1094: 0.7708579477278606
Position 2665: 0.721356104531729
Position 2572: 0.6008618945899841
Position 2575: 0.2762790329685447
Position 3143: 0.18479185947200497
Position 2271: 0.06218816882948101
Position 3131: 0.05306560431631558
Position 1989: 0.044748409438669506
Position 1870: 0.02717789548865975
Position 304: 0.0231175308610569
Position 858: 0.020878421790800985
Position 2671: 0.020348702757200167
Position 3179: 0.018163771527659384
Position 2050: 0.017383062792317532
Position 1316: 0.016239920339896796
Position 2072: 0.014437791606219734
Position 2093: 0.01299788573595697
Position 206: 0.012566093567584865
Position 1690: 0.012502427181327828
Position 2059: 0.010572338114673983
Position 663: 0.010122183144638194
Position 2751: 0.009635617612743444
Position 978: 0.007451411386347447
Position 2329: 0.007265156479077475
Position 2184: 0.0071849690093801245
Position 2132: 0.006807302304421519
Position 252: 0.004277716097175413
Position 2308: 0.004116902702741136
Position 407: 0.003984187988659602
Position 1833: 0.003751395466475247
Position 1561: 0.003333588844239339
Position 1008: 0.003185350167475724
Position 4039: 0.003128879250839929
Position 374: 0.0030828273592959825
Position 116: 0.002893077589523647
Position 4224: 0.002687356784352595
Position 2706: 0.002328154160045604
Position 2989: 0.0022754841218302108
Position 571: 0.0021032353451988415
Position 3021: 0.0019699078953857928
Position 2295: 0.001927284778224308
Position 2608: 0.0018387985354830206
Position 1361: 0.001806058783474323
Position 1487: 0.0017450937605782894
Position 1345: 0.0017067187881064363
Position 1048: 0.0016059600697883357
Position 4250: 0.0014500287520925307
Position 3903: 0.0014039056525208178
Position 2098: 0.0013494711173191447
Position 1632: 0.0013324444374482177
Position 1731: 0.0010558222631372215
Position 1812: 0.0010552594027986421
Position 257: 0.0009963933299481443
Position 3383: 0.0009516793321078872
Position 2079: 0.0009458067655824725
Position 221: 0.0009368172555815431
Position 536: 0.000837308481397882
Position 1392: 0.0008324156418862423
Position 95: 0.0008053605157773024
Position 618: 0.0008037307709935904
Position 2164: 0.0006126683723253804
Position 724: 0.0005964187379367147
Position 2937: 0.0005529547603601352
Position 1406: 0.0005420866118421507
Position 1883: 0.0005024189697629583
Position 4163: 0.00043609205365057434
Position 942: 0.0004144571797193537
Position 3568: 0.0004002157456639077
Position 3162: 0.0003915611315211046
Position 3495: 0.00038110727156329295
Position 557: 0.0003703414272464103
Position 4017: 0.0003681926608871376
Position 4069: 0.0003032310990305117
Position 4282: 0.0002782842755945537
Position 442: 0.00027525280862362235
Position 3842: 0.0002727517166314826
Position 1386: 0.00027172211554187236
Position 3420: 0.00023808499831404545
Position 2685: 0.00022654974590698878
Position 3318: 0.00019843990591615702
Position 2528: 0.0001787478704082258
Position 2339: 0.00017326541940423674
Position 996: 0.0001676613209409389
Position 807: 0.00016138979587193206
Position 1188: 0.00014171932501998332
Position 3758: 0.00013218983165859163
Position 3150: 0.00012913461294294785
Position 234: 0.00012502962767933535
Position 884: 0.00011602236829056659
Position 4453: 0.00011139349222990512
Position 4121: 0.00010677860594308247
Position 2545: 0.000105335361504338
Position 324: 9.688016380755284e-05
Position 3321: 8.258982044167181e-05
Position 158: 7.720214177083402e-05
Position 4381: 7.630725103817632e-05
Position 3735: 7.149952070221048e-05
Position 3198: 6.716680447173135e-05
Position 2759: 6.702259899089785e-05
Position 1442: 5.8079527327359016e-05
Position 2100: 5.524419600133595e-05
Position 4499: 4.929816131458403e-05
Position 3652: 4.8436245208952097e-05
Position 575: 4.802147316179604e-05
Position 2729: 4.59995521923669e-05
Position 148: 4.293613373141274e-05
Position 800: 3.997660232143002e-05
Position 1457: 3.6804864721109674e-05
Position 1737: 3.4097864966512405e-05
Position 3266: 3.1980746912306766e-05
Position 750: 3.122402084927856e-05
Position 3159: 3.073335589825539e-05
Position 592: 2.959443516247298e-05
Position 271: 2.878261646043269e-05
Position 3462: 2.454477373597378e-05
Position 1163: 2.1327465144675277e-05
Position 2689: 1.8959236535410042e-05
Position 2940: 1.6322012946756643e-05
Position 1025: 1.5146356765949347e-05
Position 1594: 1.4452654383802914e-05
Position 2790: 1.2483667262336704e-05
Position 1124: 1.0334929980222369e-05
Position 2997: 9.974339365278312e-06
Position 628: 8.653307403729225e-06
Position 2793: 7.959365194805973e-06
Position 3166: 6.356734009904951e-06
Position 1013: 5.038287810086882e-06
Position 2736: 4.623688134805662e-06
Position 545: 4.350174322212191e-06
Position 895: 4.166495841021076e-06
Position 387: 3.946465758149824e-06
Position 671: 3.1984398213697715e-06
Position 139: 2.6209499355250433e-06
Position 83: 1.8258773012132235e-06
Position 866: 1.7352955298961222e-06
Position 747: 1.63661894365434e-06
Position 1708: 8.033177861828793e-07
Position 1741: 7.872254768843292e-07
Position 473: 1.6832458910658047e-07
Position 420: 1.4063722819636193e-07
Position 3042: 1.3785007827924508e-07
Position 118: 3.14098733254623e-08
Position 455: 4.0963589941729066e-11
Position 379: 5.683504529231491e-12
