Gene = OS9
index = 1341
Annotated 5SS: [91]
Annotated 3SS: [149]
SMsplice 5SS: [91]
SMsplice 3SS: [149]
top_k =  1000
Partition function (log Z): -4.967916467336223

Sorted 5' Splice Sites (High to Low Probability):
Position 91: 0.9910121182476013
Position 713: 0.2630430907436713
Position 668: 0.0341490341730419
Position 216: 0.009832340051273715
Position 459: 0.004928334207847131
Position 489: 0.004489678482715457
Position 612: 0.002450406472088631
Position 555: 0.002355915866982675
Position 590: 0.0018276572871967368
Position 723: 0.0010911709206093431
Position 648: 0.0005397761936567041
Position 586: 0.0005030021290214956
Position 620: 0.0004211038850631387
Position 543: 0.00040437747169014434
Position 258: 0.0004035154076238276
Position 706: 0.0003119420767112801
Position 578: 0.0002902592219853888
Position 330: 2.085595698173762e-05
Position 179: 1.8561970837256707e-05
Position 246: 1.4876830502560731e-05
Position 759: 1.3068405396790647e-05
Position 70: 1.0289465182349967e-05
Position 3: 9.290729968034678e-06
Position 192: 9.034491645993379e-06
Position 194: 7.634823741056955e-06
Position 462: 4.164564058925741e-06
Position 465: 1.3850754474651239e-06
Position 24: 1.1103699928307544e-06
Position 751: 9.12297028092879e-07
Position 64: 2.2457112907638982e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 149: 0.8871280463367477
Position 775: 0.32125944569727355
Position 426: 0.030867691329400832
Position 156: 0.024857274452675847
Position 222: 0.01883142720676282
Position 179: 0.012680940576384025
Position 546: 0.009923956117272072
Position 743: 0.00631120374465572
Position 313: 0.0033205495205932967
Position 236: 0.0006127079997039032
Position 299: 0.0004441482559347156
Position 192: 0.00028832356846374867
Position 829: 0.0002745536825590102
Position 805: 0.0002156172980987918
Position 482: 0.00019102083420847476
Position 713: 0.00018421377326504986
Position 379: 0.00016202248922857955
Position 430: 0.00013818989036474514
Position 723: 0.00013788816186433307
Position 802: 9.406182767221393e-05
Position 470: 5.922136464202678e-05
Position 586: 3.774316141699316e-05
Position 323: 3.557332231078849e-05
Position 450: 3.077280132720486e-05
Position 551: 2.6024044008614285e-05
Position 635: 1.264794135403017e-05
Position 64: 8.650475850378837e-06
Position 751: 6.045396327836651e-06
Position 506: 4.955281768090827e-06
Position 598: 4.356499568698673e-06
Position 132: 4.2259633959055826e-06
Position 435: 2.7149936407526354e-06
Position 371: 2.3280555444048384e-06
Position 659: 1.658542466416067e-06
Position 554: 1.616757024107877e-06
Position 620: 1.5006912845647127e-06
Position 644: 4.826152358183352e-07
Position 517: 3.844377430586134e-07
Position 812: 3.713609774903187e-07
Position 810: 2.4910168115478477e-07
Position 494: 1.0458336027801566e-07
Position 73: 5.609438014082222e-08
Position 409: 5.353893797954711e-08
Position 398: 3.3255296253713695e-08
Position 103: 3.110653834302594e-08
Position 503: 2.8352841388284715e-08
Position 84: 1.7750569844105194e-08
Position 548: 9.682469189493232e-10
Position 269: 5.409041931261276e-10
Position 317: 4.3482166464581515e-10
Position 386: 1.4867418390506585e-10
Position 458: 3.5332212710448354e-11
Position 617: 5.180685197834294e-12
Position 95: 4.909882685398014e-12
