Gene = Gbs-76A
index = 1184
Annotated 5SS: [1287 7543]
Annotated 3SS: [7352 7665]
SMsplice 5SS: [1287 7543]
SMsplice 3SS: [7352 7665]
top_k =  1000
Partition function (log Z): -5.585462765218702

Sorted 5' Splice Sites (High to Low Probability):
Position 7543: 0.9574049164142517
Position 1287: 0.8205287888653628
Position 841: 0.3124569122085905
Position 8290: 0.1240880340718354
Position 8046: 0.10327920548964312
Position 7731: 0.10248807481788685
Position 10174: 0.08152628124376148
Position 8297: 0.07097064881668083
Position 8320: 0.06707591061632799
Position 1291: 0.06207567469254855
Position 183: 0.05514392910228956
Position 9678: 0.04066224118065171
Position 10206: 0.0320963632185508
Position 3530: 0.024690304799760324
Position 7549: 0.023814201917210728
Position 6544: 0.018419117946344404
Position 311: 0.01622989989428548
Position 6648: 0.015975179129194182
Position 7561: 0.015936922501585977
Position 3450: 0.01552180723360312
Position 3366: 0.014534609631972652
Position 346: 0.01452992412232412
Position 8575: 0.01289396932448203
Position 10226: 0.009200405227722551
Position 328: 0.00913883243432881
Position 10486: 0.008601161566924824
Position 7964: 0.008320218129321703
Position 3410: 0.008071319544739473
Position 10199: 0.007492091864490315
Position 7223: 0.007011374532931573
Position 3009: 0.006945298156330541
Position 4375: 0.006919572682334967
Position 7762: 0.005803488785313449
Position 8050: 0.00576564218966451
Position 8877: 0.005559009434395739
Position 317: 0.005067897952852935
Position 3664: 0.004960221908997194
Position 9290: 0.004702402597459864
Position 9189: 0.004141033791673719
Position 10526: 0.003836979383342226
Position 9145: 0.003821309906628037
Position 11069: 0.0035216871496866605
Position 9328: 0.0032762672088819614
Position 1133: 0.002899017354408635
Position 5176: 0.0028978035531221275
Position 6987: 0.002709712567361914
Position 3566: 0.002558892519258729
Position 4191: 0.0025526607605162047
Position 7567: 0.002533275872524098
Position 2128: 0.002394410395728319
Position 2291: 0.002367786288021335
Position 6833: 0.001617491892589932
Position 201: 0.0014956927123524495
Position 6613: 0.0013607867982987477
Position 8911: 0.0011543314445536601
Position 992: 0.0009159592122465712
Position 3175: 0.0009136817802291794
Position 8497: 0.0008274234164672014
Position 1158: 0.0007828104694633011
Position 7851: 0.0007673222788959557
Position 695: 0.0007245726178664747
Position 8257: 0.0007234733178781379
Position 9174: 0.0007092022016144579
Position 10083: 0.000648064514515249
Position 437: 0.0005759700427189275
Position 9771: 0.000537632839296147
Position 5992: 0.0004782092806901687
Position 10106: 0.00047537200174953937
Position 843: 0.0004531654956249981
Position 4597: 0.00038898836816702144
Position 7949: 0.00037076028232598397
Position 1047: 0.00029241004992824074
Position 2919: 0.00027021541754876973
Position 2980: 0.00024766979093564776
Position 2101: 0.00014312809424143745
Position 2120: 0.00013869888724430342
Position 1564: 0.00012600168099909665
Position 7857: 0.00012216522788490987
Position 7508: 0.00010996704689743788
Position 529: 8.868719764506614e-05
Position 1336: 8.58407590165535e-05
Position 2323: 8.213928135510616e-05
Position 1387: 7.882961650055334e-05
Position 63: 7.585548123491703e-05
Position 994: 7.472478123895432e-05
Position 998: 7.056839505843008e-05
Position 2155: 6.1021505677277847e-05
Position 115: 5.978116160772207e-05
Position 1488: 5.7633037864754594e-05
Position 1739: 5.4704274698532235e-05
Position 8484: 5.461833761771534e-05
Position 996: 5.3326245248007236e-05
Position 2030: 4.711489125853907e-05
Position 45: 4.5736385204877236e-05
Position 2064: 4.467740268619391e-05
Position 1794: 4.404131153435889e-05
Position 461: 3.398889890443955e-05
Position 1516: 3.1766606455668657e-05
Position 1584: 3.0394538318027986e-05
Position 742: 2.9857390242016594e-05
Position 1960: 2.5963996154208447e-05
Position 7791: 2.5867061601348925e-05
Position 3430: 2.386238057945606e-05
Position 2588: 2.1360225879978163e-05
Position 2058: 2.0460730561102943e-05
Position 1017: 2.0177034886794303e-05
Position 1726: 1.801954384426111e-05
Position 1228: 1.5665224335096733e-05
Position 594: 1.3367057344332214e-05
Position 1614: 1.3044665113618651e-05
Position 2718: 1.2957681204790016e-05
Position 603: 1.2365697759026608e-05
Position 8636: 1.1311014540309529e-05
Position 7735: 9.508480690065427e-06
Position 215: 9.491362102338634e-06
Position 783: 9.015563858507761e-06
Position 365: 8.061183186623505e-06
Position 7911: 8.041479834337775e-06
Position 1865: 7.947416622847895e-06
Position 1548: 7.383646878120193e-06
Position 472: 7.100625566570357e-06
Position 759: 7.0671448818123064e-06
Position 1558: 7.031862442075439e-06
Position 2050: 6.8352063913828e-06
Position 1467: 6.19578288815433e-06
Position 8756: 5.5631445462140306e-06
Position 3183: 5.426634033794632e-06
Position 464: 5.268786869848663e-06
Position 1423: 5.055052827483195e-06
Position 2265: 4.949602057788833e-06
Position 1068: 4.91767278363241e-06
Position 1538: 4.913346988991504e-06
Position 88: 4.834591966079592e-06
Position 414: 4.4167204818349564e-06
Position 1633: 4.000607933651639e-06
Position 2036: 3.6915611334472655e-06
Position 8095: 3.6218339316318495e-06
Position 956: 2.6201068769680986e-06
Position 7838: 1.6896590238233088e-06
Position 1002: 1.4467576332533935e-06
Position 775: 1.3057428730773606e-06
Position 123: 8.972632993220969e-07
Position 106: 5.035260070165941e-07
Position 470: 3.703217793849469e-07
Position 3560: 3.631698359652374e-07
Position 243: 1.947430647136522e-07
Position 7827: 1.3123389049304077e-07
Position 8341: 6.358302858107171e-08
Position 8203: 2.2548897995077666e-08
Position 1323: 1.2704856487711136e-08
Position 1374: 5.938303506915321e-09
Position 498: 3.5971571355740875e-09
Position 1367: 2.217552353515656e-09
Position 1847: 1.0394367297324222e-09
Position 1162: 7.548187826366352e-10
Position 1023: 1.3032818578834858e-10
Position 958: 6.081563355668748e-12
Position 1000: 3.5661792724870947e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 7352: 0.8303109214690269
Position 7665: 0.5831054098049032
Position 7626: 0.367031873738843
Position 900: 0.21078434603837443
Position 10060: 0.17170754688960332
Position 7363: 0.14180224462184876
Position 10315: 0.12306138725895213
Position 10599: 0.10835336836661322
Position 10940: 0.09431886203151359
Position 10280: 0.07402954773637556
Position 920: 0.051973084638053925
Position 3073: 0.0426838814814196
Position 6511: 0.03379857325687618
Position 10443: 0.02813035032219033
Position 9039: 0.028129642245785246
Position 11200: 0.022820173999353054
Position 9042: 0.01697137601848272
Position 6957: 0.014928865879995312
Position 9878: 0.0142696299383637
Position 3104: 0.012817727097835527
Position 10495: 0.01273278469785815
Position 7999: 0.010898687794016298
Position 3498: 0.010018971537892989
Position 10558: 0.009441082163811707
Position 1150: 0.008740545351745857
Position 8629: 0.008531546624303667
Position 6335: 0.008044818140429875
Position 7465: 0.007217794328117284
Position 228: 0.007211564527319974
Position 8557: 0.006373139239243201
Position 522: 0.006034987223726742
Position 7194: 0.005955550532334625
Position 10020: 0.0058426850730143075
Position 3144: 0.0053300902528701155
Position 759: 0.005103618013758444
Position 8387: 0.004861672999682973
Position 10636: 0.004134671268544606
Position 2821: 0.004045159345080596
Position 1960: 0.0038794364189170946
Position 1890: 0.0034802897646994987
Position 970: 0.0034769187848519034
Position 3721: 0.0033179387050716012
Position 8100: 0.0032561359004343398
Position 7607: 0.003156372842071169
Position 9988: 0.002459526364289564
Position 5784: 0.002342585113486451
Position 8703: 0.002229745735332603
Position 8154: 0.002104458468033218
Position 1197: 0.001926859405161634
Position 3109: 0.0016745491304509734
Position 3233: 0.0016418809647628166
Position 8160: 0.001484285980923662
Position 4948: 0.0014648790401428715
Position 1012: 0.0013987090279434459
Position 3430: 0.001113918635552903
Position 1787: 0.001007209665239835
Position 480: 0.0009402741102713987
Position 7078: 0.0009314317792262533
Position 11245: 0.0008864719982713512
Position 6878: 0.0008116627331808773
Position 257: 0.0007922375891569935
Position 6887: 0.0007775418541546997
Position 1093: 0.0007533217951925314
Position 11134: 0.0007339327236345505
Position 3362: 0.000684658341654419
Position 2965: 0.0006800547502976952
Position 840: 0.0006796654997937736
Position 3478: 0.0005958117238957511
Position 8103: 0.0005562716385297863
Position 1096: 0.0005321869873467632
Position 243: 0.0005178079900009448
Position 8422: 0.0005037921231468169
Position 698: 0.0004776079273189763
Position 8133: 0.0004731216104341667
Position 401: 0.0004406894654397943
Position 5148: 0.00043277718184424693
Position 8440: 0.0004101840144950174
Position 879: 0.0004100211921939656
Position 765: 0.0003619391765145733
Position 6928: 0.0003364030277626773
Position 1717: 0.00032574045736886645
Position 8524: 0.00031849279162158043
Position 4150: 0.0003124870602493593
Position 492: 0.0003018219818135462
Position 9393: 0.0002861044164070298
Position 373: 0.0002806732598846439
Position 9588: 0.00026045773827868294
Position 1435: 0.00024148476625689545
Position 9978: 0.00023886864462786177
Position 1194: 0.0002260899191399988
Position 1516: 0.00022515366633476513
Position 2158: 0.00022373563161470672
Position 1387: 0.0002095791178133694
Position 8106: 0.00020750271042783758
Position 2996: 0.00017136252957931268
Position 8363: 0.0001647375753828753
Position 8409: 0.00016352526486882027
Position 1124: 0.00015928499780609216
Position 956: 0.0001552054453285586
Position 952: 0.00013918464420199314
Position 7943: 0.00012671659764227462
Position 9228: 0.00012446309401074258
Position 1821: 0.00012384365659732366
Position 118: 0.0001203574525625511
Position 8360: 0.00011850338670217068
Position 8211: 0.0001171607274653039
Position 3867: 0.00011295285135758644
Position 8633: 9.572054540804872e-05
Position 594: 9.494681566582054e-05
Position 707: 8.447573339072295e-05
Position 992: 7.457601117638874e-05
Position 742: 6.840227292831005e-05
Position 4628: 6.695677131700929e-05
Position 695: 6.663599595821873e-05
Position 8136: 6.328914799055896e-05
Position 7758: 6.294404072453166e-05
Position 8776: 6.119397062339386e-05
Position 1415: 5.857651440833772e-05
Position 4596: 5.8397828983704155e-05
Position 8712: 5.577266294838382e-05
Position 3298: 4.57199780915483e-05
Position 6756: 4.457098139754538e-05
Position 8109: 3.4633720942150385e-05
Position 6600: 3.0134640646562963e-05
Position 2681: 2.045191893412846e-05
Position 1336: 1.8757471457621905e-05
Position 2002: 1.4919898200265269e-05
Position 7776: 1.3290871312220865e-05
Position 321: 1.0016535238840606e-05
Position 5287: 9.570903969038602e-06
Position 8402: 7.2634350274175245e-06
Position 6097: 6.4812634530061e-06
Position 5910: 6.460072437008399e-06
Position 1684: 5.824812204266901e-06
Position 2072: 5.646041778683767e-06
Position 437: 5.447397047044349e-06
Position 5639: 5.0972580670518205e-06
Position 5745: 4.446902097781649e-06
Position 141: 4.137533007576739e-06
Position 5731: 3.893167613313656e-06
Position 8181: 3.6530617907048393e-06
Position 8256: 3.5593524342202915e-06
Position 5101: 3.2463452678157894e-06
Position 8121: 2.968711382544209e-06
Position 8398: 2.8132298881890285e-06
Position 789: 2.8044147712136e-06
Position 1973: 2.1371132915341164e-06
Position 2079: 1.879019163659669e-06
Position 7940: 1.727197061841773e-06
Position 8076: 1.4940815903272666e-06
Position 529: 1.3269222840591804e-06
Position 3169: 1.2269715222596993e-06
Position 232: 1.0802713749881874e-06
Position 797: 7.436758835539133e-07
Position 346: 7.300458378101413e-07
Position 177: 6.169558243797914e-07
Position 7721: 5.073268835647362e-07
Position 644: 3.6127444714391163e-07
Position 8005: 3.3569655719153683e-07
Position 820: 3.26385386320473e-07
Position 494: 2.8368335256517706e-07
Position 260: 2.756846943598908e-07
Position 3592: 2.7078919943289706e-07
Position 1017: 2.634599237173977e-07
Position 8208: 2.2756588739899903e-07
Position 333: 2.2476892805133027e-07
Position 1639: 2.2004799141884406e-07
Position 7755: 1.6002533284813138e-07
Position 539: 5.7794763175146405e-08
Position 1538: 3.7944977599547935e-08
Position 162: 3.194889760037852e-08
Position 1133: 2.0790085572365673e-08
Position 1286: 1.750058360042208e-08
Position 8178: 1.7492808023928034e-08
Position 1647: 8.092457590331456e-09
Position 1467: 7.97751276734475e-09
Position 215: 2.9707857002856037e-09
Position 289: 2.9626471318156128e-09
Position 938: 1.1970305347725626e-10
Position 120: 1.1209875153332979e-11
Position 193: 7.198389364872908e-12
Position 174: 3.902119330409839e-12
Position 172: 3.0941621521056685e-12
Position 282: 7.34959432032098e-13
Position 88: 5.012206980135502e-13
Position 156: 4.596346730003972e-13
Position 201: 4.307095968390674e-13
Position 187: 3.9637515180848253e-13
Position 158: 2.818341651936838e-16
Position 195: 5.191531187161519e-23
