Gene = spz3
index = 1889
Annotated 5SS: [1346 3522 4340 5521]
Annotated 3SS: [3387 4214 5040 5590]
SMsplice 5SS: [1346 3522 4340 5521]
SMsplice 3SS: [3387 4214 5040 5590]
top_k =  1000
Partition function (log Z): 4.513676619437709

Sorted 5' Splice Sites (High to Low Probability):
Position 5521: 0.9872164390992272
Position 1346: 0.9742971192700649
Position 3522: 0.9321902010916153
Position 4340: 0.8907463402481381
Position 2884: 0.045420783889974295
Position 166: 0.020881575475697512
Position 2803: 0.019726137519592783
Position 1377: 0.01885882440017819
Position 3720: 0.014102515463808874
Position 3954: 0.011910142229626565
Position 3186: 0.011367307035531396
Position 2105: 0.011192829611652468
Position 2148: 0.010478017708930452
Position 4165: 0.010419532327869513
Position 4394: 0.009276131847100199
Position 170: 0.008775779536022732
Position 3540: 0.00811035934335566
Position 2900: 0.007671214613994353
Position 3615: 0.007405166387102205
Position 3555: 0.006946387918481827
Position 1826: 0.006499742241209289
Position 5513: 0.0063391475083761795
Position 614: 0.005665776250933182
Position 4871: 0.005209602904968315
Position 721: 0.00491306980948471
Position 5791: 0.004741546290398794
Position 5457: 0.004708984099671639
Position 656: 0.004139592948207016
Position 70: 0.004127728343262201
Position 174: 0.0040227028498368254
Position 5156: 0.004008746034564671
Position 172: 0.003909839236464464
Position 5737: 0.003452778459743411
Position 2133: 0.00324678523613234
Position 3526: 0.0029973943482913775
Position 4468: 0.0029425780267855334
Position 893: 0.0027858969691902063
Position 3177: 0.0027362426153539686
Position 5810: 0.0025740494962553247
Position 2112: 0.0023875232195493677
Position 4344: 0.002351723167621141
Position 348: 0.0020670601751109183
Position 2072: 0.002010561890703909
Position 5727: 0.0019749896497455043
Position 1654: 0.0019429132421057095
Position 225: 0.001779322787797422
Position 4402: 0.0016468901224095626
Position 1628: 0.0016404197298244688
Position 4578: 0.001451229202098814
Position 4670: 0.0013366163664476842
Position 201: 0.0013033838416409618
Position 5814: 0.0011410884342077342
Position 1750: 0.0009604503861493771
Position 4655: 0.0009529692345727542
Position 4761: 0.0008201823577372609
Position 199: 0.0008061429266843247
Position 4849: 0.0007310929309130009
Position 576: 0.0007287632143148033
Position 5804: 0.0007079163850186753
Position 1887: 0.0005452814595382103
Position 4626: 0.0005386585965202067
Position 1415: 0.0004866709269050863
Position 30: 0.0004681817949253426
Position 3235: 0.00044900176233091295
Position 3885: 0.0004446925615315052
Position 2160: 0.0004268220754783405
Position 5861: 0.00042286966278671265
Position 5731: 0.00037930925585198227
Position 1760: 0.00037457711873284963
Position 361: 0.0003614652258012492
Position 82: 0.00034412811329346285
Position 2771: 0.00030315527837640975
Position 4551: 0.0002756212780220604
Position 617: 0.0002740947903799361
Position 3258: 0.00026467360468691
Position 2256: 0.00022019165423740512
Position 2607: 0.00021506282087035072
Position 4330: 0.00020344696303367215
Position 437: 0.00019573923139624616
Position 1830: 0.0001875981864681812
Position 1735: 0.00017976552898524016
Position 2636: 0.00017561348717814283
Position 4628: 0.00016918347814250557
Position 1249: 0.00016536462605744776
Position 1964: 0.00014693811689054165
Position 4878: 0.00014542513648674045
Position 5705: 0.00014457689317749425
Position 2479: 0.00014430607180697207
Position 1636: 0.00013139145728512574
Position 5525: 0.00012893485261541244
Position 818: 0.00012861402162089617
Position 1350: 0.00012093501628857308
Position 5831: 0.00011926958087678374
Position 1602: 0.00011385661578974606
Position 1283: 0.00011004736100815407
Position 1617: 0.00010830026879348786
Position 4827: 0.00010685091577975788
Position 460: 9.813888663240897e-05
Position 1959: 9.790894575700137e-05
Position 1974: 9.183943064821297e-05
Position 2467: 9.135075376830114e-05
Position 2570: 8.895932545806032e-05
Position 2001: 8.634673758570039e-05
Position 3167: 8.571760561505003e-05
Position 1648: 8.422607878198398e-05
Position 5474: 7.409043416229184e-05
Position 4307: 7.282115503259765e-05
Position 3646: 7.21196192714283e-05
Position 302: 6.594425133553367e-05
Position 23: 6.58161571652556e-05
Position 178: 5.5076184749625435e-05
Position 104: 5.1417538210502295e-05
Position 842: 5.018894939785477e-05
Position 368: 4.977683769970499e-05
Position 3771: 4.736366188996728e-05
Position 1867: 4.6535651498556e-05
Position 5544: 4.423188698834864e-05
Position 5532: 4.276066565787224e-05
Position 4472: 3.9811171483705486e-05
Position 4124: 3.779924919475688e-05
Position 3459: 3.770574307116668e-05
Position 5875: 3.643499871234119e-05
Position 2823: 3.420095140204683e-05
Position 2218: 3.0449774382208876e-05
Position 2507: 2.785523965174974e-05
Position 12: 2.714739298182011e-05
Position 4422: 2.501347095793684e-05
Position 5997: 2.4325412167818662e-05
Position 3868: 2.4203125365488283e-05
Position 3819: 2.299989575196187e-05
Position 5930: 2.218587462583816e-05
Position 5906: 2.0137019342842944e-05
Position 5376: 1.7555784593225574e-05
Position 337: 1.7211182745426774e-05
Position 189: 1.3935962521301099e-05
Position 980: 9.947084775734172e-06
Position 191: 9.940900640006638e-06
Position 3468: 9.144620361205657e-06
Position 255: 8.386775672830285e-06
Position 205: 8.023442601822244e-06
Position 176: 7.764527359330659e-06
