Gene = Gbs-70E
index = 1183
Annotated 5SS: [ 439  978 3859 8243 8621]
Annotated 3SS: [ 815 3492 8035 8307 8679]
SMsplice 5SS: [ 439  978 3859 8243 8621]
SMsplice 3SS: [ 815 3492 8035 8307 8679]
top_k =  1000
Partition function (log Z): 14.618905021806421

Sorted 5' Splice Sites (High to Low Probability):
Position 8621: 0.9998273984102598
Position 3859: 0.9768000082791347
Position 8243: 0.9718550725622368
Position 439: 0.9542045848459737
Position 978: 0.9407933229772407
Position 7535: 0.07988107960754164
Position 1976: 0.056160354605866186
Position 1130: 0.052460750863190936
Position 1689: 0.049371297132529704
Position 1991: 0.048023265655995705
Position 1234: 0.03686068421026325
Position 2402: 0.029453452607412285
Position 5712: 0.027332353881722775
Position 8247: 0.02691730043908379
Position 1292: 0.02604869693954322
Position 4044: 0.025496493103406
Position 7489: 0.021492329530747395
Position 6473: 0.018641943660619623
Position 2356: 0.017727581980014104
Position 7298: 0.0173917612827811
Position 7737: 0.014882143826570942
Position 2237: 0.013253444767768406
Position 2810: 0.01309284894309806
Position 622: 0.011158527806461097
Position 9147: 0.009165734951315065
Position 8390: 0.008156702055915073
Position 4095: 0.007380458930153393
Position 8806: 0.007212366503038321
Position 2295: 0.006889107058384162
Position 1647: 0.0063568099154827406
Position 7220: 0.006217791266296052
Position 8853: 0.00530190665979362
Position 7933: 0.004848850951563654
Position 3889: 0.004267214180465031
Position 3854: 0.003590291345219832
Position 3067: 0.00323983242682826
Position 1286: 0.0030999942252046666
Position 5588: 0.002742420131503385
Position 7801: 0.0026872081020948356
Position 4717: 0.0025703714726073835
Position 7004: 0.0021944498794421187
Position 6066: 0.0020496404350035056
Position 3370: 0.0019342789422437533
Position 5641: 0.0019101917251920322
Position 2927: 0.0018187419170371112
Position 446: 0.0017796060128014851
Position 992: 0.001719393501929286
Position 9044: 0.0016196224141066856
Position 296: 0.0016126538282992253
Position 8094: 0.0013297728101354038
Position 8423: 0.0012657410316458055
Position 3893: 0.0012182662975696353
Position 8907: 0.0011567632576385324
Position 4032: 0.0011071682296756933
Position 928: 0.0010124517206421733
Position 403: 0.0009040604276998778
Position 1229: 0.0008448627674184413
Position 2492: 0.0007843581106305778
