Gene = SRm160
index = 1464
Annotated 5SS: [ 444 1838 2519]
Annotated 3SS: [ 602 1907 2583]
SMsplice 5SS: [ 444 1838 2519]
SMsplice 3SS: [ 602 1907 2583]
top_k =  1000
Partition function (log Z): 4.960757464730044

Sorted 5' Splice Sites (High to Low Probability):
Position 1838: 0.9995250382160713
Position 2519: 0.9975143172132871
Position 444: 0.9683046107090515
Position 3718: 0.47468540103585066
Position 818: 0.02353674427102442
Position 3740: 0.021854612175822456
Position 3729: 0.007095075870852907
Position 788: 0.005374533754489667
Position 2937: 0.005122476438457344
Position 3608: 0.004838863332565808
Position 937: 0.001958479350075084
Position 490: 0.0012945220457530155
Position 251: 0.0010048209736850447
Position 249: 0.0008839772671608043
Position 253: 0.000704070549530714
Position 892: 0.000613599455757876
Position 79: 0.0005141785065156841
Position 513: 0.0005115207850621153
Position 1365: 0.0004955245211402727
Position 693: 0.00047638428563537754
Position 708: 0.00042928560353848347
Position 1051: 0.0003510280667882391
Position 720: 0.00034561874704141035
Position 727: 0.0002865374413276826
Position 783: 0.0002787515251140712
Position 3691: 0.00026074226562657163
Position 295: 0.00022239175509675032
Position 3612: 0.00019070970574145714
Position 1388: 0.00018678718390985032
Position 1030: 0.00017473642422737997
Position 777: 0.00017121211889403406
Position 4015: 0.00015968060813875476
Position 3722: 0.00012090531293671461
Position 1024: 0.00010053295764464054
Position 457: 9.808612026632504e-05
Position 1135: 9.034019807470958e-05
Position 285: 8.972795765908618e-05
Position 2761: 8.761860335771302e-05
Position 517: 8.619047832450223e-05
Position 349: 8.222878978849932e-05
Position 2322: 7.738583320085647e-05
Position 288: 7.719155496987922e-05
Position 4062: 7.315936307791801e-05
Position 668: 6.348441571791043e-05
Position 363: 6.01890705846333e-05
Position 2099: 5.978219386633821e-05
Position 1633: 5.4178780147728186e-05
Position 1711: 5.384655789887793e-05
Position 2802: 4.610681182815882e-05
Position 780: 4.056805586365316e-05
Position 46: 3.2939849975235544e-05
Position 255: 3.201866167020393e-05
Position 2700: 3.1014431489806225e-05
Position 1681: 3.078318516215262e-05
Position 3619: 2.4940086848168893e-05
Position 1189: 2.3459544820965252e-05
Position 148: 2.09169598227857e-05
Position 2426: 2.012016743063573e-05
Position 792: 2.002737940435773e-05
Position 2719: 1.9508661821477104e-05
Position 2525: 1.943899653121178e-05
Position 2510: 1.9323959999502928e-05
Position 1781: 1.873611664927494e-05
Position 884: 1.8459706027736685e-05
Position 2523: 1.793575976579427e-05
Position 824: 1.624647486875966e-05
Position 3876: 1.4521904391987781e-05
Position 2378: 1.343052957736631e-05
Position 265: 1.32640398797945e-05
Position 1091: 1.3104509413427348e-05
Position 1842: 1.2252995243125804e-05
Position 1412: 1.166164584621157e-05
Position 1816: 1.1196155143183139e-05
Position 170: 1.0026355543855113e-05
Position 437: 9.1641613817331e-06
Position 3869: 9.099593975110052e-06
Position 1570: 7.83854226556704e-06
Position 3865: 7.62392954706739e-06
Position 3686: 6.814862932396449e-06
Position 84: 6.798999891557421e-06
Position 168: 6.3477042819703135e-06
Position 731: 5.868879339478505e-06
Position 4035: 5.774623069425757e-06
Position 2027: 5.596095347576738e-06
Position 257: 5.305625461756041e-06
Position 3453: 4.356734567850106e-06
Position 1072: 4.11073380660035e-06
Position 2692: 3.7036557100539897e-06
Position 1774: 3.5906720047699007e-06
Position 2060: 3.5283802220910412e-06
Position 3930: 3.365834935436663e-06
Position 2998: 3.132187419204274e-06
Position 701: 3.098686656582217e-06
Position 950: 3.0978342239622438e-06
Position 2977: 2.3732192240745273e-06
Position 3392: 2.27334439169313e-06
Position 11: 1.914260132274612e-06
Position 185: 1.8994630925915902e-06
Position 2549: 1.8318835094801281e-06
Position 2884: 1.801988446143624e-06
Position 3956: 1.5990105707790159e-06
Position 1949: 1.5380553138676499e-06
Position 9: 1.40354372268601e-06
Position 2741: 1.1625489727418536e-06
Position 3783: 1.0888865192525992e-06
Position 2483: 1.0744151941717117e-06
Position 4066: 1.037926312353371e-06
Position 2679: 9.755605579970245e-07
Position 2219: 9.025816493648425e-07
Position 3927: 8.373262921521402e-07
Position 2181: 7.399114024747193e-07
Position 385: 7.330534900186184e-07
Position 2408: 7.197535413531033e-07
Position 2600: 6.717186234608369e-07
Position 2300: 5.562215076176675e-07
Position 1958: 4.209558293594966e-07
Position 2553: 3.50306994380937e-07
Position 2429: 3.1793502527530853e-07
Position 2616: 2.9448399335042087e-07
Position 3280: 2.7986458978650825e-07
Position 2118: 2.770703584877528e-07
Position 2303: 2.3853875122739683e-07
Position 2157: 2.1360289485929187e-07
Position 2309: 1.8660209108155795e-07
Position 1961: 1.2331473102012513e-07
Position 1669: 1.1124885851193481e-07
Position 1992: 1.0626339749331106e-07
Position 2229: 9.588568531447353e-08
Position 2456: 8.01631097178314e-08
Position 1305: 7.349897936582374e-08
Position 1970: 6.680328887988497e-08
Position 2591: 6.353909822764547e-08
Position 1735: 6.329339165490883e-08
Position 2402: 5.8580586429950854e-08
Position 1216: 5.719924211400983e-08
Position 120: 5.695403936245133e-08
Position 1544: 5.028831512846403e-08
Position 1140: 4.898406560188628e-08
Position 2495: 4.379352367504973e-08
Position 2839: 2.722614455067226e-08
Position 1355: 2.5123506476927763e-08
Position 3377: 2.3452656819944166e-08
Position 2595: 1.658089739307989e-08
Position 1399: 1.5864227406543126e-08
Position 2474: 1.0954577112825155e-08
Position 1618: 9.26829814298731e-09
Position 1267: 7.611661594667592e-09
Position 1888: 6.7893117340822026e-09
Position 1572: 6.103675669545924e-09
Position 1675: 6.067823153960008e-09
Position 1255: 4.804795796656882e-09
Position 629: 2.3209509165970595e-09
Position 565: 1.1530817130399596e-09
Position 2792: 2.6739030136761926e-10
Position 3795: 2.2302024809690331e-10
Position 2723: 1.887873395269405e-10
Position 2444: 2.9980557832238746e-11
Position 2261: 2.2658045677542462e-11
Position 3116: 8.340975238210102e-12
Position 2851: 1.292212230397958e-12
Position 1471: 6.281815037672235e-13
Position 2438: 2.1677101103373436e-13
Position 1457: 1.4687535588055308e-13
Position 1147: 1.082592428716238e-13
Position 1329: 9.751843991659401e-14
Position 2577: 8.700058773832698e-14
Position 1462: 1.1899835987737742e-14
Position 1429: 1.170708412456509e-14
Position 1925: 2.6182701885836834e-16
Position 1261: 1.976495875581457e-25

Sorted 3' Splice Sites (High to Low Probability):
Position 1907: 0.9984498072666481
Position 2583: 0.9970097374984311
Position 602: 0.7144234867482012
Position 3795: 0.4536127221205462
Position 1102: 0.08614346602419333
Position 617: 0.08074317548971631
Position 923: 0.052620942939007785
Position 614: 0.030889763347769012
Position 3825: 0.018209370171644465
Position 3822: 0.016331145688166435
Position 3800: 0.010575482419788902
Position 1780: 0.00834707778861342
Position 1091: 0.004715235204359355
Position 1471: 0.00453284510760461
Position 1760: 0.004277345782149336
Position 3837: 0.00403878647753776
Position 4049: 0.0032700987748409097
Position 3949: 0.0027398551276899327
Position 620: 0.0024785141261061583
Position 884: 0.0022237010939454016
Position 1652: 0.001966331267922115
Position 803: 0.0018145302336631049
Position 1946: 0.0014507359365944126
Position 3912: 0.0012771455592725228
Position 989: 0.0012590922630434074
Position 1147: 0.0012337468975143055
Position 404: 0.0010085822710679665
Position 1051: 0.0009324864690224753
Position 3711: 0.0007652721193606391
Position 3920: 0.0006867286249304037
Position 3865: 0.0006837950862720108
Position 1486: 0.0006797416448725068
Position 1118: 0.000617392145957557
Position 1447: 0.000614802757777587
Position 1429: 0.0006093475040473645
Position 1648: 0.000608766586352655
Position 1724: 0.0005834067167786746
Position 4074: 0.0005425779565346118
Position 739: 0.0005055097207089829
Position 962: 0.00047776157627327334
Position 3964: 0.000471381107345218
Position 968: 0.00046652207846279445
Position 1057: 0.0004597003065554069
Position 136: 0.000414680121973553
Position 339: 0.0003871897699155646
Position 1299: 0.00035184521410587505
Position 945: 0.0003474967058553131
Position 1228: 0.0002750998194954746
Position 3139: 0.00027258273209334395
Position 1529: 0.00025986135521959664
Position 2825: 0.00020062542233915395
Position 4097: 0.00018757585569062515
Position 3927: 0.00017835499010141818
Position 3852: 0.00017707744019394286
Position 3997: 0.0001764359349748514
Position 4117: 0.00014875170216912723
Position 363: 0.0001454812190173167
Position 842: 0.00013370322303442913
Position 1047: 0.00011274870730462435
Position 959: 0.00011038814214786606
