Gene = fbp
index = 1700
Annotated 5SS: [  67  711 1649]
Annotated 3SS: [ 638 1304 1830]
SMsplice 5SS: [1649]
SMsplice 3SS: [1830]
top_k =  1000
Partition function (log Z): -7.4218340198839785

Sorted 5' Splice Sites (High to Low Probability):
Position 1649: 0.8399218688150237
Position 711: 0.31428221358806696
Position 67: 0.16889393957019277
Position 607: 0.14728342543083092
Position 995: 0.08463908485475374
Position 1706: 0.07833515899433353
Position 151: 0.05239669355675362
Position 196: 0.026704724968070883
Position 31: 0.026319799478309466
Position 2226: 0.025697424942430318
Position 344: 0.017973218875689343
Position 341: 0.010097524284573448
Position 372: 0.0055424777771509465
Position 1714: 0.005460465335496429
Position 1631: 0.004424535968611821
Position 1473: 0.0033050285136266852
Position 912: 0.002964830399014502
Position 1163: 0.002612370139807462
Position 705: 0.0025463638669491646
Position 120: 0.0024072533369027967
Position 1734: 0.0022031064353077016
Position 901: 0.002144696027559083
Position 2230: 0.0018020775595490777
Position 959: 0.001651451152652544
Position 310: 0.0014351692900522262
Position 784: 0.0012335856087159318
Position 1245: 0.001178985046264647
Position 52: 0.0007280094529966823
Position 490: 0.0006414469720488527
Position 2076: 0.0004098883294089816
Position 1274: 0.0003946357124968204
Position 715: 0.0003865503885067256
Position 1116: 0.00037746386687225505
Position 113: 0.00036785443436135735
Position 1622: 0.0003552618305501901
Position 143: 0.0003549219931027857
Position 1505: 0.0003176560211646195
Position 1637: 0.00031598507644136134
Position 77: 0.00030134704639004766
Position 1526: 0.00029863419396958897
Position 1693: 0.00029672724185257355
Position 401: 0.00028214296969725753
Position 2003: 0.000263939353035861
Position 541: 0.00024766373755419905
Position 38: 0.00023799929499188473
Position 593: 0.00013463365029879064
Position 1716: 0.0001291596642007552
Position 909: 0.00012070493728559456
Position 1460: 0.00011539472887351776
Position 35: 0.0001149041088762545
Position 473: 8.9761093055447e-05
Position 1060: 7.344912126614881e-05
Position 71: 5.956006317709614e-05
Position 1665: 5.867370235255915e-05
Position 1090: 5.675250938949739e-05
Position 480: 4.6944587528606e-05
Position 898: 3.68687723119402e-05
Position 90: 3.2205973789306394e-05
Position 277: 3.043471869226323e-05
Position 132: 2.924604580431212e-05
Position 954: 2.9199015439104665e-05
Position 1738: 2.821464055763094e-05
Position 262: 2.3931552849979163e-05
