Gene = Tim23
index = 1562
Annotated 5SS: [250 631 860]
Annotated 3SS: [347 689 923]
SMsplice 5SS: [250 631 860]
SMsplice 3SS: [347 689 923]
top_k =  1000
Partition function (log Z): -3.160824429856281

Sorted 5' Splice Sites (High to Low Probability):
Position 860: 0.968180953386915
Position 250: 0.8858556042162972
Position 631: 0.6947966648005799
Position 617: 0.04322904203473434
Position 91: 0.011441416438635263
Position 686: 0.00981349040916078
Position 533: 0.008102223200489781
Position 567: 0.004715485726025597
Position 269: 0.003830740387384127
Position 817: 0.0021237867208901374
Position 79: 0.001377419856257523
Position 740: 0.0013197999986366074
Position 27: 0.0003815111874478978
Position 852: 0.00032156802405398476
Position 621: 0.0003204127363391287
Position 579: 0.00028448175391113643
Position 6: 0.0001142798954782421
Position 657: 7.770013711642851e-05
Position 716: 6.584497353540613e-05
Position 415: 5.676295314437843e-05
Position 690: 5.584458921364674e-05
Position 396: 5.463873178383697e-05
Position 407: 4.1739101641352454e-05
Position 320: 3.869987924883336e-05
Position 202: 3.847862443718275e-05
Position 546: 3.6187460915681176e-05
Position 142: 3.392063116944607e-05
Position 57: 2.3259070893017133e-05
Position 1056: 1.8948115038566952e-05
Position 1053: 1.8445842786173183e-05
Position 460: 1.4304206911773863e-05
Position 1011: 9.382458268040393e-06
Position 107: 8.065966748550153e-06
Position 505: 7.664182377275645e-06
Position 387: 6.3897874292247494e-06
Position 937: 3.515914984228489e-06
Position 751: 3.495823601973466e-06
Position 110: 3.460255228486781e-06
Position 569: 2.3601413964428037e-06
Position 587: 2.3580868761049035e-06
Position 948: 1.7550158329583862e-06
Position 1023: 1.365171842343168e-06
Position 756: 6.534639567684258e-07
Position 492: 5.360259817448532e-07
Position 939: 3.5774552304111333e-07
Position 772: 2.634308248770874e-07
Position 783: 1.8863419334171192e-07
Position 913: 1.3636906962593478e-07
Position 767: 1.33323124238779e-07
Position 304: 9.883163684936092e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 923: 0.961946369023262
Position 347: 0.7543366252484187
Position 689: 0.7519803968828638
Position 297: 0.0533576123831808
Position 445: 0.03198175088359721
Position 399: 0.02127393070924803
Position 739: 0.01096506883410104
Position 905: 0.010660783745588725
Position 396: 0.008230702317172543
Position 476: 0.00688398065484687
Position 711: 0.005820458666560587
Position 783: 0.004267872592462272
Position 151: 0.0042461676476894345
Position 715: 0.002249379644978178
Position 933: 0.0018214115864535957
Position 127: 0.0017120349917453311
Position 998: 0.0016363718691963709
Position 587: 0.001137495344785963
Position 727: 0.0004867480742211991
Position 520: 0.00035976722641195926
Position 524: 0.0002669329165426072
Position 449: 0.0002143997346304126
Position 607: 0.00013239014322811003
Position 799: 0.00010697076853878327
Position 596: 8.902500839326266e-05
Position 387: 8.863424636557898e-05
Position 490: 8.69086367202615e-05
Position 356: 7.619644688324893e-05
Position 101: 5.4702078301373705e-05
Position 631: 5.23353978363227e-05
Position 1109: 4.5191527819321624e-05
Position 817: 3.188153813448091e-05
Position 1039: 3.120720790969404e-05
Position 217: 2.910371825535357e-05
Position 454: 2.796562751439189e-05
Position 1003: 2.0063621776290663e-05
Position 1063: 1.9495219495122164e-05
Position 566: 1.878266758884301e-05
Position 772: 1.6413352754482966e-05
Position 69: 1.4079684620400271e-05
Position 838: 1.3519336316067432e-05
Position 859: 1.0241925855361927e-05
Position 1011: 5.775849975487721e-06
Position 1085: 4.904751783779165e-06
Position 1056: 4.544289188007292e-06
Position 635: 4.5428765491695105e-06
Position 54: 2.501378212948548e-06
Position 487: 2.4921085024810397e-06
Position 91: 2.0131122653511737e-06
Position 610: 1.8470124720251043e-06
Position 1073: 1.6211468878237927e-06
Position 458: 1.395512841233812e-06
Position 563: 8.811845967266847e-07
Position 1023: 4.774569376064494e-07
Position 352: 4.638158107455838e-07
Position 460: 4.145385583435383e-07
Position 79: 3.3440441517279854e-07
Position 202: 1.1320873518219657e-07
Position 796: 1.0437905660962711e-07
Position 617: 1.593144224866458e-08
Position 254: 1.0716613358217362e-08
Position 604: 6.926163540552058e-09
Position 262: 5.229832111444727e-09
Position 129: 7.565051797248401e-10
Position 505: 3.586663620553489e-13
