Gene = msd1
index = 1800
Annotated 5SS: [75]
Annotated 3SS: [129]
SMsplice 5SS: [75]
SMsplice 3SS: [129]
top_k =  1000
Partition function (log Z): -7.472141682630352

Sorted 5' Splice Sites (High to Low Probability):
Position 75: 0.9911989267659165
Position 485: 0.022535872087336137
Position 61: 0.002601387977228926
Position 427: 0.00034953455808494304
Position 40: 0.0002705317920563391
Position 269: 0.00022058126558829335
Position 3: 0.00017158075598633566
Position 423: 6.167011031844817e-05
Position 453: 2.9177912691542686e-05
Position 235: 2.0176018425982634e-05
Position 343: 4.246822150919564e-06
Position 50: 4.221688571718859e-06
Position 243: 3.451406156380242e-06
Position 188: 1.5312576729135052e-06
Position 435: 1.2900149026682162e-06
Position 251: 6.84698004464651e-07
Position 335: 6.675673287049179e-07
Position 215: 4.50058496311245e-07
Position 402: 1.2846194127992456e-07
Position 104: 9.903840830794533e-08
Position 114: 3.007087614151509e-08
Position 302: 8.71010534421059e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 129: 0.9848583209225404
Position 544: 0.02298455026938562
Position 143: 0.008926214499112555
Position 340: 0.0002477566302656844
Position 343: 0.00014518727702829165
Position 223: 8.34671892714648e-05
Position 158: 7.68674393504987e-05
Position 524: 2.2346097219840223e-05
Position 394: 1.7784944412883523e-05
Position 235: 1.6502542523444533e-05
Position 227: 1.5581359352895855e-05
Position 280: 1.5172267745620832e-05
Position 308: 1.4934220721590822e-05
Position 266: 1.174682647543739e-05
Position 263: 1.1086126887240509e-05
Position 239: 1.0104609409401958e-05
Position 167: 5.075470756412888e-06
Position 257: 2.5544157905546617e-06
Position 171: 2.3172287334838544e-06
Position 356: 1.6181050710933865e-06
Position 418: 1.5240481073982798e-06
Position 215: 1.418819984892614e-06
Position 326: 1.0395159719886274e-06
Position 476: 7.215234985666818e-07
Position 293: 6.10338278527907e-07
Position 509: 5.629060734065511e-07
Position 350: 5.333656726851636e-07
Position 431: 2.3735048312865906e-07
Position 317: 2.056605249844595e-07
Position 485: 7.799364226110969e-08
Position 185: 4.54790916889124e-08
Position 377: 2.807106845115637e-08
Position 367: 2.0661745382019295e-08
Position 461: 1.178415051172483e-08
Position 480: 9.098503743969493e-09
Position 467: 9.079985181707813e-09
Position 287: 1.9325631960106986e-09
Position 482: 1.5514622556987788e-09
Position 407: 1.3209569959025913e-09
Position 497: 6.029097541964813e-11
Position 493: 3.4137337730190725e-11
Position 176: 1.4764888579387234e-18
Position 359: 1.7842065767081584e-19
