Gene = RPA2
index = 1402
Annotated 5SS: [114 234 884]
Annotated 3SS: [171 296 972]
SMsplice 5SS: [234 884]
SMsplice 3SS: [296 972]
top_k =  1000
Partition function (log Z): 1.0083646891194251

Sorted 5' Splice Sites (High to Low Probability):
Position 884: 0.9989433409051652
Position 234: 0.5191761888488137
Position 114: 0.4741732521776739
Position 238: 0.2862786418856773
Position 510: 0.09567989464345215
Position 534: 0.026967822123543334
Position 1048: 0.0160696970393693
Position 516: 0.008319419182075983
Position 528: 0.006120816195017908
Position 242: 0.004771356925124807
Position 562: 0.002355236026166801
Position 118: 0.0016849551392493405
Position 368: 0.0013386204533056077
Position 253: 0.0006887843806736791
Position 1062: 0.0004757788997219252
Position 551: 0.00028896981471927016
Position 281: 0.0002669694625551207
Position 615: 0.000254963638919289
Position 384: 0.00010922673620048297
Position 396: 0.00010236902768876753
Position 1088: 0.00010009300670860776
Position 679: 7.628614612894729e-05
Position 52: 7.214062096254307e-05
Position 888: 6.86685468427914e-05
Position 694: 6.863191185994538e-05
Position 405: 6.131896086081931e-05
Position 19: 6.12904291552168e-05
Position 315: 2.561339089325647e-05
Position 1060: 2.458193570918883e-05
Position 353: 2.0769304606802415e-05
Position 258: 1.9520311405124976e-05
Position 382: 1.609117563405935e-05
Position 35: 1.3025750515045112e-05
Position 312: 1.0233830341802218e-05
Position 356: 8.958863355892011e-06
Position 597: 8.248209612024737e-06
Position 878: 6.719138577455613e-06
Position 27: 6.380257765327538e-06
Position 891: 5.370375109116863e-06
Position 127: 3.4543564392994117e-06
Position 759: 3.0909037268200436e-06
Position 636: 2.9446296498464515e-06
Position 303: 9.087698645589323e-07
Position 763: 5.838343656363902e-07
Position 789: 5.81351060518413e-07
Position 327: 3.396680645006431e-07
Position 813: 8.358036791158557e-08
Position 171: 3.760271795923439e-09
Position 165: 2.2093686195819734e-09
Position 617: 2.925324038060574e-11
Position 387: 4.590978944369428e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 972: 0.9991716835395069
Position 296: 0.5168444585950522
Position 171: 0.44620637315165174
Position 655: 0.3754160960217035
Position 303: 0.0333732323798188
Position 587: 0.025220561979462937
Position 368: 0.011480570931828296
Position 1142: 0.010732315543254774
Position 1108: 0.006308744697297484
Position 323: 0.0052852708784098855
Position 746: 0.004444100463740216
Position 717: 0.0026330444719602484
Position 614: 0.0019596525688390628
Position 726: 0.001486757698500916
Position 339: 0.0008790851643997395
Position 396: 0.0008408120920915748
Position 161: 0.0006372560422872748
Position 320: 0.0003600994425276132
Position 425: 0.0003097116042872065
Position 177: 0.0002524363218470072
Position 671: 0.00024328260252258932
Position 1017: 0.00015132298749986195
Position 533: 0.00014302697214945283
Position 763: 0.00013939795963626906
Position 123: 3.0196192441723127e-05
Position 558: 2.6934462704890106e-05
Position 797: 2.6646306589966683e-05
Position 636: 2.480045677433919e-05
Position 92: 2.4023328162934933e-05
Position 510: 2.2568127806224196e-05
Position 662: 9.445945141197292e-06
Position 210: 9.063208782277927e-06
Position 1028: 8.430612347629147e-06
Position 65: 7.2584992067005885e-06
Position 868: 6.121998514075401e-06
Position 748: 6.004660019464714e-06
Position 443: 5.0738434142240366e-06
Position 457: 4.539312341036417e-06
Position 806: 4.369855104931789e-06
Position 130: 3.130590527825431e-06
Position 482: 2.2916602490563443e-06
Position 451: 1.909645908629072e-06
Position 1000: 1.8048899134465054e-06
Position 500: 1.623248128519476e-06
Position 782: 1.2175366126688304e-06
Position 677: 9.183725168159746e-07
Position 97: 8.618061448129475e-07
Position 118: 6.98281980985662e-07
Position 839: 6.962242693374643e-07
Position 231: 5.333774398173736e-07
Position 779: 4.6799594070382847e-07
Position 341: 3.787297128092881e-07
Position 135: 3.232803588254037e-07
Position 227: 2.0039628206460363e-07
Position 258: 1.884157301422261e-07
Position 410: 1.6796983951695428e-07
Position 145: 2.5412802973460397e-08
Position 137: 1.864995067853738e-08
Position 217: 9.14201592715874e-09
Position 234: 1.5797961940697305e-09
Position 353: 4.0859498597651645e-10
Position 253: 2.2450202970855718e-10
Position 238: 9.2586978988188e-12
Position 242: 7.866904672303824e-14
Position 246: 3.6275493367019925e-16
