Gene = Csl4
index = 1110
Annotated 5SS: [256]
Annotated 3SS: [309]
SMsplice 5SS: [256]
SMsplice 3SS: [309]
top_k =  1000
Partition function (log Z): -3.0890008356019636

Sorted 5' Splice Sites (High to Low Probability):
Position 256: 0.9906753269729925
Position 767: 0.018897031703730586
Position 248: 0.007310289244402871
Position 23: 0.005456713223945411
Position 823: 0.002541157338087613
Position 260: 0.001788916811498704
Position 319: 0.00026734086998391024
Position 778: 0.00025615316666455825
Position 316: 0.0002553588392160113
Position 730: 0.00019321168072364102
Position 888: 0.00018744441415716168
Position 927: 0.0001856974558551247
Position 721: 0.0001630647373085027
Position 414: 0.00011114831752100802
Position 219: 8.028654932462632e-05
Position 556: 7.827745874968807e-05
Position 757: 5.8863912730623546e-05
Position 743: 4.478570967640566e-05
Position 919: 4.0930201076903645e-05
Position 430: 3.440717319657723e-05
Position 59: 2.7012719371011248e-05
Position 894: 2.5798627821557396e-05
Position 37: 2.5300750395023695e-05
Position 229: 1.4696702119828672e-05
Position 667: 1.1604241343561683e-05
Position 827: 7.998185888252538e-06
Position 508: 7.566224736951634e-06
Position 661: 6.525122932312779e-06
Position 522: 5.871017427646787e-06
Position 687: 5.0927439572630745e-06
Position 25: 4.700479819401404e-06
Position 817: 2.6835355403176805e-06
Position 652: 2.4605432882058594e-06
Position 632: 2.4090316960116297e-06
Position 6: 2.3241711943568237e-06
Position 941: 1.7130996531444573e-06
Position 439: 1.6345121199334066e-06
Position 803: 1.5583270628343176e-06
Position 27: 1.428285991878657e-06
Position 385: 5.644940585885809e-07
Position 484: 5.2344925961328e-07
Position 616: 3.321288938175571e-07
Position 613: 2.3077333211119728e-07
Position 169: 2.172021186389662e-07
Position 370: 2.160131685490698e-07
Position 121: 1.6871811955398567e-07
Position 276: 1.0180750943452937e-07
Position 576: 8.181082237468715e-08
Position 101: 2.1376160079514212e-08
Position 323: 3.1956543072760808e-09
Position 124: 2.0039472007225036e-09
Position 325: 1.2726148090544674e-09
Position 391: 1.1551983103345253e-09
Position 541: 9.953608938061835e-10
Position 82: 6.559844103151091e-10
Position 309: 2.789809046867375e-10
Position 373: 1.999464154527421e-10
Position 852: 6.434094509853812e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 309: 0.9611035886823175
Position 315: 0.03022164011011751
Position 823: 0.015917686367378038
Position 358: 0.008370213617711173
Position 111: 0.004457557279834697
Position 865: 0.0027902221277763093
Position 981: 0.00145022620012725
Position 108: 0.0009424709281106391
Position 837: 0.0008187578751152686
Position 914: 0.0007459498337447701
Position 887: 0.0006624376125017949
Position 990: 0.0003342808909738942
Position 414: 0.00016167538790522274
Position 941: 0.00013574872437458122
Position 477: 0.00012147681328083465
Position 827: 9.773703040009011e-05
Position 379: 8.234221118447981e-05
Position 455: 6.41556614026844e-05
Position 576: 5.8010606125861045e-05
Position 632: 4.470948545286308e-05
Position 789: 4.153988176397326e-05
Position 152: 3.337797399551654e-05
Position 323: 2.3605484122560066e-05
Position 645: 1.877442854664902e-05
Position 867: 1.7010118146663376e-05
Position 333: 1.5356727686785574e-05
Position 124: 6.60529678302048e-06
Position 101: 5.74969168423919e-06
Position 367: 5.452188791213352e-06
Position 452: 5.00470021783826e-06
Position 786: 4.834974053513916e-06
Position 898: 4.6753783121860316e-06
Position 385: 4.659459003355156e-06
Position 573: 3.403257520186755e-06
Position 522: 3.400586877896091e-06
Position 502: 2.3365586734016644e-06
Position 766: 1.5853051974691544e-06
Position 164: 1.4875212645345818e-06
Position 117: 1.4040940524796255e-06
Position 383: 1.2871142573579753e-06
Position 930: 1.2289742114594905e-06
Position 59: 1.0489655120584096e-06
Position 480: 9.463472156739112e-07
Position 181: 6.40967442671207e-07
Position 241: 2.765498487727932e-07
Position 219: 2.552083195091959e-07
Position 195: 1.6515172749060967e-07
Position 696: 1.140672052424824e-07
Position 927: 6.54943322235477e-08
Position 159: 3.611346553154835e-08
Position 169: 3.237759417731107e-08
Position 554: 1.7390701637284754e-09
Position 687: 9.306172376012845e-10
Position 708: 5.018379855518433e-10
Position 192: 3.3037269476450853e-11
Position 141: 2.7454720150554423e-11
Position 256: 4.857237711547196e-12
Position 492: 2.002924749603975e-13
Position 260: 2.997267804672371e-14
