Gene = Fitm
index = 1170
Annotated 5SS: [191 869]
Annotated 3SS: [264 927]
SMsplice 5SS: [191 869]
SMsplice 3SS: [264 927]
top_k =  1000
Partition function (log Z): -3.4990521350664174

Sorted 5' Splice Sites (High to Low Probability):
Position 191: 0.9748530974235895
Position 869: 0.8976510253925924
Position 873: 0.016705525709710112
Position 562: 0.01637217073975142
Position 195: 0.015124454075530718
Position 570: 0.004912898551935227
Position 377: 0.004060030250513292
Position 447: 0.0029376990868762503
Position 1908: 0.0029136496106269435
Position 1293: 0.0016558358639653722
Position 1731: 0.0016221201793790619
Position 1254: 0.001559466844054705
Position 1736: 0.0014747937473311053
Position 581: 0.0013332353345925929
Position 888: 0.0007106833778345725
Position 353: 0.0006372599680836178
Position 585: 0.0005775916829717711
Position 505: 0.0005352027769029239
Position 598: 0.00043686887543962653
Position 1250: 0.0003115424568729937
Position 1325: 0.00024531736299515753
Position 525: 0.0001703730754865843
Position 1268: 0.00015004440596364438
Position 362: 0.0001475212394281258
Position 514: 0.00011800180239915047
Position 109: 0.00010920313612495451
Position 58: 7.781733728505141e-05
Position 1238: 7.463647354269607e-05
Position 1175: 6.737311607722995e-05
Position 1346: 4.987942828703376e-05
Position 179: 4.0529492480744334e-05
Position 741: 3.8820851403331854e-05
Position 1360: 3.671429500041723e-05
Position 1686: 3.6547888261210985e-05
Position 706: 3.456090581589556e-05
Position 302: 3.410459443601336e-05
Position 807: 3.1066558000994034e-05
Position 832: 2.691892219741404e-05
Position 404: 2.3409544684496856e-05
Position 928: 2.1944572858625898e-05
Position 1681: 2.1431707127531394e-05
Position 718: 2.077708705139352e-05
Position 210: 1.6305343933947888e-05
Position 589: 1.3190060568638347e-05
Position 1912: 1.2919928022721955e-05
Position 961: 1.2040868400211302e-05
Position 1042: 9.531781947304844e-06
Position 389: 9.433804634511102e-06
Position 1453: 8.979624135283039e-06
Position 703: 6.401839269183957e-06
Position 630: 5.828552928314242e-06
Position 1483: 4.355232170750534e-06
Position 886: 4.055914018576832e-06
Position 835: 4.016747527792013e-06
Position 1550: 3.671621544053715e-06
Position 199: 3.2798212558123495e-06
Position 949: 3.267573972852763e-06
Position 7: 2.6425447979083754e-06
Position 1766: 2.253834922562333e-06
Position 1023: 2.1631680311292658e-06
Position 151: 1.4523664398889132e-06
Position 113: 1.1591098314869275e-06
Position 968: 1.0729548949849466e-06
Position 916: 9.67404016159892e-07
Position 184: 7.622838875228632e-07
Position 914: 6.473799189410692e-07
Position 613: 5.726733536781843e-07
Position 14: 3.00971284505652e-07
Position 670: 1.9193603613865506e-07
Position 663: 1.1911976161224382e-07
Position 743: 1.1575843482687406e-07
Position 33: 1.1299251326932535e-07
Position 294: 1.1188720863916266e-07
Position 1524: 2.033444820917856e-08
Position 1613: 1.9177643268576393e-08
Position 825: 8.363157272237811e-09
Position 787: 5.776946315378227e-09
Position 1169: 3.256188327102337e-09
Position 654: 5.269195292587103e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 264: 0.956061977073263
Position 927: 0.8780418250769979
Position 627: 0.036761606848641895
Position 1018: 0.03072023844728548
Position 422: 0.0208577579136182
Position 956: 0.0063026251472089075
Position 1775: 0.00459906553354017
Position 1964: 0.0022412508822891642
Position 1810: 0.001628769444207284
Position 1430: 0.0014417143109734206
Position 282: 0.00137837481687527
Position 663: 0.0013513127651168
Position 1817: 0.0008641202016738542
Position 1970: 0.0008375108602608001
Position 581: 0.0008236404189137156
Position 675: 0.0006599467648698907
Position 328: 0.0006143361724512733
Position 1814: 0.0004821699572347808
Position 302: 0.00043443275312288914
Position 793: 0.00040049097395376246
Position 1483: 0.00021627360732853616
Position 1622: 0.00020387877555418248
Position 1625: 0.0001944275630032861
Position 946: 0.00012715326281232805
Position 565: 0.00012051668782831181
Position 294: 9.817477139564574e-05
Position 1232: 8.084713708485369e-05
Position 1102: 7.171199485394082e-05
Position 974: 6.831168761406156e-05
Position 534: 6.351450913270812e-05
Position 1396: 4.756056709296446e-05
Position 446: 4.69187762229022e-05
Position 109: 4.1451907065239455e-05
Position 488: 3.6741160792900085e-05
Position 1576: 2.1856181414930288e-05
Position 430: 2.17945030247745e-05
Position 1508: 1.9979618846731234e-05
Position 822: 1.9821115612905617e-05
Position 1292: 1.6111070795919015e-05
Position 334: 9.261057628782715e-06
Position 1169: 8.58073607502078e-06
Position 151: 7.98834047622911e-06
Position 322: 6.5678520193466905e-06
Position 1070: 6.183527044511686e-06
Position 1892: 6.022057528782619e-06
Position 1693: 5.965483772126046e-06
Position 1107: 4.0423187255271496e-06
Position 562: 2.8439396008985165e-06
Position 122: 1.9211693360233333e-06
Position 190: 1.857574981966221e-06
Position 1162: 1.599475197224896e-06
Position 1135: 1.5499782966363746e-06
Position 1300: 1.5201544826037413e-06
Position 78: 1.4123045331241084e-06
Position 1908: 1.3022754516224369e-06
Position 1373: 1.2532902804613981e-06
Position 531: 9.235867240999754e-07
Position 867: 8.805632884315376e-07
Position 1037: 7.93471781453249e-07
Position 348: 6.490204495802952e-07
Position 454: 2.9626491818983176e-07
Position 389: 1.9947141771772866e-07
Position 135: 1.7783579403471477e-07
Position 498: 1.1828044325617059e-07
Position 99: 5.608114352088208e-09
Position 1073: 7.009201380159207e-10
Position 195: 1.291524616029666e-10
Position 467: 3.0364626974136383e-11
