Gene = ppl
index = 1847
Annotated 5SS: [322 656]
Annotated 3SS: [376 716]
SMsplice 5SS: [322 656]
SMsplice 3SS: [376 716]
top_k =  1000
Partition function (log Z): 1.9777130307244029

Sorted 5' Splice Sites (High to Low Probability):
Position 656: 0.9915719540402622
Position 322: 0.985369406708134
Position 589: 0.006855850820624542
Position 103: 0.001802576453906633
Position 105: 0.0009187535347891128
Position 804: 0.0008447953648349811
Position 153: 0.000570896776887023
Position 871: 0.00038392141768461835
Position 577: 0.00038382892804577365
Position 98: 0.0003213395222686958
Position 436: 0.0001649910426307785
Position 565: 0.00015802404773102705
Position 877: 9.076195147454017e-05
Position 530: 6.490700148338162e-05
Position 47: 6.299205804883219e-05
Position 610: 5.2846168522522667e-05
Position 781: 3.687790640198654e-05
Position 667: 3.3125836869581824e-05
Position 402: 3.246666028588755e-05
Position 24: 2.6709582531904063e-05
Position 412: 1.5924144952230542e-05
Position 547: 1.1283953617715798e-05
Position 855: 1.0860643276945708e-05
Position 107: 8.767052898023065e-06
Position 641: 8.683373904061634e-06
Position 207: 8.606699736715096e-06
Position 415: 6.0126521263950945e-06
Position 14: 3.2560809462078777e-06
Position 567: 2.5626647865418398e-06
Position 731: 2.0035814582925652e-06
Position 631: 1.9695981707358612e-06
Position 363: 1.4861016084236386e-06
Position 109: 1.3165312397544551e-06
Position 475: 8.542854316958916e-07
Position 333: 5.285419442387769e-07
Position 186: 3.5019782505785044e-07
Position 887: 3.3086910699052084e-07
Position 177: 3.2100952262022034e-07
Position 406: 1.8389289101620066e-07
Position 581: 1.3194285472013707e-07
Position 478: 1.1187003610143503e-07
Position 480: 6.335372012290563e-08
Position 4: 5.1717305870899345e-08
Position 259: 3.385613292060219e-08
Position 279: 2.635932325882561e-08
Position 261: 1.501720495532204e-08
Position 129: 3.5021821441726216e-09
Position 700: 2.3032979314088033e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 716: 0.997787528183099
Position 376: 0.983847734162248
Position 177: 0.003006579800933566
Position 730: 0.0015924863420059443
Position 858: 0.0007871081216917505
Position 496: 0.0005661639660938936
Position 229: 0.0004930752398962898
Position 962: 0.0004874691285441149
Position 425: 0.0003892857628087966
Position 459: 0.00023942949152777168
Position 449: 9.21409014017235e-05
Position 439: 6.6089751279045e-05
Position 638: 6.427853139979553e-05
Position 581: 5.590361735839126e-05
Position 894: 5.539527189681068e-05
Position 101: 5.0279484712890875e-05
Position 242: 4.5302782618646376e-05
Position 881: 4.20031680535734e-05
Position 402: 2.577082571494074e-05
Position 986: 2.2617595975389543e-05
Position 436: 1.7386973261750956e-05
Position 641: 1.230886565668084e-05
Position 588: 1.1897342539310113e-05
Position 284: 1.1885746692145737e-05
Position 654: 1.0887246816022674e-05
Position 516: 9.7756767868963e-06
Position 844: 7.629508978879513e-06
Position 742: 5.285899538127274e-06
Position 519: 4.639839800804925e-06
Position 345: 3.840897069037058e-06
Position 801: 3.617733757832839e-06
Position 254: 3.4578929182854627e-06
Position 751: 3.441050546971369e-06
Position 609: 3.1102834172202662e-06
Position 259: 2.094758438384708e-06
Position 631: 8.486121412619075e-07
Position 600: 7.95949215630999e-07
Position 462: 5.452556085973551e-07
Position 651: 5.374008664050065e-07
Position 871: 3.442072463330356e-07
Position 315: 3.328402604680592e-07
Position 781: 2.7944923531200227e-07
Position 411: 2.1922034910282874e-07
Position 660: 1.8666180571642975e-07
Position 761: 1.6527412501777113e-07
Position 804: 1.4976713858943466e-07
Position 307: 1.4834826182364641e-07
Position 553: 1.0391936838409345e-07
Position 543: 7.720914673945313e-08
Position 672: 7.718621869900802e-08
Position 560: 1.9507032530537575e-08
Position 615: 1.158048039380289e-08
Position 826: 8.630540649295065e-09
Position 788: 3.5624047063457846e-09
Position 321: 3.0162736597019876e-09
Position 54: 2.6770817621101204e-09
Position 326: 2.5161804329728862e-09
Position 775: 1.254802510039974e-09
Position 823: 8.346682316103456e-10
Position 564: 5.140113366812223e-10
Position 817: 3.809770812734661e-10
