Gene = MESR3
index = 1265
Annotated 5SS: [  469 14519 32372]
Annotated 3SS: [14486 32341 42952]
SMsplice 5SS: [469]
SMsplice 3SS: [42952]
top_k =  1000
Partition function (log Z): -27.88034691425737

Sorted 5' Splice Sites (High to Low Probability):
Position 469: 0.9999999998497793
Position 32372: 0.25084070630112587
Position 11865: 0.12001230265140135
Position 607: 1.834025046209481e-07
Position 20906: 1.4070399429831496e-07
Position 7411: 8.32419204585196e-08
Position 17087: 1.936265319773248e-09
Position 17392: 1.6011058475740488e-09
Position 14129: 7.037398359351421e-10
Position 14519: 2.6692011552472015e-10
Position 8195: 2.542631501541397e-10
Position 967: 1.1072108162859402e-10
Position 8533: 9.919136762158331e-11
Position 463: 9.767017726612207e-11
Position 7638: 8.885342359109285e-11
Position 12154: 6.639025892154143e-11
Position 8569: 5.2119948770213445e-11
Position 1219: 4.642841202966667e-11
Position 789: 3.303352977839603e-11
Position 14008: 3.12226538079604e-11
Position 456: 1.4239148923446372e-11
Position 11476: 1.0104251473069128e-11
Position 157: 6.627992192910632e-12
Position 39: 6.492146994518465e-12
Position 7861: 6.20486850168292e-12
Position 473: 5.2215880863146585e-12
Position 7871: 4.954791694510444e-12
Position 63: 2.69601495538839e-12
Position 34: 2.490491318251291e-12
Position 376: 1.9938305276011123e-12
Position 374: 1.6769370598124708e-12
Position 370: 1.5621224995613294e-12
Position 151: 1.4973115705205134e-12
Position 4281: 1.4906460372250718e-12
Position 372: 1.3894349866006369e-12
Position 1233: 1.2694538967180535e-12
Position 69: 1.1953156982004744e-12
Position 586: 1.178556757113647e-12
Position 174: 1.073952359913809e-12
Position 380: 9.962622204287157e-13
Position 2136: 8.363468198684093e-13
Position 368: 7.201483139789831e-13
Position 497: 5.772398686567524e-13
Position 92: 5.30018254328793e-13
Position 7522: 4.803505442599602e-13
Position 7532: 4.223671456734068e-13
Position 77: 2.8484450838743193e-13
Position 1265: 2.5733287276278913e-13
Position 4515: 2.4803059417196833e-13
Position 236: 2.4618358604587355e-13
Position 1636: 1.8108978809836692e-13
Position 26: 1.0842858439719154e-13
Position 343: 8.918784620083244e-14
Position 280: 8.873512199675034e-14
Position 345: 7.935136297310985e-14
Position 95: 7.915650325804302e-14
Position 253: 7.789554074465777e-14
Position 386: 7.160190422162567e-14
Position 389: 6.709581394414236e-14
Position 51: 6.514332136824228e-14
Position 9516: 4.913435854766807e-14
Position 82: 4.103814063504793e-14
Position 591: 3.0807367906426226e-14
Position 161: 2.9828134736077054e-14
Position 599: 2.95093265740246e-14
Position 383: 2.8079727882524557e-14
Position 378: 2.076592710995778e-14
Position 594: 1.748711260265602e-14
Position 4321: 1.6234785361637464e-14
Position 2429: 1.0128625068119168e-14
Position 738: 7.069447464590644e-15
Position 435: 6.869273282061001e-15
Position 748: 5.572698665751301e-15
Position 4635: 3.934724747342251e-15
Position 333: 3.0288750856047204e-15
Position 56: 2.7419631516095755e-15
Position 978: 2.4517062587940345e-15
Position 159: 1.8980428621938465e-15
Position 4103: 1.0711740425520611e-15
Position 3746: 1.0004164603545352e-15
Position 956: 7.686374610168695e-16
Position 4243: 5.811120201125004e-16
Position 3165: 5.033760668837236e-16
Position 349: 3.7673614816279875e-16
Position 561: 3.7320566716775515e-16
Position 5305: 2.652948029889912e-16
Position 769: 2.0576290388540347e-16
Position 2138: 1.8112010151463422e-16
Position 1840: 1.3799511283337392e-16
Position 3795: 1.2786005473296036e-16
Position 650: 1.2024622745113916e-16
Position 897: 1.1138574869317295e-16
Position 347: 8.83015399390855e-17
Position 757: 7.09249772611555e-17
Position 2209: 7.036570228292868e-17
Position 2422: 6.503754208427758e-17
Position 783: 3.4752929787504945e-17
Position 2382: 2.967342849029391e-17
Position 1629: 2.4321328812313002e-17
Position 1963: 2.3316262274630282e-17
Position 1201: 2.2379964957165897e-17
Position 1488: 2.2372126629602413e-17
Position 1094: 1.9752377005343103e-17
Position 1787: 1.3726566956406004e-17
Position 2385: 1.2448901674969318e-17
Position 3548: 1.1353476615250399e-17
Position 1359: 1.0783241561057195e-17
Position 919: 1.0580851774666778e-17
Position 1333: 6.865140708639476e-18
Position 1209: 4.29575182690448e-18
Position 1932: 3.1418271624385275e-18
Position 2658: 2.1221576865596742e-18
Position 702: 2.0710736441237017e-18
Position 2363: 2.0239401067011752e-18
Position 797: 1.8305148797923175e-18
