Gene = ICA69
index = 1217
Annotated 5SS: [ 933 1242]
Annotated 3SS: [1001 1302]
SMsplice 5SS: [ 933 1242]
SMsplice 3SS: [1001 1302]
top_k =  1000
Partition function (log Z): -0.9808555591344752

Sorted 5' Splice Sites (High to Low Probability):
Position 933: 0.9830423940362051
Position 1242: 0.9624369895886178
Position 15: 0.052435361531842216
Position 1139: 0.019291021349855164
Position 1229: 0.009847221730084335
Position 907: 0.008141954479608228
Position 474: 0.0029906973529224526
Position 50: 0.0021448495267760805
Position 95: 0.0019495543877694967
Position 879: 0.0013160407929201164
Position 671: 0.0009723806571110026
Position 1212: 0.0008174170479318416
Position 619: 0.0007473818121308281
Position 1226: 0.0007289802668311236
Position 847: 0.0005805224240568607
Position 210: 0.0005451946154677646
Position 396: 0.0004891000859381042
Position 1194: 0.0004265320961110751
Position 857: 0.00030841722332741
Position 1367: 0.0001858888744911093
Position 24: 0.0001742880669787906
Position 303: 0.0001300817810432045
Position 565: 0.00012575605545279297
Position 1150: 7.895548253025179e-05
Position 578: 6.383999293098603e-05
Position 885: 6.291311755845827e-05
Position 1436: 5.34013777801319e-05
Position 563: 5.3062524624273346e-05
Position 366: 5.153706906920235e-05
Position 399: 4.852841687775326e-05
Position 809: 4.6007217720571e-05
Position 317: 4.146290027090051e-05
Position 476: 3.989875672086379e-05
Position 1067: 3.776711984399357e-05
Position 1574: 3.6928279740625686e-05
Position 645: 3.0881195649486126e-05
Position 956: 2.952024759710934e-05
Position 1152: 2.782910604211128e-05
Position 359: 2.405747401014508e-05
Position 681: 2.0969675318463082e-05
Position 169: 1.6621555545944028e-05
Position 1034: 1.2584644472805395e-05
Position 200: 1.0426602368557925e-05
Position 300: 9.079938075075842e-06
Position 708: 8.127844863259202e-06
Position 1347: 8.08448239486075e-06
Position 1568: 7.575133044135272e-06
Position 675: 7.118713590240515e-06
Position 1050: 5.369420721032699e-06
Position 569: 5.191670065566152e-06
Position 171: 4.2102141408060586e-06
Position 1546: 3.998312788260463e-06
Position 1166: 2.661007190992748e-06
Position 1588: 1.437641259003662e-06
Position 1059: 1.3579649682107877e-06
Position 1509: 1.2344409659213362e-06
Position 509: 9.663244732109107e-07
Position 716: 9.198926427784555e-07
Position 714: 5.851627295708582e-07
Position 622: 5.701183667077272e-07
Position 1500: 1.9643775293408176e-07
Position 567: 9.639503624326333e-08
Position 377: 7.388432273274489e-08
Position 1308: 6.3153720157172415e-09
Position 551: 6.051316201331113e-09
Position 1697: 5.952764409043758e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1001: 0.995917479081344
Position 1302: 0.9864746452704558
Position 135: 0.032335999430370285
Position 161: 0.014507740834839689
Position 1188: 0.007260476198507664
Position 533: 0.0030204278989421213
Position 1017: 0.0016582831951580954
Position 395: 0.0016393898697058473
Position 200: 0.0014822257740479718
Position 320: 0.0013757882151936734
Position 300: 0.000774606103182512
Position 557: 0.0005595313272625353
Position 1308: 0.0005581979309125827
Position 258: 0.00036955688709853596
Position 1014: 0.000305697238541161
Position 665: 0.00029890243515849944
Position 455: 0.00027317187499747026
Position 560: 0.00023518607223860992
Position 169: 0.00016339310064064327
Position 229: 0.00013483441541443513
Position 1425: 0.0001343924081911193
Position 749: 0.00010947591194688464
Position 577: 0.00010100704304203562
Position 929: 8.689771981407471e-05
Position 1514: 8.289065902324703e-05
Position 58: 7.55020305785009e-05
Position 872: 7.31696731339968e-05
Position 701: 6.614518692137201e-05
Position 737: 6.474552255088248e-05
Position 499: 6.212091066170869e-05
Position 809: 6.061703041733726e-05
Position 404: 5.6029149894933856e-05
Position 1654: 4.449828818705385e-05
Position 1133: 3.41071034319463e-05
Position 359: 2.7658234797913173e-05
Position 1521: 2.1906940487049923e-05
Position 1106: 2.173856553032111e-05
Position 1314: 2.1022279417202876e-05
Position 1160: 1.9538514073144257e-05
Position 1737: 1.6976697037371346e-05
Position 758: 1.6921339390440962e-05
Position 1484: 1.6234875577586028e-05
Position 773: 1.3265428112358012e-05
Position 1422: 1.2813443465191781e-05
Position 371: 1.2054291741462021e-05
Position 210: 7.875334084871646e-06
Position 563: 7.373822555424763e-06
Position 1088: 7.133919497611992e-06
Position 377: 5.8343774820493836e-06
Position 536: 5.384282038475757e-06
Position 590: 4.053608553658088e-06
Position 1139: 3.831535400168475e-06
Position 1258: 3.718717260452861e-06
Position 817: 3.1555819832289686e-06
Position 1085: 2.980151126045408e-06
Position 1118: 2.923931291819081e-06
Position 237: 2.82144042627409e-06
Position 365: 2.6609826214259855e-06
Position 641: 2.3101860074727567e-06
Position 1605: 2.2445757439324552e-06
Position 1563: 1.9332333357318067e-06
Position 587: 1.6988742851762724e-06
Position 1666: 1.2342192540983267e-06
Position 1190: 1.2097049186444268e-06
Position 467: 1.0737511144550527e-06
Position 422: 1.0729619081465359e-06
Position 770: 1.0529508663068692e-06
Position 845: 9.96272706175919e-07
Position 1073: 9.481295019917567e-07
Position 1518: 9.053443175157456e-07
Position 431: 9.002960090471877e-07
Position 1546: 8.192023274778119e-07
Position 1595: 7.936874080564279e-07
Position 1494: 7.763361972169283e-07
Position 1320: 7.674569671645449e-07
Position 893: 7.197138071896792e-07
Position 1344: 7.041404516774025e-07
Position 1549: 5.409216782638672e-07
Position 746: 5.360535890142807e-07
Position 1332: 4.843942461966333e-07
Position 622: 4.696062037378973e-07
Position 1179: 4.491626720000451e-07
Position 410: 3.8294921554057445e-07
Position 1272: 3.3022837050395123e-07
Position 1209: 2.96339138733911e-07
Position 1194: 2.924956006882205e-07
Position 667: 2.2352974236616417e-07
Position 1447: 2.2128267526067955e-07
Position 1431: 2.1211682811487583e-07
Position 1541: 1.2970318914091188e-07
Position 1697: 1.2567601211731026e-07
Position 1527: 4.630192750113673e-08
Position 1573: 4.556710805426349e-08
Position 1775: 3.402496041916416e-08
Position 1260: 3.212367727811953e-08
Position 1436: 2.349632988451292e-08
Position 1367: 1.0287362740511655e-08
Position 1347: 1.0246516292359257e-08
Position 1568: 8.948462297544495e-09
Position 1710: 8.459197255629079e-09
Position 1220: 6.506760718371202e-09
Position 425: 3.1460961056396423e-10
Position 473: 3.084684267562065e-14
