Gene = ChLD3
index = 1068
Annotated 5SS: [ 345 2455 3039]
Annotated 3SS: [1721 2515 3096]
SMsplice 5SS: [ 984 2455]
SMsplice 3SS: [1721 2515]
top_k =  1000
Partition function (log Z): -5.962522454521782

Sorted 5' Splice Sites (High to Low Probability):
Position 2455: 0.9841865785464756
Position 984: 0.6794206747413847
Position 3039: 0.3884323357181804
Position 345: 0.2367397110221623
Position 3277: 0.2321146166471567
Position 999: 0.055194720062047675
Position 2796: 0.04233369221993519
Position 2616: 0.026504879211885938
Position 3377: 0.02538609575568494
Position 1613: 0.024820925866419218
Position 2708: 0.024151889493756157
Position 1027: 0.023480741627325576
Position 1881: 0.020120191099209987
Position 3453: 0.0186537121908592
Position 770: 0.014177480795981315
Position 3005: 0.013539799978883693
Position 1649: 0.012532795570823705
Position 380: 0.010817413346976478
Position 2987: 0.0104074144500886
Position 766: 0.010350648057653008
Position 491: 0.0070324116333515966
Position 1466: 0.006877639945729362
Position 3015: 0.005944701452295054
Position 1664: 0.005526371290724758
Position 3482: 0.005363204603780125
Position 2315: 0.004780589224757512
Position 1928: 0.004379134453301572
Position 1430: 0.004223257097356043
Position 2724: 0.004024978443323367
Position 2924: 0.003728730456537942
Position 1070: 0.003588878931108399
Position 803: 0.0032796930589290515
Position 501: 0.003020900164947737
Position 774: 0.0026259005089894357
Position 338: 0.0023984590675804164
Position 3435: 0.002391544442941903
Position 279: 0.0016730001463461102
Position 1040: 0.0015392852341883027
Position 299: 0.0015236278307034945
Position 3250: 0.0013018531401721837
Position 1633: 0.0012857471774385535
Position 1861: 0.0012391010228830956
Position 1299: 0.0012375659752996697
Position 2125: 0.0010827796915558376
Position 2580: 0.0010631795732543479
Position 1340: 0.0007893667375478686
Position 1357: 0.000773070358788487
Position 887: 0.0007471078528214898
Position 1546: 0.0006124001362049202
Position 2450: 0.0005994517394408232
Position 2870: 0.0005377970899240489
Position 25: 0.0005216125099073676
Position 988: 0.0005028389352595278
Position 2862: 0.0004932105288033991
Position 2678: 0.0003464929344590646
Position 1557: 0.00031944764352504835
