Gene = chic
index = 1646
Annotated 5SS: [  66 1607 4408]
Annotated 3SS: [1313 4235 7343]
SMsplice 5SS: [ 755 1607 4408]
SMsplice 3SS: [1313 4235 7343]
top_k =  1000
Partition function (log Z): -2.821995971115212

Sorted 5' Splice Sites (High to Low Probability):
Position 4408: 0.9870121766292321
Position 1607: 0.8163012483029057
Position 755: 0.4483560229694282
Position 68: 0.2504397005270017
Position 460: 0.23646066449900197
Position 7553: 0.13223035695391297
Position 1079: 0.11877530920040069
Position 7220: 0.09529349057084491
Position 6345: 0.08826311704996678
Position 7579: 0.052658717982256076
Position 5861: 0.04925587169234968
Position 5820: 0.04788944302332793
Position 8432: 0.038340177878898284
Position 172: 0.037948299748914914
Position 1419: 0.03284147362285741
Position 284: 0.032282861537940945
Position 7435: 0.031180361789996287
Position 1200: 0.026939312739613353
Position 7042: 0.026790014285895128
Position 5364: 0.022515964749841084
Position 872: 0.022500499834633744
Position 3725: 0.017109005851469343
Position 5867: 0.015692196772947586
Position 7258: 0.011687400572445321
Position 8481: 0.010756522200915958
Position 1611: 0.010270583444416519
Position 4428: 0.009776342184193591
Position 7944: 0.009772097073479664
Position 7195: 0.008015237472556386
Position 77: 0.007835556522667675
Position 8384: 0.007796225450218917
Position 1320: 0.007582747262816713
Position 431: 0.00711903209134253
Position 8573: 0.006775017393615478
Position 2471: 0.006706385428995631
Position 993: 0.006014237956288594
Position 1266: 0.005426119921394292
Position 8060: 0.005368124174298628
Position 6737: 0.0049900017474105
Position 266: 0.00470442579205912
Position 751: 0.004385912319560469
Position 1059: 0.003510276612782396
Position 974: 0.0034687700735655707
Position 288: 0.003413952224593375
Position 290: 0.0030404715150849403
Position 998: 0.0029564857248973774
Position 6582: 0.002752705423094895
Position 1067: 0.0027391890441906394
Position 767: 0.002416920158293416
Position 292: 0.002412105087829559
Position 296: 0.0021454037836147475
Position 1063: 0.0020231251224892962
Position 8757: 0.0019037232060437656
Position 7125: 0.001803113409865398
Position 2898: 0.0016732637820579264
Position 3908: 0.001533404380657211
Position 236: 0.0014552291924651694
Position 4051: 0.001447481413645647
Position 1402: 0.0014224637582827225
Position 1065: 0.0013375037867691196
Position 1887: 0.0013266456651790399
Position 1990: 0.0012415165405247645
Position 5302: 0.0012070388677489002
Position 1010: 0.0011335971780489687
Position 436: 0.0011171889047444628
Position 286: 0.0010016313000676645
Position 137: 0.0009042948905726431
Position 8238: 0.0007844341223981225
Position 1540: 0.0007786116969284609
Position 976: 0.0006670676129763426
Position 648: 0.0006531742927242588
Position 2775: 0.0006005422652141828
Position 5775: 0.0005457289229178605
Position 379: 0.00054289821796359
Position 386: 0.0005188645445424595
Position 2906: 0.0004871995267682609
Position 66: 0.0004628066134704987
Position 6785: 0.0004368936541189653
Position 3287: 0.0004256326103467327
Position 7400: 0.0004132351787890285
Position 3745: 0.0003665463709237812
Position 4538: 0.00032720743105253637
Position 1071: 0.0003233466185480744
Position 8613: 0.00031654229760426605
Position 134: 0.0003076934341732811
Position 354: 0.00027084272361526025
Position 129: 0.00026045398088817294
Position 6014: 0.0002583892531154883
Position 1647: 0.00025104349053289046
Position 4733: 0.0002507061166598273
Position 304: 0.00024312663908786618
Position 1972: 0.00022797408708300098
Position 2489: 0.00022730096002856692
Position 6713: 0.00020725158902419448
Position 2339: 0.00020320248980378893
Position 1720: 0.00019740287539277287
Position 4325: 0.0001883416804357484
Position 3297: 0.00018588955131534213
Position 6097: 0.00016686827512419882
Position 542: 0.00016673782544534136
Position 3787: 0.00014116113428777643
Position 81: 0.00012708076633057025
Position 4442: 0.00011105584690372116
Position 5871: 0.00010596244731643126
Position 358: 9.507954653629908e-05
Position 5250: 9.178907252313761e-05
Position 1960: 8.961504968676148e-05
Position 486: 8.876871791041318e-05
Position 1158: 7.972490314029124e-05
Position 1029: 7.856295610645593e-05
Position 314: 7.847302624090354e-05
Position 1809: 7.484078389069195e-05
Position 33: 7.149738357766404e-05
Position 687: 6.529813081114391e-05
Position 204: 6.245374811289747e-05
Position 2848: 5.81774332543752e-05
Position 2293: 5.727833928700294e-05
Position 308: 5.445925767693053e-05
Position 339: 5.402228624058505e-05
Position 4867: 5.386971713861832e-05
Position 519: 5.356000584117318e-05
Position 4869: 5.3528035856404e-05
Position 57: 5.1795374993406466e-05
Position 1004: 5.0713809255594015e-05
Position 330: 4.8247473129322274e-05
Position 759: 4.680060098367185e-05
Position 2083: 4.386446113070281e-05
Position 876: 4.023723072602496e-05
Position 978: 3.978553374791868e-05
Position 4785: 3.7167921476831334e-05
Position 14: 3.6187997803699065e-05
Position 4356: 3.590543334438024e-05
Position 897: 3.521771604815754e-05
Position 270: 3.369867220819177e-05
Position 59: 2.6780685159133308e-05
Position 5299: 1.94196918312936e-05
Position 1414: 1.890073520584269e-05
Position 276: 1.7803434913187223e-05
Position 6552: 1.6310811967086152e-05
Position 5504: 1.613462092565892e-05
Position 4476: 1.4933388087732348e-05
Position 72: 1.4870658608028984e-05
Position 4901: 1.47587356614635e-05
Position 1615: 1.4640419471972587e-05
Position 7672: 1.3722944971699703e-05
Position 4776: 1.276594795693438e-05
Position 1382: 1.144825800482239e-05
Position 5094: 1.1071710593576151e-05
Position 96: 1.1066295865960496e-05
Position 1691: 1.0442003335822738e-05
Position 1712: 1.043224071217847e-05
Position 2444: 9.861936678946594e-06
Position 1020: 9.52209240222783e-06
Position 2022: 9.457759018466693e-06
Position 1172: 9.04217747298161e-06
Position 904: 8.8083830825393e-06
Position 614: 8.756241953389235e-06
Position 5351: 8.445651790391619e-06
Position 5997: 8.365517572642028e-06
Position 259: 7.387043685565657e-06
Position 1014: 6.841762832778434e-06
Position 1113: 6.329756127026201e-06
Position 581: 5.815361766348939e-06
Position 1069: 5.677209850584113e-06
Position 4524: 5.448347098486691e-06
Position 4432: 5.364217009909156e-06
Position 1047: 5.139275761317121e-06
Position 967: 4.477517855599289e-06
Position 5024: 4.195081654211523e-06
Position 4977: 3.5694002480988747e-06
Position 5843: 3.064971781930415e-06
Position 4651: 2.848945090614762e-06
Position 5355: 2.0731026883501707e-06
Position 181: 1.7770999585497053e-06
Position 294: 1.4437219313782107e-06
Position 8420: 9.733222345286852e-07
Position 656: 4.4068775193226495e-07
Position 316: 3.563387507410485e-07
Position 306: 3.0164018918903175e-07
Position 587: 1.8454287619787533e-07
Position 402: 1.8068215788622552e-07
Position 4633: 1.6199466824387045e-07
Position 980: 1.336246258966699e-07
Position 576: 1.2238913583021268e-07
Position 527: 1.0392335570201899e-07
Position 197: 7.772458159016737e-08
Position 8: 6.37606918197541e-08
Position 6: 8.063427114251193e-09
Position 26: 6.7615794477421455e-09
Position 4516: 3.134973477835534e-09
Position 4743: 1.513999414647761e-10
Position 4657: 3.386264977466821e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 4235: 0.9972128918305463
Position 7343: 0.9476542463386531
Position 1313: 0.7631050864220145
Position 519: 0.24938283222000251
Position 5554: 0.10993971156818637
Position 8121: 0.07918912202072004
Position 8655: 0.06672373234717544
Position 6395: 0.060543725930298706
Position 6652: 0.03979159399651796
Position 7654: 0.0350210795133981
Position 6991: 0.03192139260092079
