Gene = Mnn1
index = 1281
Annotated 5SS: [ 856 1374 2025 2898]
Annotated 3SS: [ 922 1562 2091 4664]
SMsplice 5SS: [ 856 1374 2025 2898 4419 4608]
SMsplice 3SS: [1046 1562 2091 4261 4497 4664]
top_k =  1000
Partition function (log Z): 2.190574685265194

Sorted 5' Splice Sites (High to Low Probability):
Position 2025: 0.9924722001491603
Position 2898: 0.9920765286431982
Position 856: 0.966839568098041
Position 1374: 0.8804655197878491
Position 4419: 0.6525466922826947
Position 4608: 0.4971950697353999
Position 5217: 0.3349338620070527
Position 2543: 0.3212830890377788
Position 4452: 0.1781918557280457
Position 5417: 0.1687114957800165
Position 236: 0.13985528072500497
Position 5464: 0.09911423018515227
Position 5480: 0.08280523374585061
Position 1350: 0.07284492270002006
Position 3448: 0.05103341951211139
Position 2683: 0.04225138136536337
Position 644: 0.0376906759179229
Position 4963: 0.026802595111761068
Position 2373: 0.01693547352669629
Position 4410: 0.01567176040151279
Position 6771: 0.015436660916672605
Position 2604: 0.010988300028995238
Position 2311: 0.009652792068300473
Position 4110: 0.005166070248874981
Position 1491: 0.004576239386929168
Position 1715: 0.004513317183800127
Position 2547: 0.004431454742502706
Position 4762: 0.004024436322220364
Position 1703: 0.004011917257266092
Position 1378: 0.003937097007001646
Position 3739: 0.003657200301385164
Position 5483: 0.003347662658744389
Position 4423: 0.003331207473421479
Position 2584: 0.003091569597370276
Position 5410: 0.002668262758383164
Position 2187: 0.0024501772129671127
Position 2467: 0.002390354976897104
Position 4612: 0.0023374795935604967
Position 825: 0.0022596609919860087
Position 1724: 0.0021007542909682974
Position 2563: 0.0019907917635227663
Position 5198: 0.001985760997624258
Position 2569: 0.001919313567250041
Position 5429: 0.0015782713509682972
Position 3270: 0.0014946265920308093
Position 3927: 0.001493951478850643
Position 3792: 0.0014097007642601715
Position 2342: 0.001366498132547912
Position 2173: 0.0012992897646303847
Position 2321: 0.0011589773046841027
Position 91: 0.000964890726852107
Position 1005: 0.0009514083082177131
Position 4141: 0.0008973957094732933
Position 5441: 0.0008292028902884184
