Gene = Kr-h2
index = 1246
Annotated 5SS: [ 198 1687 1994 2184]
Annotated 3SS: [1423 1743 2049 2246]
SMsplice 5SS: [ 198 1687 1994 2184]
SMsplice 3SS: [1423 1743 2049 2246]
top_k =  1000
Partition function (log Z): 9.55109326215309

Sorted 5' Splice Sites (High to Low Probability):
Position 2184: 0.9992226427990564
Position 1687: 0.9983195577216557
Position 1994: 0.9905582828597136
Position 198: 0.9350759260290523
Position 990: 0.05487651554879199
Position 739: 0.03970681113488858
Position 1136: 0.03284045313819158
Position 2421: 0.028213412594307204
Position 191: 0.023515727624048792
Position 1326: 0.016604886278663567
Position 635: 0.015001376799015103
Position 756: 0.013909645224667503
Position 1280: 0.012746594044643109
Position 2469: 0.011525583147687432
Position 2629: 0.007907498302545264
Position 774: 0.006953990526542014
Position 750: 0.004961478531975901
Position 1069: 0.004268337996434736
Position 36: 0.004250465128811212
Position 494: 0.003673126297249615
Position 617: 0.003064176876929567
Position 2040: 0.0027742349848839344
Position 838: 0.0024736182175288924
Position 215: 0.0018671594007477353
Position 484: 0.0010266158400439476
Position 40: 0.0009129896038180122
Position 1224: 0.0008280418409899238
Position 656: 0.0008041638264815992
Position 351: 0.0007968343049157813
Position 202: 0.0006954144975473302
Position 489: 0.0006421698257588931
Position 541: 0.0006395148329348677
Position 1063: 0.000528943403780744
Position 1200: 0.0005149236050260948
Position 1691: 0.0004472893001996333
Position 326: 0.00040818307285313184
Position 2590: 0.00040399428754372795
Position 1312: 0.0004003302520379268
Position 258: 0.0003794779355330125
Position 996: 0.0003302554244483338
Position 2573: 0.0002860529270454128
Position 115: 0.00028404106804311857
Position 1948: 0.00027337406512901964
Position 2632: 0.000268929364969134
Position 1769: 0.0002683898269790765
Position 1888: 0.000243363811533519
Position 23: 0.00022549299365790985
Position 338: 0.00020958200819852808
Position 779: 0.00020742667037351004
Position 886: 0.00017968129791233594
Position 1059: 0.00016006622573914796
Position 8: 0.0001557634229248368
Position 310: 0.00014585125032618183
Position 479: 0.00014210917843778925
Position 627: 0.00013503581005724612
Position 1140: 0.0001205206110561065
Position 1574: 0.00011907311011665337
Position 1167: 0.00010771280603767964
Position 2604: 9.3119085942184e-05
Position 842: 9.166063821497443e-05
Position 862: 9.036128683324217e-05
Position 177: 8.302019452939344e-05
Position 381: 7.701774551649578e-05
Position 869: 6.564010804619131e-05
Position 2581: 6.39417508995193e-05
Position 940: 5.828490435192235e-05
Position 1661: 5.5549591835811736e-05
Position 1928: 5.532277496141208e-05
Position 2351: 5.105869273420812e-05
Position 568: 4.762682885195491e-05
Position 2026: 4.745175676361629e-05
Position 539: 4.468212413602312e-05
Position 1670: 4.449201359924987e-05
Position 919: 4.3424746702428625e-05
Position 2293: 4.137793236939706e-05
Position 1858: 4.1028689441744676e-05
Position 844: 3.789601721420325e-05
Position 418: 2.9957058999016787e-05
Position 466: 2.9301132608672117e-05
Position 1836: 2.827327376454726e-05
Position 2554: 2.412738696374196e-05
Position 860: 2.114571857635419e-05
Position 2425: 1.9406423615168927e-05
Position 84: 1.831307189361399e-05
Position 2538: 1.6992082756884335e-05
Position 1386: 1.6765689555479434e-05
Position 2877: 1.589547693559875e-05
Position 2188: 1.19089297210293e-05
Position 1077: 1.1183587918794138e-05
Position 1825: 9.661720416019083e-06
Position 140: 9.293607834919744e-06
Position 2170: 9.096989472134814e-06
Position 1175: 8.743217816497326e-06
Position 1129: 7.867100882243182e-06
Position 2408: 7.357134464564931e-06
Position 1803: 7.294539877322962e-06
Position 1039: 5.953890243966634e-06
Position 472: 5.515724125270157e-06
Position 1646: 4.215710891371266e-06
Position 1843: 3.7881268116973556e-06
Position 1955: 3.6554283291612598e-06
Position 1940: 3.5768619521192348e-06
Position 1875: 3.1215632950774445e-06
Position 2881: 3.100501918289158e-06
Position 2773: 2.2503518287120877e-06
Position 819: 1.9863746556449396e-06
Position 2272: 1.4349831779683601e-06
Position 1699: 1.3909191260792084e-06
Position 34: 1.3270660464385516e-06
Position 288: 1.0374640297788465e-06
Position 2070: 6.981332683127994e-07
Position 44: 6.824767455049028e-07
Position 2647: 6.065857594212481e-07
Position 312: 5.443894570065342e-07
Position 1831: 5.124814263076786e-07
Position 1638: 4.949341458278299e-07
Position 152: 4.3070312964720393e-07
Position 233: 4.1925997098678826e-07
Position 291: 4.156970363946146e-07
Position 1873: 2.874513497270747e-07
Position 2902: 2.792718709415796e-07
Position 2815: 1.7703084766424188e-07
Position 2908: 1.6801020240765732e-07
Position 2067: 1.2081400058906166e-07
Position 722: 1.0290241757822414e-07
Position 669: 9.66126439416682e-08
Position 2098: 7.79836667505831e-08
Position 2912: 5.997836968431519e-08
Position 2075: 4.780149910646431e-08
Position 559: 4.0374473296714937e-08
Position 2081: 5.702263050533016e-09
Position 73: 3.4450174348236794e-09
Position 2103: 3.296621295008943e-10
Position 2685: 2.7018464767512064e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 1743: 0.9946520882047646
Position 2246: 0.9873361006367171
Position 1423: 0.9459472896485895
Position 2049: 0.777240915827257
Position 2101: 0.21453025939063444
Position 267: 0.06539184198280978
Position 901: 0.055395123314490285
Position 2688: 0.05490048464022736
Position 434: 0.04849815008545692
Position 350: 0.01871264613428298
