Gene = GatC
index = 1182
Annotated 5SS: [1168]
Annotated 3SS: [1221]
SMsplice 5SS: [1168]
SMsplice 3SS: [1221]
top_k =  1000
Partition function (log Z): -1.9379533259650874

Sorted 5' Splice Sites (High to Low Probability):
Position 1168: 0.9912550214565771
Position 28: 0.0283771394020495
Position 424: 0.027144734091684136
Position 322: 0.017660081480075033
Position 1321: 0.01226922037644805
Position 1136: 0.007807946614560879
Position 136: 0.004732585092692357
Position 379: 0.0013503656761102688
Position 703: 0.0009573677979722986
Position 1059: 0.0007961497282980988
Position 1300: 0.0007808039661368498
Position 406: 0.0007341079862038432
Position 895: 0.000670111291548879
Position 1390: 0.00044643378757081573
Position 235: 0.0004079477216800631
Position 820: 0.00031693847202412785
Position 285: 0.00029288741800134776
Position 1312: 0.00014788288733045163
Position 481: 0.00014151442517564754
Position 673: 0.00012625285715491327
Position 781: 9.262452131157857e-05
Position 41: 8.726359704024193e-05
Position 363: 8.705007159969014e-05
Position 1108: 6.563180283738718e-05
Position 162: 5.727600918329206e-05
Position 911: 5.7008102806171576e-05
Position 333: 4.9115036122650843e-05
Position 503: 4.379377437840597e-05
Position 723: 3.183915452757491e-05
Position 45: 2.563482942281398e-05
Position 1346: 2.4690065631793144e-05
Position 1140: 2.381485958051862e-05
Position 36: 1.932252746572931e-05
Position 213: 1.886646791352439e-05
Position 534: 1.8586011503359325e-05
Position 340: 1.3545863570900819e-05
Position 787: 1.1291643273443904e-05
Position 751: 1.0724969729948708e-05
Position 951: 1.0608386237261665e-05
Position 1357: 9.525087053186384e-06
Position 660: 8.07722651424652e-06
Position 1314: 8.05691091379817e-06
Position 1374: 6.838514915258513e-06
Position 587: 6.7852732629286055e-06
Position 1172: 5.704202790125038e-06
Position 56: 5.4017718022622385e-06
Position 326: 3.4777328987005004e-06
Position 937: 3.4611566261234e-06
Position 919: 2.9427609423686643e-06
Position 1021: 2.6795268590304323e-06
Position 1420: 1.6007658499201197e-06
Position 1035: 1.2554460485631965e-06
Position 1116: 1.2382535011318765e-06
Position 22: 1.1958746678373782e-06
Position 852: 1.1089746903026675e-06
Position 445: 1.0321976475360527e-06
Position 1175: 1.0126521042033347e-06
Position 562: 8.208717493924974e-07
Position 151: 5.875163084925885e-07
Position 5: 3.140742239262756e-07
Position 1128: 2.490553556561841e-07
Position 1240: 2.202508315440819e-07
Position 1281: 1.656409320451656e-07
Position 1068: 1.5029017204830456e-07
Position 1041: 7.223416478805183e-08
Position 613: 6.062108229162264e-10
Position 228: 2.1174728438785946e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1221: 0.9996807621642363
Position 818: 0.019804357278547038
Position 893: 0.013058447102137003
Position 852: 0.010017425558374475
Position 1396: 0.009792480107511808
Position 378: 0.008459194004560754
Position 937: 0.007387556495471297
Position 93: 0.003983557931195195
Position 117: 0.003548855624030168
Position 192: 0.003456219489320788
Position 1449: 0.0027605001111405012
Position 796: 0.0024722483192784594
Position 135: 0.0018759708247596276
Position 996: 0.0016009978698926625
Position 775: 0.0011900022895809579
Position 743: 0.000988382026656481
Position 1361: 0.0009862638009893103
Position 213: 0.0009406263261821695
Position 596: 0.0009284591798709055
Position 691: 0.0006881270347400724
Position 729: 0.0006729357141807349
Position 114: 0.0005795409636482515
Position 1029: 0.0004238655844657901
Position 176: 0.00037431260201444455
Position 1446: 0.00035371564339829146
Position 144: 0.00023993019020131424
Position 540: 0.0002271306281093117
Position 1135: 0.0001116599732205087
Position 695: 9.724677519880745e-05
Position 1035: 9.008895302661908e-05
Position 1407: 6.72135742363026e-05
Position 503: 6.21406078961465e-05
Position 671: 5.2767040363422035e-05
Position 875: 3.4866682506866555e-05
Position 660: 3.2674865002582345e-05
Position 1015: 3.0832421887426936e-05
Position 1430: 2.857002689807736e-05
Position 1146: 2.3714040683222233e-05
Position 899: 1.9507928245749313e-05
Position 1068: 1.6119510371390948e-05
Position 905: 1.3007055008018734e-05
Position 388: 7.670946283182849e-06
Position 318: 7.6180570888383205e-06
Position 1532: 7.454922547863439e-06
Position 297: 5.2428083406526924e-06
Position 1080: 4.350633050133211e-06
Position 278: 4.346946990616677e-06
Position 248: 3.9017666117372284e-06
Position 474: 3.630414440840956e-06
Position 357: 3.5190564850613022e-06
Position 162: 3.449434697463211e-06
Position 423: 2.760959537207439e-06
Position 1516: 2.4683465538310362e-06
Position 354: 1.931407095270908e-06
Position 273: 1.8467194436534236e-06
Position 1505: 1.5254728172164722e-06
Position 405: 1.174223055166537e-06
Position 285: 1.0335091034137299e-06
Position 645: 6.27160948953154e-07
Position 151: 5.478018377525014e-07
Position 363: 4.662833362156888e-07
Position 1540: 1.3157474674613083e-07
Position 53: 1.1766835121059199e-07
Position 1321: 2.1148698991248048e-08
Position 1451: 1.6782817810674518e-08
Position 1331: 9.791221572201925e-09
Position 1552: 7.798761464008772e-09
Position 222: 5.388902056953832e-09
Position 1576: 3.4483440243004436e-09
Position 275: 4.4334357694823393e-10
Position 50: 5.7631317809768315e-11
Position 348: 7.43471912225329e-12
Position 256: 4.65703490208731e-12
