Gene = LSm-4
index = 1248
Annotated 5SS: [ 375  593 1211 1313 1474]
Annotated 3SS: [ 448  652 1270 1374 1646]
SMsplice 5SS: [ 375  593 1211 1313 1474]
SMsplice 3SS: [ 448  652 1270 1374 1646]
top_k =  1000
Partition function (log Z): 10.111632535377051

Sorted 5' Splice Sites (High to Low Probability):
Position 593: 0.9992440098717541
Position 375: 0.9945592149910946
Position 1211: 0.973919636380815
Position 1474: 0.8962259158158591
Position 1313: 0.7507372158577468
Position 1494: 0.0330408773501195
Position 1417: 0.019852380842010693
Position 27: 0.008001766573353547
Position 750: 0.007071626736505152
Position 245: 0.00476659520105872
Position 1579: 0.004610642350999754
Position 1231: 0.003575551719919576
Position 1013: 0.0032854938638810366
Position 803: 0.0019163601320743066
Position 15: 0.001733732118967371
Position 922: 0.001645212740705126
Position 1549: 0.0015649839780287821
Position 1504: 0.0013129277766265129
Position 1032: 0.0006933519905103133
Position 1456: 0.0005875581628665919
Position 103: 0.0004693214636235556
Position 1498: 0.0003993802109718588
Position 597: 0.00039577869640103607
Position 395: 0.0003624961736180664
Position 379: 0.0002991479271972693
Position 58: 0.0002962963636363113
Position 1320: 0.0002483048558666744
Position 168: 0.00023440710491356246
Position 844: 0.00020502637852525706
Position 849: 0.00016661802471651445
Position 1006: 0.00011529025015281012
Position 43: 0.00010200676739372796
Position 1149: 0.00010177128647511898
Position 1023: 0.00010131640084138677
Position 819: 9.119920784601371e-05
Position 1055: 9.088795787658507e-05
Position 208: 8.417752694219923e-05
Position 1184: 8.375493123217016e-05
Position 740: 8.337670132248012e-05
Position 1394: 6.76696992315857e-05
Position 1760: 5.706346259663125e-05
Position 269: 5.654009138096268e-05
Position 1421: 5.633346275382063e-05
Position 195: 5.2981902651568806e-05
Position 1725: 5.111527689065241e-05
Position 31: 5.0552983113893055e-05
Position 788: 4.651931907144015e-05
Position 1526: 4.27010869868728e-05
Position 1431: 3.884807687542669e-05
Position 141: 3.1062966992156346e-05
Position 201: 2.6129679901696216e-05
Position 1515: 2.2005796592998135e-05
Position 826: 2.06419401672998e-05
Position 734: 1.8135793366593767e-05
Position 331: 1.322916021965228e-05
Position 37: 1.0184281337799838e-05
Position 356: 9.571467216647536e-06
Position 1374: 9.194524647467588e-06
Position 166: 6.105760984556598e-06
Position 557: 5.1785952784655554e-06
Position 72: 4.368662892436757e-06
Position 101: 3.562425472888237e-06
Position 1073: 3.3380552492208935e-06
Position 1737: 3.1870285505142686e-06
Position 1355: 2.7304904923603958e-06
Position 1378: 2.2905157585516257e-06
Position 328: 2.2880301432312177e-06
Position 551: 2.2454163572375263e-06
Position 1175: 2.066430333925359e-06
Position 1630: 1.7625761164156897e-06
Position 681: 1.2827389604093377e-06
Position 78: 1.0047922574007644e-06
Position 1340: 9.002865810036985e-07
Position 147: 8.741892036117092e-07
Position 1912: 7.922797672787352e-07
Position 152: 7.68215551435364e-07
Position 543: 7.209402018505168e-07
Position 172: 5.143089646595247e-07
Position 1885: 4.971010730340484e-07
Position 1120: 4.957227968869898e-07
Position 286: 4.914565550405428e-07
Position 154: 4.166328957343487e-07
Position 1658: 3.3047094298052036e-07
Position 429: 3.1990276474690843e-07
Position 876: 3.017539622325908e-07
Position 504: 2.6215449669081525e-07
Position 1528: 2.3375227579479966e-07
Position 1409: 1.5428651307217392e-07
Position 483: 1.3708665327617668e-07
Position 541: 1.291217212748612e-07
Position 1122: 8.412410446560639e-08
Position 1678: 8.257381376921286e-08
Position 69: 7.964083267707283e-08
Position 1936: 6.854485473950984e-08
Position 448: 5.493206329199635e-08
Position 864: 4.150477031331384e-08
Position 1262: 3.991075971550855e-08
Position 1138: 3.54426139162256e-08
Position 657: 3.4906732304591986e-08
Position 414: 1.7244897876589338e-08
Position 465: 1.380828711109764e-08
Position 441: 1.1567434307035216e-08
Position 652: 7.745074182238731e-09
Position 1264: 3.573393140306277e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 448: 0.9885684403018855
Position 652: 0.9734532004161723
Position 1270: 0.9615167398791067
Position 1646: 0.9426716327262418
Position 1374: 0.7495246124632194
Position 1518: 0.01831216668867701
Position 681: 0.01695996956890847
Position 83: 0.009294592438068454
Position 978: 0.0081885223178073
Position 1295: 0.00789959759768288
Position 1586: 0.0066728702267873806
Position 314: 0.005768881529594543
Position 456: 0.0036753556366082513
Position 788: 0.00313162155417982
Position 1097: 0.0028102003901463533
Position 900: 0.0019970924307160264
Position 1080: 0.0017596419135786083
Position 695: 0.0014734170459702156
Position 849: 0.0014548923233006648
Position 459: 0.0012833586375608336
Position 1149: 0.0010715944356669152
Position 483: 0.000978349053827995
Position 723: 0.0009648369107306262
Position 166: 0.00034658800716466534
Position 1116: 0.0003267253472720472
Position 1023: 0.00031169673316794886
Position 525: 0.0002791049294780283
Position 984: 0.0002785343089446551
Position 471: 0.0002555522072306324
Position 501: 0.00022260063852910144
Position 910: 0.00021106445726394707
Position 1817: 0.00016923584750058954
Position 98: 0.00016168434699159718
Position 195: 0.0001330003204622506
Position 1300: 0.00011911774199520415
Position 1340: 0.00011157773835346183
Position 1725: 8.418096671380339e-05
Position 1776: 7.693569655245076e-05
Position 707: 7.499726973060812e-05
Position 141: 6.66916729359183e-05
Position 1473: 6.0467780585381274e-05
Position 819: 5.384418503522856e-05
Position 1001: 4.322972219178145e-05
Position 1745: 3.731478788903208e-05
Position 192: 2.3444645636663013e-05
Position 324: 2.1888306337249832e-05
Position 1742: 1.3990635143707744e-05
Position 1421: 1.3553739570412758e-05
Position 1608: 1.1724461579968009e-05
Position 101: 1.0739575952224505e-05
Position 799: 9.470193859825829e-06
Position 750: 7.640257441088808e-06
Position 108: 7.540236813807788e-06
Position 1042: 7.301325625564468e-06
Position 557: 3.264565291000451e-06
Position 1874: 3.1322282782156255e-06
Position 1317: 2.9133024625111517e-06
Position 1240: 2.6289937319587028e-06
Position 515: 2.3377419488927462e-06
Position 244: 2.072625493461772e-06
Position 1982: 1.8622083624303175e-06
Position 1754: 1.7140435031100376e-06
Position 336: 1.347926461925596e-06
Position 1960: 4.90284951603281e-07
Position 1693: 4.853658814300205e-07
Position 208: 2.982418220130829e-07
Position 918: 2.1410079722185317e-07
Position 1242: 2.0026518404739415e-07
Position 1032: 1.7455640986862474e-07
Position 1215: 1.587318225714924e-07
Position 1302: 4.653698805221949e-08
Position 593: 1.942090309225384e-08
Position 375: 1.1887994459937183e-08
Position 58: 9.480165360188804e-09
Position 379: 7.140856338333169e-09
Position 568: 2.0909829893302865e-09
Position 1383: 2.698912697983048e-10
Position 345: 1.6468652489878104e-10
Position 511: 7.295998984595627e-11
Position 597: 1.9697851987664026e-12
