Gene = Cralbp
index = 1107
Annotated 5SS: [281]
Annotated 3SS: [2180]
SMsplice 5SS: [ 281 2003]
SMsplice 3SS: [1562 2180]
top_k =  1000
Partition function (log Z): -8.112943070957757

Sorted 5' Splice Sites (High to Low Probability):
Position 281: 0.908792095409563
Position 2003: 0.5502345429415508
Position 2063: 0.08986463111721157
Position 2059: 0.07855000451103966
Position 2831: 0.07410925900468779
Position 1452: 0.06387776992373946
Position 1890: 0.06135408415964855
Position 539: 0.028127957755611777
Position 1133: 0.027826810369207675
Position 2055: 0.02088522650647213
Position 3209: 0.010250888012577114
Position 168: 0.009051252459761048
Position 293: 0.007964780547802154
Position 1645: 0.004408617203363881
Position 2826: 0.0038579703315463404
Position 1153: 0.0034130114455374885
Position 876: 0.002431435942458202
Position 2020: 0.0019115965783063171
Position 297: 0.0017159227439034791
Position 299: 0.00154054259289056
Position 295: 0.0015160516387962037
Position 2067: 0.0014965420084899065
Position 301: 0.00147685626463789
Position 1517: 0.0012045537902392691
Position 154: 0.0011620746287745725
Position 186: 0.0008009709701473363
Position 1625: 0.0007998422550259109
Position 89: 0.0006469146735338156
Position 1229: 0.0005829267267337218
Position 1984: 0.0005176927334757497
Position 1287: 0.0005166517974026913
Position 1972: 0.00048332972574618977
Position 1437: 0.0003737105991497817
Position 1145: 0.0002784492025021445
Position 897: 0.00027676083731786725
Position 1137: 0.00026687013579255314
Position 239: 0.00026039446211710424
Position 2852: 0.00024062167412701292
Position 1611: 0.00020715077488194102
Position 305: 0.00017154586994056907
Position 2105: 0.00016437146814662803
Position 232: 0.00016185188522716625
Position 1338: 0.00015526588691117062
Position 2410: 0.00014445010271463843
Position 1760: 0.00013451572920799765
Position 2007: 0.00013432009882336253
Position 602: 0.0001278992684999877
Position 234: 0.0001204598729909868
Position 1975: 0.00010584740792040697
Position 1773: 8.811220820835316e-05
Position 1873: 5.3085889053729586e-05
Position 612: 5.099047866103933e-05
Position 285: 4.7009063805797495e-05
Position 1157: 4.5932955615949524e-05
Position 1403: 4.055600944986111e-05
Position 543: 3.826671702861599e-05
Position 659: 3.6121495908381385e-05
Position 279: 3.413245719024762e-05
Position 2752: 3.243850756107109e-05
Position 1768: 3.0040336462346747e-05
Position 2493: 2.6398527465034073e-05
Position 2555: 2.2061695093298882e-05
Position 78: 2.203730511013465e-05
Position 1360: 2.0621217650719257e-05
Position 2878: 2.0379579487036877e-05
Position 3228: 1.9797134341976434e-05
Position 1660: 1.692980350539471e-05
Position 1313: 1.616301591305699e-05
Position 1614: 1.4776159984886154e-05
Position 481: 1.3351566617697645e-05
Position 2023: 1.3051278676384155e-05
Position 309: 1.2724842137703702e-05
Position 1956: 1.239059005757108e-05
Position 338: 6.329613144427047e-06
Position 62: 5.797014600861222e-06
Position 1289: 4.94580367312641e-06
Position 1105: 3.5318145573723184e-06
Position 1354: 3.166130682418232e-06
Position 2457: 2.847342094868352e-06
Position 81: 1.5985367891281459e-06
Position 303: 1.013756355953263e-06
Position 22: 9.56782083410279e-07
Position 111: 6.856304480884594e-07
Position 114: 6.675541298617363e-07
Position 1710: 5.959694809603271e-07
Position 55: 5.191423396297011e-07
Position 1550: 4.474096103195125e-07
Position 801: 2.3441157583057125e-07
Position 796: 1.7485577471832943e-07
Position 65: 1.457387949671386e-07
Position 209: 1.408607701660103e-07
Position 128: 6.247593109689788e-08
Position 739: 2.8910700869489025e-08
Position 661: 1.3762592894323883e-08
Position 1346: 1.0670758649525819e-08
Position 1324: 9.18888313384366e-09
Position 25: 5.5253423451150235e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2180: 0.8889019659381393
Position 1562: 0.4125818936302208
Position 1689: 0.1512706630477672
Position 407: 0.1011763122489887
Position 440: 0.07903914117547628
Position 1517: 0.0626806027969759
Position 1914: 0.062268323836811114
Position 2895: 0.04248985449122368
Position 2916: 0.03377696924256216
Position 2189: 0.023846238575087518
Position 2086: 0.015828879289536833
Position 487: 0.013781903433779987
Position 564: 0.008248478467272025
Position 3274: 0.0068885038229602805
Position 1919: 0.006740031017926685
Position 1271: 0.005826787981611231
Position 1856: 0.0048487773876168495
Position 1733: 0.004738912696978497
Position 1953: 0.004687704428208938
Position 3280: 0.0038486067929165
Position 2105: 0.0036488830627061314
Position 2213: 0.003468951337528186
Position 1338: 0.0032461027561301154
Position 691: 0.002618583701522004
Position 762: 0.0023559789698107654
Position 1890: 0.002327400023676142
Position 2963: 0.002099339512228041
Position 2234: 0.0013515917443817284
Position 2243: 0.001259062129236791
Position 462: 0.001235109855148528
Position 2055: 0.0011905259344170518
Position 230: 0.0010769017772452828
Position 2601: 0.000689285145820712
Position 3267: 0.0006551457161232955
Position 1723: 0.00051163165839331
Position 801: 0.000467609627376781
Position 2927: 0.00035926566119299277
Position 467: 0.0003431401755167043
Position 334: 0.0003199257687821017
Position 1437: 0.00030143012887917973
Position 1103: 0.0002816212069604632
Position 1346: 0.0002283358631640531
Position 1956: 0.0002086700014540013
Position 1476: 0.00017561002370325595
Position 3254: 0.00016103818997832453
Position 1984: 0.00013287918341140613
Position 373: 0.00011640649359086415
Position 591: 0.00011503392546920235
Position 539: 0.00011334718162345708
Position 1179: 0.00011021547658684266
Position 1524: 0.00010375655533950561
Position 2137: 8.460666317398144e-05
Position 360: 6.431078718009281e-05
Position 1978: 5.7112340035217e-05
Position 2934: 5.4070745271473186e-05
Position 3248: 4.542727384070558e-05
Position 732: 3.976955738372301e-05
Position 1052: 3.493964942835573e-05
Position 1126: 3.385149777073498e-05
Position 2215: 2.719483284300908e-05
Position 1645: 2.5278375884344437e-05
Position 1873: 2.412641821272523e-05
Position 2481: 2.3382514638270927e-05
Position 3260: 2.1944650016667596e-05
Position 2218: 2.1276173032123146e-05
Position 153: 1.9943007097035215e-05
Position 3024: 1.919593907433047e-05
Position 1642: 1.6083413663378896e-05
Position 138: 1.538046865430548e-05
Position 2826: 1.4651201755065212e-05
Position 2271: 1.329628814191361e-05
Position 2277: 1.2167425628557146e-05
Position 2063: 9.562510081461723e-06
Position 1242: 5.941963111066294e-06
Position 341: 5.3518965429105925e-06
Position 1025: 4.5911013203039795e-06
Position 1236: 4.0525644990972614e-06
Position 261: 3.532580470250806e-06
Position 1229: 2.832044440057216e-06
Position 816: 2.3948952306213944e-06
Position 378: 2.296490958111331e-06
Position 2724: 2.0319094629529373e-06
Position 1015: 1.6053462522610407e-06
Position 171: 7.230431465533859e-07
Position 124: 6.994512888598501e-07
Position 193: 4.786650271531549e-07
Position 866: 4.722317128554306e-07
Position 276: 4.2180345952611676e-07
Position 825: 1.1477023166565016e-07
Position 168: 6.656290390154325e-08
Position 180: 5.5906948536297325e-08
