Gene = Membrin
index = 1276
Annotated 5SS: [281]
Annotated 3SS: [349]
SMsplice 5SS: [281]
SMsplice 3SS: [349]
top_k =  1000
Partition function (log Z): -3.8568063507377692

Sorted 5' Splice Sites (High to Low Probability):
Position 281: 0.9998489942643675
Position 36: 0.0012078061642658837
Position 44: 0.001108508159740842
Position 613: 0.0004850906916875574
Position 384: 0.00040115050355894944
Position 134: 0.00011125326027431283
Position 285: 5.526356855050992e-05
Position 9: 5.186080964908173e-05
Position 177: 4.121685051300967e-05
Position 628: 3.9275063271687524e-05
Position 362: 3.894257154091236e-05
Position 136: 2.2867165429495894e-05
Position 211: 1.3964031469445768e-05
Position 240: 7.138114668732971e-06
Position 155: 7.136004239780991e-06
Position 377: 5.389679108855269e-06
Position 739: 4.97250496802213e-06
Position 321: 4.727148178701809e-06
Position 317: 3.8090909291138147e-06
Position 29: 3.791504207492688e-06
Position 810: 3.0867390516895025e-06
Position 790: 2.982799970110184e-06
Position 174: 2.6631434039267997e-06
Position 4: 2.5807565319916065e-06
Position 220: 1.8203853083664856e-06
Position 369: 1.4310077647273804e-06
Position 813: 8.779278750050683e-07
Position 418: 4.928000875504701e-07
Position 374: 4.21512604150264e-07
Position 780: 3.469986667212858e-07
Position 420: 1.0327874196116018e-07
Position 816: 5.328213939944809e-08
Position 344: 5.298849748406985e-08
Position 630: 3.183740129744361e-08
Position 342: 2.5218965471156473e-08
Position 743: 9.198457497048203e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 349: 0.9955879525127116
Position 133: 0.0022869598505699217
Position 398: 0.001492480022255013
Position 455: 0.001185517151164127
Position 428: 0.0011276733190496199
Position 683: 0.0005245357538762127
Position 383: 0.0004310725740101706
Position 467: 0.00034486979358678145
Position 203: 0.00017474915165285334
Position 596: 0.00014517944814622835
Position 550: 4.3358918340858606e-05
Position 182: 2.937928113475422e-05
Position 535: 2.6960803748102317e-05
Position 855: 2.0484106928871088e-05
Position 406: 1.7695065986447584e-05
Position 149: 1.4088178508985896e-05
Position 608: 7.291026219399873e-06
Position 655: 6.321295770699824e-06
Position 263: 3.9541993314989325e-06
Position 521: 2.022626740661444e-06
Position 883: 1.4047198641828536e-06
Position 500: 1.1978652850317764e-06
Position 272: 1.1824112000490926e-06
Position 227: 5.422409210785755e-07
Position 668: 4.595421994119011e-07
Position 870: 4.170970245218445e-07
Position 488: 3.3593455427063853e-07
Position 807: 3.0989092424024146e-07
Position 191: 3.03516529418131e-07
Position 215: 2.61783117512e-07
Position 726: 2.1645563311438924e-07
Position 557: 2.0521688816642175e-07
Position 685: 1.4294491220183658e-07
Position 484: 1.2277730856562205e-07
Position 445: 1.0589313380931372e-07
Position 730: 9.10318227005818e-08
Position 220: 9.061793061933775e-08
Position 719: 4.348681900978573e-08
Position 563: 4.264443194882723e-08
Position 888: 3.899933164142076e-08
Position 317: 2.4316106460574977e-08
Position 312: 1.8658249425859344e-08
Position 503: 1.3317204745093877e-08
Position 710: 8.72966762102991e-09
Position 48: 1.9151590660021112e-09
Position 702: 1.0853706290686205e-09
Position 785: 5.679332664204606e-10
Position 211: 6.167346438292024e-12
Position 314: 1.989542107882713e-12
Position 151: 3.571236471848922e-14
Position 285: 2.7200553755761026e-14
