Gene = cad
index = 1641
Annotated 5SS: [1179 5890]
Annotated 3SS: [ 5835 11067]
SMsplice 5SS: [1179]
SMsplice 3SS: [11067]
top_k =  1000
Partition function (log Z): -3.9446301386589098

Sorted 5' Splice Sites (High to Low Probability):
Position 1179: 0.9949235183318651
Position 5890: 0.4956148966110137
Position 104: 0.1308962572513745
Position 100: 0.1003278629844252
Position 198: 0.0735309729489539
Position 10571: 0.036470509052233986
Position 6779: 0.0321755131604438
Position 1602: 0.030894009184804318
Position 151: 0.0271252635670999
Position 6538: 0.018956694615769498
Position 9442: 0.01694373166564854
Position 5753: 0.016038236217252463
Position 189: 0.01207281167334045
Position 1969: 0.011110548603252892
Position 2541: 0.009606200916073487
Position 6534: 0.009237531953343581
Position 1850: 0.008989302964727509
Position 6858: 0.00789184067569543
Position 6: 0.005964057278466553
Position 8200: 0.005767731065608383
Position 7666: 0.00526806943313594
Position 2029: 0.004669068011927312
Position 6132: 0.0039010382538396254
Position 2495: 0.003551223371671894
Position 11658: 0.0022925701852646533
Position 2632: 0.002046022320348993
Position 2017: 0.002033229332859817
Position 6448: 0.002004988688983572
Position 8196: 0.0018690952554811491
Position 1791: 0.001590450661683522
Position 11214: 0.0015246911711806381
Position 1953: 0.0014172026274312298
Position 380: 0.0013098281284922284
Position 5908: 0.0012956187274198781
Position 2051: 0.0012525070493765828
Position 9127: 0.0011514916539960758
Position 2681: 0.0011482277941347386
Position 7122: 0.001125190311854754
Position 11649: 0.0010686150094755499
Position 7516: 0.0010528506051325644
Position 9668: 0.0009498022842097881
Position 6906: 0.0009396651865908592
Position 568: 0.0008345134259090787
Position 5946: 0.0008129559379829746
Position 5457: 0.0007621365783170691
Position 10332: 0.0007258752405077956
Position 10239: 0.0006358118509997223
Position 11681: 0.0005898439994841574
Position 906: 0.000571408841348061
Position 7192: 0.0005347578625882473
Position 867: 0.0005226005400571903
Position 10345: 0.0005174207997310518
Position 5542: 0.0004836478821875977
Position 7067: 0.00045280487098142653
Position 12339: 0.0004098637072635561
Position 12123: 0.00040142934133641494
Position 1938: 0.0003799721502515553
Position 284: 0.0003634783267980173
Position 1091: 0.00035127759825056144
Position 11640: 0.0002907528453051564
Position 4418: 0.00028391023025814963
Position 5279: 0.00026347764731921117
Position 67: 0.00026112674821225255
Position 1845: 0.00021114791251754112
Position 1886: 0.00019869546261946523
Position 148: 0.00016950224639856654
Position 4099: 0.00015424034867223468
Position 6566: 0.0001480408152357063
Position 774: 0.00013353058619432697
Position 5869: 0.00012954617479819596
Position 2071: 0.0001179376054601187
Position 6542: 0.00011758847495152891
Position 8357: 0.00011742472881439805
Position 8361: 0.0001107368143894454
Position 7862: 0.00010795067473858866
Position 161: 9.532962224431446e-05
Position 8407: 9.33504270066878e-05
Position 1236: 8.534283718543358e-05
Position 4023: 8.520254368731709e-05
Position 11269: 6.872536331184121e-05
Position 2916: 6.275497626707428e-05
Position 7111: 6.025821888690956e-05
Position 1630: 4.937986050770226e-05
Position 4890: 4.586291612492877e-05
Position 12: 4.437373471133615e-05
Position 9281: 3.927504184740183e-05
Position 155: 3.241982219947711e-05
Position 4435: 3.10910797378538e-05
Position 4037: 3.0610621950237426e-05
Position 1651: 2.884538363305955e-05
Position 256: 2.8771471851740514e-05
Position 2416: 2.553252150955927e-05
Position 834: 2.2244668929370367e-05
