Gene = Mdr65
index = 1275
Annotated 5SS: [ 117  746 1267 1491 1866 2382 2537 2994 3759 4112 4541]
Annotated 3SS: [ 425 1020 1318 1550 1924 2435 2605 3049 3814 4173 4600]
SMsplice 5SS: [ 746 1267 1491 1866 2382 2537 2994 3759 4112 4541]
SMsplice 3SS: [1020 1318 1550 1924 2435 2605 3049 3814 4173 4600]
top_k =  1000
Partition function (log Z): 24.482789252499114

Sorted 5' Splice Sites (High to Low Probability):
Position 2537: 0.9947121029115684
Position 1491: 0.9944178855581782
Position 3759: 0.9853965659201351
Position 2382: 0.9780219619463879
Position 1267: 0.9632343418098528
Position 4541: 0.9503462157008239
Position 1866: 0.8799407053848574
Position 4112: 0.8660574873564333
Position 2994: 0.754596081402755
Position 746: 0.6708722371715108
Position 858: 0.37198457845087907
Position 2960: 0.19937498015834024
Position 4084: 0.0603301576599447
Position 117: 0.039456658200307505
Position 4463: 0.03317340506895445
Position 2756: 0.030981276566564356
Position 2070: 0.02604348269035077
Position 4040: 0.02561400285986107
Position 652: 0.02429858937628913
Position 174: 0.023658026520963493
Position 1793: 0.021353171541759614
Position 736: 0.01811711358585822
Position 2781: 0.01773330035764282
Position 4646: 0.01696780016824515
Position 2862: 0.015009170019386781
Position 733: 0.014276676529818488
Position 762: 0.013933237407819219
Position 3433: 0.012467189876929428
Position 2787: 0.011203178243475961
Position 2147: 0.011190150930848464
Position 4066: 0.011102780522062879
Position 1841: 0.009283710674784224
Position 2204: 0.007670353339999947
Position 514: 0.007258776176516709
Position 3255: 0.006612706594082102
Position 2927: 0.005733511970510627
Position 3969: 0.005475924319890277
Position 74: 0.005343139504770853
Position 963: 0.004574722798362396
Position 7: 0.0032649433764642475
Position 3559: 0.003152396282299937
Position 2345: 0.0030966507874334065
Position 922: 0.002858482975597068
Position 3742: 0.002712173476218655
Position 4892: 0.002567259656580563
Position 4076: 0.002299238472736496
Position 356: 0.0021970300441942277
Position 3377: 0.00199919636817029
Position 2832: 0.0017624407165013187
Position 333: 0.0016054192199584502
Position 1262: 0.0015156821204444387
Position 1356: 0.0014643873988771105
Position 2801: 0.0013883365633456006
Position 1218: 0.0013733548992383943
Position 2254: 0.0012266553449534767
Position 4359: 0.0012026013763101972
Position 3380: 0.000966221337352143
Position 3014: 0.0009615432156066155
Position 4374: 0.0009142586723263997
Position 842: 0.000905706001949242
Position 2910: 0.0008424461551861224
Position 4957: 0.0007084497622308777
Position 1271: 0.0006880237460475424
Position 1668: 0.0006814326825782761
Position 4477: 0.0006254990665743147
Position 3963: 0.0005623803925885991
Position 2308: 0.0005269640571932838
Position 3733: 0.0005195132488361703
Position 2804: 0.0005011089371825921
Position 2790: 0.00048630115656932664
Position 4170: 0.00047664034823878787
Position 3849: 0.00046401431668473535
Position 3771: 0.00044722407842151887
Position 3177: 0.00044407523772508115
Position 4512: 0.00043591068072470064
Position 2818: 0.00041982829329890623
Position 181: 0.00040621226411336506
Position 328: 0.0003882529959429048
Position 1440: 0.00038078705451775804
Position 2027: 0.0003676866966254749
Position 3681: 0.0003189345186476393
Position 2153: 0.0003164353240129231
Position 4175: 0.0003153899427941112
Position 33: 0.0003016273788233955
Position 2097: 0.00029314397217315057
Position 247: 0.0002699868690560535
Position 4748: 0.0002645288994329934
Position 2386: 0.0002250197498834151
Position 299: 0.000222640941159646
Position 4788: 0.0002215197667359442
Position 4436: 0.00020754290399088376
Position 1166: 0.00020745569059942435
Position 2349: 0.00020693989676730674
Position 2323: 0.00020680523690123873
Position 785: 0.00020364199878601647
Position 3537: 0.00020118577090383978
Position 4074: 0.00018937604509053392
