Gene = Gart
index = 1181
Annotated 5SS: [ 370 4764 5468 5750 6354 7462]
Annotated 3SS: [4515 4817 5523 5931 6411 7523]
SMsplice 5SS: [ 370 4764 5468 5750 6354 7462]
SMsplice 3SS: [4515 4817 5523 5931 6411 7523]
top_k =  1000
Partition function (log Z): 4.3456252005327105

Sorted 5' Splice Sites (High to Low Probability):
Position 5468: 0.9951645417612212
Position 7462: 0.9934832372610717
Position 370: 0.9535374300148547
Position 4764: 0.9362646959844351
Position 6354: 0.8809246892624938
Position 5750: 0.6475578740987659
Position 1624: 0.39258616006187064
Position 5839: 0.07407828227333534
Position 6350: 0.06469757528214899
Position 2590: 0.039134227832597346
Position 99: 0.038418821293623784
Position 6532: 0.034134895975293865
Position 374: 0.03303021816183186
Position 1619: 0.027352389317667786
Position 6340: 0.02366815483116089
Position 652: 0.02163192217437555
Position 5760: 0.018669083658234283
Position 7014: 0.01859499383444036
Position 1163: 0.010695472909229405
Position 7905: 0.008992379289045846
Position 2161: 0.007605547370268746
Position 2818: 0.006111082705567726
Position 5299: 0.005496347783837964
Position 2778: 0.00527142731870156
Position 2018: 0.004722007742330346
Position 2399: 0.004395812436338973
Position 103: 0.0042175291324485125
Position 3296: 0.003941643881540284
Position 6698: 0.003316305741781804
Position 550: 0.002833486914305117
Position 1759: 0.0027934946214679094
Position 2535: 0.0025675696800038545
Position 5395: 0.002374493680877055
Position 1002: 0.002228702506959432
Position 440: 0.002118223546641192
Position 4346: 0.002084462261318974
Position 1206: 0.0019477638160459376
Position 3735: 0.0018502673505688984
Position 2751: 0.0018085448387671654
Position 1667: 0.0016634352958515347
Position 4122: 0.0014623792148413044
Position 721: 0.001456336832182035
Position 7035: 0.0014223148034574243
Position 5714: 0.0014110030345370055
Position 1794: 0.0013235118635414067
Position 3696: 0.001276798682874599
Position 1430: 0.001225029639790593
Position 4724: 0.0011790554601350685
Position 3856: 0.001161495757389277
Position 6547: 0.0011276348063697012
Position 6615: 0.001040268699872597
Position 5787: 0.0009634894512649655
Position 1561: 0.0009209346955549013
Position 6175: 0.0009036614070029287
Position 6415: 0.0008879185549917554
Position 1815: 0.0008718301339119121
Position 4646: 0.0007689821568559878
Position 716: 0.0006995881574039881
Position 7293: 0.0006715353218748214
