Gene = Vta1
index = 1599
Annotated 5SS: [211 334 569]
Annotated 3SS: [271 417 635]
SMsplice 5SS: [211 334 569]
SMsplice 3SS: [271 417 635]
top_k =  1000
Partition function (log Z): -1.207188006811248

Sorted 5' Splice Sites (High to Low Probability):
Position 211: 0.960743900955118
Position 334: 0.9396626102827864
Position 569: 0.9291841166755693
Position 776: 0.03833724397656189
Position 1260: 0.01929431116623232
Position 729: 0.004362502416128018
Position 1254: 0.0023546681032411204
Position 530: 0.0020831867880792814
Position 57: 0.00170483809848449
Position 582: 0.0008592795764548532
Position 573: 0.0006056325599614953
Position 282: 0.0005935773730573237
Position 483: 0.0005601400175643933
Position 738: 0.0005506889493930871
Position 982: 0.0003935230236734667
Position 215: 0.0003258985798858326
Position 1267: 0.00016075270316798923
Position 310: 0.00013015418194834607
Position 383: 0.00011674249691369543
Position 338: 0.00010660047493553673
Position 1123: 9.21716272463331e-05
Position 1108: 6.641343273489679e-05
Position 622: 5.987479102646744e-05
Position 452: 5.722598427809831e-05
Position 695: 4.581295450755307e-05
Position 1170: 2.474687499141768e-05
Position 4: 1.7432967077501662e-05
Position 32: 1.73558707981216e-05
Position 182: 1.317857758537521e-05
Position 185: 7.725396582293494e-06
Position 14: 5.264104220166142e-06
Position 958: 4.614421430832922e-06
Position 1380: 3.856194723572254e-06
Position 1161: 2.9658005238531823e-06
Position 20: 2.8009082604746858e-06
Position 640: 2.6763707232559993e-06
Position 665: 2.209354733600264e-06
Position 380: 1.759819166525767e-06
Position 229: 1.495619559202169e-06
Position 35: 1.377980295674249e-06
Position 1287: 8.543438532235865e-07
Position 1333: 8.175733028423883e-07
Position 247: 6.569943979433985e-07
Position 106: 3.353229128535197e-07
Position 1018: 3.0023816601042455e-07
Position 238: 8.275454277883639e-08
Position 133: 5.999862848642161e-08
Position 961: 3.8836237819835186e-08
Position 387: 3.569538850955207e-08
Position 1045: 2.7820774938708652e-08
Position 1054: 2.481295906625982e-08
Position 392: 1.1217103469944937e-08
Position 398: 5.16396556922173e-09
Position 1114: 1.6171621551551944e-09
Position 271: 1.3606973925419018e-09
Position 643: 8.256503057416563e-10
Position 117: 7.078506373530765e-10
Position 662: 2.787425184160311e-10
Position 667: 9.673636233186193e-11
Position 1010: 1.3734614027624252e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 417: 0.9412632492354107
Position 271: 0.9158276664226497
Position 635: 0.8386970377593154
Position 687: 0.05054604472404656
Position 281: 0.034346680290710405
Position 856: 0.026893658869489454
Position 618: 0.024003469791902515
Position 1314: 0.02014984421222111
Position 662: 0.010867192295139338
Position 805: 0.008093703920144163
Position 1161: 0.007634405864751117
Position 1158: 0.004634465404286358
Position 648: 0.004283222131995871
Position 1063: 0.004136320758449981
Position 1010: 0.0025703043080726492
Position 1320: 0.0020916307020570454
Position 133: 0.0015492649170050436
Position 1181: 0.001340783739768314
Position 440: 0.0010957279169153318
Position 585: 0.0005840055296756154
Position 1294: 0.0005061721963155202
Position 365: 0.00025908318911770166
Position 545: 0.00024743796793922436
Position 1325: 0.00017276943006208222
Position 154: 0.0001314828813349851
Position 771: 0.00012171851225127074
Position 467: 6.86049919782511e-05
Position 725: 5.584974678719628e-05
Position 315: 4.86983592404666e-05
Position 1395: 4.148819207341257e-05
Position 709: 3.983110466929074e-05
Position 452: 3.03608787605246e-05
Position 981: 2.6545514820115765e-05
Position 106: 1.7894510627837463e-05
Position 906: 1.6285207601869768e-05
Position 494: 1.6255077517766782e-05
Position 819: 1.5968667345777414e-05
Position 52: 1.501856285388052e-05
Position 924: 1.4570446647518791e-05
Position 1227: 1.295365943754184e-05
Position 437: 1.0653622280236105e-05
Position 831: 1.0546282303569798e-05
Position 711: 1.045181463872352e-05
Position 1206: 9.554582208447228e-06
Position 978: 6.220377909476168e-06
Position 1210: 6.163008810151366e-06
Position 931: 5.8276155356871225e-06
Position 1101: 5.347121681311599e-06
Position 1333: 4.717752666343589e-06
Position 1435: 4.388009236909427e-06
Position 482: 3.368332175214735e-06
Position 825: 3.1275096238919096e-06
Position 461: 2.8864214585862664e-06
Position 446: 2.8442939148683525e-06
Position 70: 2.490412669731668e-06
Position 1068: 1.9352647134912687e-06
Position 294: 1.587055896274604e-06
Position 78: 1.4626970864821813e-06
Position 738: 1.2478918914057977e-06
Position 65: 6.545769324983912e-07
Position 84: 5.836131884604609e-07
Position 224: 3.8424338840786517e-07
Position 163: 2.508501972435331e-07
Position 554: 9.536719757055164e-08
Position 506: 7.107623804853022e-08
Position 229: 4.025418975589181e-08
Position 211: 1.026389954906403e-08
Position 704: 1.869191565879944e-09
Position 338: 1.544110178940077e-09
Position 557: 1.036669316224848e-09
Position 729: 4.691066438075332e-10
Position 215: 1.5438407048074305e-14
Position 204: 1.3981685507890512e-14
