Gene = Tsp68C
index = 1573
Annotated 5SS: [262]
Annotated 3SS: [358]
SMsplice 5SS: [262]
SMsplice 3SS: [358]
top_k =  1000
Partition function (log Z): -6.1244339641074435

Sorted 5' Splice Sites (High to Low Probability):
Position 262: 0.9805973427009035
Position 692: 0.040456124344349566
Position 377: 0.015765429098851792
Position 121: 0.007012479778735941
Position 539: 0.005914307233765739
Position 1163: 0.003925168897985835
Position 199: 0.0023830550375467103
Position 310: 0.0021534266608921725
Position 764: 0.002110917729212834
Position 279: 0.0015647379522766161
Position 1464: 0.0014818781621750204
Position 285: 0.0014109615394327284
Position 245: 0.001242869239980741
Position 769: 0.001148466968508766
Position 1503: 0.000980182205568384
Position 83: 0.0009596802160910049
Position 700: 0.0008549008793654875
Position 1021: 0.0005193715426131147
Position 543: 0.0005144737196496515
Position 288: 0.0004608992539140081
Position 1281: 0.00043058070179784636
Position 1533: 0.00042653014064056603
Position 71: 0.0004262314900929304
Position 498: 0.00042095604079658334
Position 161: 0.00038021875080524375
Position 266: 0.0003360966982947867
Position 1009: 0.00028403694110757223
Position 172: 0.000209297157490996
Position 387: 0.00017633032571468576
Position 1542: 0.0001695703194358568
Position 1521: 0.00011422475878974376
Position 1423: 8.797067775864986e-05
Position 854: 8.21736226076716e-05
Position 380: 7.147870717181902e-05
Position 626: 7.121487755506925e-05
Position 864: 5.0130914632662843e-05
Position 315: 4.83075626867934e-05
Position 146: 4.6512144520263254e-05
Position 1518: 4.042622058698416e-05
Position 817: 3.7594043576120224e-05
Position 936: 3.7516701882843246e-05
Position 1507: 3.712553083713789e-05
Position 25: 3.60886762813464e-05
Position 156: 3.3435026192549066e-05
Position 777: 2.953894072835941e-05
Position 1479: 2.8831460950642133e-05
Position 38: 2.764338203408415e-05
Position 780: 2.4494215909610607e-05
Position 605: 2.4392774558822882e-05
Position 52: 2.0640817983137234e-05
Position 599: 1.7199469624999234e-05
Position 1274: 1.6667583519884747e-05
Position 792: 1.4902206463490778e-05
Position 719: 1.3877522120394596e-05
Position 602: 1.174063183871643e-05
Position 631: 8.512558613816907e-06
Position 255: 8.018518593423143e-06
Position 1297: 6.973602440586468e-06
Position 363: 6.680107282106601e-06
Position 518: 5.080666057737643e-06
Position 1300: 4.684458904594529e-06
Position 1385: 4.6725803382700404e-06
Position 127: 4.337004246398529e-06
Position 1321: 4.314381735885601e-06
Position 318: 3.6802337804759792e-06
Position 649: 2.7454223767520326e-06
Position 215: 2.697753580888643e-06
Position 232: 2.5419969644636438e-06
Position 736: 1.738206153575883e-06
Position 1481: 8.736881525633036e-07
Position 536: 2.1769356908388155e-08
Position 870: 8.673969817147619e-09
Position 1073: 7.557511973136582e-09
Position 555: 7.2751720030025515e-09
Position 1044: 3.842058093980691e-09
Position 500: 4.3477289221010427e-10
Position 1139: 3.586853376797019e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 358: 0.9064006784146627
Position 429: 0.09711732401747943
Position 763: 0.05041408461054184
Position 1236: 0.0038585508545778795
Position 1597: 0.003609021267120892
Position 829: 0.003309504975655982
Position 706: 0.0016751251620387734
Position 172: 0.001542284241666506
Position 940: 0.0007530384442062739
Position 1341: 0.0007259062072222041
Position 880: 0.0006345643800578306
Position 306: 0.0006109316465842157
Position 1560: 0.0006059003357217508
Position 1269: 0.0005504086727143335
Position 672: 0.0005238748346916475
Position 491: 0.00048530091120592856
Position 386: 0.0004364351734743702
Position 677: 0.0003699376528832201
Position 1125: 0.00025621152392723575
Position 1144: 0.0002143564149073375
Position 1640: 0.00020203739299782514
Position 180: 0.00019340071853526708
Position 380: 0.00014387095420540782
Position 1241: 0.00013702745453162852
Position 472: 0.00012196474346577566
Position 916: 0.00012076927876890086
Position 315: 0.00011504776732989492
Position 447: 8.85958247746914e-05
Position 1266: 7.997196756348597e-05
Position 318: 7.928931095573559e-05
Position 1021: 7.787435270639617e-05
Position 966: 7.77913803767743e-05
Position 1521: 4.839442093892477e-05
Position 310: 4.801083149967666e-05
Position 1651: 4.3453829067586134e-05
Position 730: 2.641477221706269e-05
Position 1347: 2.4299490075492316e-05
Position 733: 1.8424530622648632e-05
Position 555: 1.2644674967353837e-05
Position 1542: 1.0956472851233952e-05
Position 736: 1.0269260758816235e-05
Position 92: 5.940421825445281e-06
Position 1026: 5.528540965563221e-06
Position 1503: 4.697303083506906e-06
Position 83: 3.494653488645802e-06
Position 293: 3.4547823999004004e-06
Position 1281: 2.6640224117869397e-06
Position 1518: 2.5241396701958516e-06
Position 1500: 2.4087281290038597e-06
Position 1044: 2.2874844700717694e-06
Position 688: 1.277190425062422e-06
Position 279: 1.7570352829767422e-08
Position 266: 3.0504393334036333e-09
Position 76: 2.095704014505068e-09
Position 285: 1.2731495759165202e-09
Position 843: 8.623146652170468e-10
Position 459: 1.762223956628376e-13
