Gene = hale
index = 1722
Annotated 5SS: [314]
Annotated 3SS: [372]
SMsplice 5SS: [314]
SMsplice 3SS: [372]
top_k =  1000
Partition function (log Z): -4.983580062425854

Sorted 5' Splice Sites (High to Low Probability):
Position 314: 0.9880508795815705
Position 489: 0.47345584078483527
Position 989: 0.01792412443158052
Position 307: 0.007931803189602401
Position 504: 0.0036937645717317748
Position 723: 0.002312844839530076
Position 994: 0.001188726194234667
Position 877: 0.001099584184812016
Position 785: 0.001078145843760899
Position 462: 0.0006078460050886847
Position 976: 0.0006075302497326464
Position 510: 0.00038667426097030845
Position 58: 0.00024105112593980692
Position 258: 0.00018450543327671955
Position 498: 0.00014287338551737924
Position 516: 0.00010113698526629775
Position 872: 0.0001000939010572191
Position 112: 8.107357439262237e-05
Position 342: 7.622853280452914e-05
Position 936: 4.7002105711318884e-05
Position 775: 4.6347829899768476e-05
Position 585: 3.8981770225861543e-05
Position 931: 3.7652028573915286e-05
Position 251: 3.372315178643333e-05
Position 764: 2.56811189213064e-05
Position 1017: 2.4428322448299578e-05
Position 661: 1.5799950020025002e-05
Position 748: 1.260919909484661e-05
Position 281: 1.2514240856279991e-05
Position 137: 1.0707194617316084e-05
Position 166: 8.888063571145566e-06
Position 447: 8.570741407465143e-06
Position 740: 4.778673172109009e-06
Position 37: 4.644871240640579e-06
Position 588: 4.368747007069737e-06
Position 714: 4.167135281269644e-06
Position 859: 4.084173353883452e-06
Position 597: 3.6656809873325024e-06
Position 298: 3.6289564743638898e-06
Position 1343: 3.5895391834289058e-06
Position 296: 2.796294427772439e-06
Position 454: 2.5982316384585707e-06
Position 79: 2.5592506895600704e-06
Position 3: 1.404955331706258e-06
Position 25: 1.272610607983246e-06
Position 386: 9.547517584586834e-07
Position 288: 8.72266397247304e-07
Position 76: 3.8922521523362884e-07
Position 86: 3.257663788886959e-07
Position 203: 2.828115306549842e-07
Position 240: 8.036226836978009e-08
Position 179: 4.0644361128616926e-08
Position 583: 3.914077745138029e-08
Position 95: 3.193178484852312e-08
Position 62: 2.4662586084378055e-08
Position 212: 1.1707964172727681e-08
Position 49: 7.612454508007373e-09
Position 227: 7.0434849386236664e-09
Position 939: 1.260875592194787e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 372: 0.9702487995386835
Position 556: 0.2544829195138503
Position 570: 0.18017335856683944
Position 844: 0.033887934221568924
Position 1052: 0.021100341291846448
Position 1070: 0.008276014066577363
Position 753: 0.005458002680330422
Position 1112: 0.00485875308396263
Position 625: 0.004174508187267728
Position 865: 0.002398354936482731
Position 593: 0.00216632664014897
Position 583: 0.0019649996724631067
Position 973: 0.0016709974487109786
Position 444: 0.0012288911715932255
Position 474: 0.001050812576887247
Position 805: 0.0008809938950323953
Position 823: 0.0007714108296648382
Position 764: 0.0007630768930400023
Position 454: 0.0007256785993280529
Position 652: 0.0006454532099175171
Position 736: 0.0006215294833719053
Position 714: 0.0005329984796560453
Position 949: 0.00037605562263741914
Position 993: 0.00023447014497381593
Position 639: 0.00020465302871912547
Position 853: 0.0001297503547865903
Position 1001: 9.700873938744556e-05
Position 107: 8.627304436458968e-05
Position 179: 7.195013057952393e-05
Position 691: 4.904330598547341e-05
Position 197: 4.864432585129426e-05
Position 820: 3.27742976620461e-05
Position 185: 2.4742074465203722e-05
Position 671: 2.4569789267264146e-05
Position 146: 2.349457647126176e-05
Position 877: 2.0457831221521197e-05
Position 958: 1.4817757521319809e-05
Position 1017: 1.3166492007864067e-05
Position 484: 1.1812430723389203e-05
Position 1432: 1.0927224096483795e-05
Position 1206: 9.665926579626709e-06
Position 1279: 7.10509164705613e-06
Position 1158: 6.946183752218842e-06
Position 1010: 6.785153933474676e-06
Position 674: 6.453809296330616e-06
Position 203: 5.660324633989495e-06
Position 1165: 4.755270993804787e-06
Position 251: 3.609593698408879e-06
Position 84: 3.258023464914328e-06
Position 1192: 2.8304279515612596e-06
Position 1223: 2.581564355171464e-06
Position 516: 2.4939909714606416e-06
Position 680: 1.832692105093193e-06
Position 1170: 1.8138304150296434e-06
Position 494: 1.6728178242004052e-06
Position 342: 1.6091898148712027e-06
Position 1027: 1.422500258443429e-06
Position 1411: 1.309560299721082e-06
Position 488: 1.1941451032043822e-06
Position 62: 1.1586395720187874e-06
Position 1006: 1.1510955340688962e-06
Position 257: 8.614481880130104e-07
Position 1408: 6.500762954164368e-07
Position 86: 3.807456452883297e-07
Position 303: 1.4163949643298478e-07
Position 92: 1.4025571581308364e-07
Position 313: 9.23701966376407e-09
Position 109: 2.444725347802522e-10
Position 305: 1.0664910047069175e-10
Position 296: 6.256446717828254e-11
Position 116: 4.0704572497110243e-11
Position 510: 3.108787811107827e-12
Position 504: 1.7934091341788036e-12
