Gene = TORIP
index = 1540
Annotated 5SS: [604 793]
Annotated 3SS: [670 847]
SMsplice 5SS: [604 766]
SMsplice 3SS: [670 847]
top_k =  1000
Partition function (log Z): -1.2444257769971254

Sorted 5' Splice Sites (High to Low Probability):
Position 604: 0.9862053157117995
Position 766: 0.8944615340025369
Position 202: 0.06042409452681467
Position 778: 0.03188328440044558
Position 722: 0.024281230689526482
Position 793: 0.02082096512113702
Position 331: 0.006312540941601936
Position 1267: 0.005926022811787457
Position 1061: 0.004856128799118195
Position 42: 0.004610223608359235
Position 383: 0.0022534676222831524
Position 153: 0.0013443753245309263
Position 1049: 0.0006518596545134188
Position 462: 0.0006164983196537316
Position 82: 0.000582036595657769
Position 55: 0.0003682681072010651
Position 991: 0.00034413761203156204
Position 596: 0.0003049276453517916
Position 364: 0.00029442813551319475
Position 223: 0.00022189175324393692
Position 1248: 0.0001418575181572635
Position 1238: 0.00011567635582785188
Position 372: 8.004236749476001e-05
Position 259: 7.198136252685368e-05
Position 1255: 7.128258502725026e-05
Position 1000: 6.562988307430311e-05
Position 1012: 4.7833079865540573e-05
Position 1074: 3.407355551774604e-05
Position 354: 2.751095482931295e-05
Position 440: 2.6528413602216506e-05
Position 352: 1.7654862639712183e-05
Position 905: 1.6555196506983547e-05
Position 1280: 1.655195468133959e-05
Position 525: 1.51532496079143e-05
Position 917: 6.373642275445045e-06
Position 375: 6.195572538974089e-06
Position 33: 5.3581413799747705e-06
Position 640: 5.0075300009535316e-06
Position 671: 4.45393126187312e-06
Position 415: 3.94340271362374e-06
Position 413: 2.9524634190234404e-06
Position 280: 2.5842714457324396e-06
Position 1176: 1.1188916405462744e-06
Position 956: 3.1203445145631965e-07
Position 523: 2.460435392922167e-07
Position 245: 2.437013408573322e-07
Position 533: 1.7073648262088876e-07
Position 120: 1.501727436436724e-07
Position 968: 1.4869859077616633e-07
Position 1198: 7.27240494102264e-08
Position 1168: 4.5288381518990336e-08
Position 107: 4.065613731549223e-08
Position 1196: 2.8369835077015196e-08
Position 674: 1.0273237294063929e-09
Position 1142: 3.607976144121116e-10
Position 814: 7.368128696080387e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 847: 0.9880754814506968
Position 670: 0.9670964029847171
Position 274: 0.05587706976790597
Position 1330: 0.005859740551667767
Position 107: 0.004519437740946044
Position 833: 0.003950509717110135
Position 433: 0.003489270304522286
Position 425: 0.002869255799278991
Position 1112: 0.0020533445616878992
Position 394: 0.0017892713640295895
Position 245: 0.0012379955438493037
Position 402: 0.0009748401962801022
Position 1290: 0.0009032725045925462
Position 1185: 0.0008226675364386972
Position 545: 0.0007730077582963485
Position 1121: 0.0007152536689528723
Position 1133: 0.0007134430501363303
Position 509: 0.0005846821950106229
Position 413: 0.0004609993464163051
Position 452: 0.000440265147681746
Position 113: 0.0004145635834058332
Position 897: 0.0003794052975408309
Position 449: 0.0003427397122652539
Position 684: 0.0003287876519114246
Position 145: 0.0003135091023146301
Position 1191: 0.0002905335246951094
Position 1168: 0.00028585356583086266
Position 699: 0.0002577273906677768
Position 455: 0.00022628486450984375
Position 1135: 0.00019554443843096403
Position 1315: 0.00017045765898160477
Position 149: 0.00015938113574113532
Position 1304: 0.0001585499502067363
Position 250: 0.00014063018951508883
Position 1176: 0.0001205708347973581
Position 223: 0.00010121356434324062
Position 253: 7.694530670470841e-05
Position 515: 5.6556318431389816e-05
Position 702: 3.480506365611993e-05
Position 440: 3.4356615569315465e-05
Position 977: 3.082134612956083e-05
Position 259: 2.905742040969671e-05
Position 523: 2.7444283554318077e-05
Position 1060: 2.7398710468652606e-05
Position 342: 2.612029421309549e-05
Position 286: 2.2015751229343606e-05
Position 482: 2.1461283134515325e-05
Position 778: 1.657044345470137e-05
Position 705: 1.54706207723576e-05
Position 128: 5.719202493185424e-06
Position 280: 5.407832981829239e-06
Position 1049: 5.13628126762131e-06
Position 793: 5.067768476000531e-06
Position 290: 4.8872322397224235e-06
Position 1220: 3.574733499108348e-06
Position 296: 2.510428975211997e-06
Position 293: 2.3783208299566384e-06
Position 554: 1.948872003119721e-06
Position 608: 9.87220260852843e-07
Position 404: 4.3719409512948036e-07
Position 160: 4.2494937511671004e-07
Position 1265: 3.0525084494942965e-07
Position 714: 2.6631201231475374e-07
Position 198: 2.476795744621011e-07
Position 1009: 2.1839586782396794e-07
Position 613: 1.8885569690717392e-07
Position 863: 1.4916799551629777e-07
Position 1086: 1.254720718370909e-07
Position 491: 1.328240144157497e-08
Position 171: 1.3032175145374763e-08
Position 202: 1.274663209707641e-08
Position 587: 1.8513868195594695e-09
Position 917: 4.941951428609679e-10
Position 869: 4.014105479920352e-10
Position 1012: 1.4255301083060512e-10
Position 765: 1.1139990078604773e-10
Position 167: 3.7071496527982805e-11
