Gene = Sec5
index = 1479
Annotated 5SS: [ 213  898 2774]
Annotated 3SS: [ 282  951 2830]
SMsplice 5SS: [ 898 2774]
SMsplice 3SS: [ 951 2830]
top_k =  1000
Partition function (log Z): -1.7876359975272387

Sorted 5' Splice Sites (High to Low Probability):
Position 898: 0.9962343047711284
Position 2774: 0.9233551938602478
Position 213: 0.4353832196170008
Position 1099: 0.04322859826199109
Position 1863: 0.02114737344263378
Position 2438: 0.016646540890691303
Position 43: 0.009127496301336397
Position 2571: 0.003663911899487771
Position 1966: 0.0036018165284794875
Position 577: 0.003137409064725041
Position 1022: 0.002960596784795279
Position 757: 0.0025912112914380234
Position 2998: 0.0025902752715768933
Position 2022: 0.0017198074584181785
Position 1113: 0.0017051153617469352
Position 1658: 0.001604463618496466
Position 2097: 0.0014203637305302019
Position 1116: 0.001344525258413478
Position 1179: 0.0011271922527256192
Position 278: 0.00107663549185778
Position 1696: 0.0010434254153914898
Position 2752: 0.0007805564958948034
Position 219: 0.0006295402018332467
Position 15: 0.0005861455699673297
Position 1236: 0.0005499491195140416
Position 1620: 0.0003339000911047693
Position 2341: 0.00029506724547166316
Position 2406: 0.00029402487122699966
Position 902: 0.00023650116272583356
Position 2890: 0.000232872321837421
Position 738: 0.00021471930020668635
Position 1488: 0.0001858538117280202
Position 1052: 0.00017524853142592798
Position 2078: 0.00013216166346156593
Position 1508: 0.00012947277193822192
Position 1087: 0.0001023913687581704
Position 2139: 9.521213144987812e-05
Position 1191: 8.954240039667109e-05
Position 1077: 7.90008714838736e-05
Position 423: 7.06159935571748e-05
Position 181: 5.9254983209202245e-05
Position 1777: 5.0568301320474886e-05
Position 1063: 4.7625701824062284e-05
Position 283: 4.26675660455174e-05
Position 907: 4.098092372161847e-05
Position 197: 4.061210788575773e-05
Position 387: 3.3743957359483835e-05
Position 147: 2.977439681348061e-05
Position 1438: 2.848052461797569e-05
Position 665: 2.5736735207566003e-05
Position 2955: 2.3708101817051186e-05
Position 2778: 2.0060509703412724e-05
Position 514: 1.8012907670931366e-05
Position 358: 1.772004088383609e-05
Position 164: 1.569672561265718e-05
Position 792: 1.4482037499658087e-05
Position 58: 1.432108316152226e-05
Position 242: 1.3124458443330527e-05
Position 2757: 1.126907323385305e-05
Position 48: 1.075332377126279e-05
Position 226: 1.0704737732222927e-05
Position 408: 9.75656825873038e-06
Position 428: 7.72865168814804e-06
Position 993: 5.214436278385498e-06
Position 2932: 4.562993428287383e-06
Position 719: 4.476024623129888e-06
Position 1031: 4.452928875057045e-06
Position 467: 3.904015218594485e-06
Position 2953: 3.526535532308084e-06
Position 2916: 2.3242788458373824e-06
Position 2489: 2.1696033836707184e-06
Position 433: 2.146746963049412e-06
Position 122: 1.9483684545238094e-06
Position 474: 1.118811203622444e-06
Position 1257: 1.0867342603144626e-06
Position 119: 1.0017205405408412e-06
Position 1640: 8.865277593925468e-07
Position 476: 6.482634347801639e-07
Position 1294: 6.328836419188049e-07
Position 488: 6.059139019192751e-07
Position 298: 4.6689935604053214e-07
Position 566: 2.2824124559399602e-07
Position 2352: 2.0610379060244285e-07
Position 846: 1.995560821960089e-07
Position 2031: 1.934414733094866e-07
Position 323: 1.8350353680614355e-07
Position 416: 1.6819984005331415e-07
Position 79: 1.4421142085986204e-07
Position 776: 5.862947083827633e-08
Position 314: 3.740000086707901e-08
Position 1700: 3.064180945910411e-08
Position 1239: 2.8448988747909884e-08
Position 1647: 2.8015811245284863e-08
Position 307: 2.385558717290203e-08
Position 1748: 1.163747604179615e-08
Position 2718: 4.82399152080156e-09
Position 761: 1.7474145264291911e-09
Position 1040: 2.7287732345027357e-10
Position 764: 1.950335353051818e-10
Position 2507: 1.689998283788844e-10
Position 638: 1.419390123353384e-10
Position 1026: 2.3362984406581755e-11
Position 987: 2.4817554129932067e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 951: 0.9428612494152125
Position 2830: 0.9227114232595088
Position 303: 0.25639365396073943
Position 282: 0.10227874015095544
Position 961: 0.047028726871043286
Position 786: 0.03430310556730077
Position 2134: 0.030116743936828495
Position 2507: 0.029421731924205066
Position 1178: 0.02018592286181365
Position 400: 0.017650412878688324
Position 624: 0.013996587076714856
Position 97: 0.009054255277253648
Position 1769: 0.007294188300734677
Position 2655: 0.006957387237525974
Position 3043: 0.0038062411294832667
Position 428: 0.002909739926428689
Position 2414: 0.002873504801766074
Position 2228: 0.002379411623165557
Position 2596: 0.0022573774621949634
Position 974: 0.0022326776055596733
Position 548: 0.0019296371098426863
Position 803: 0.0016037200163152429
Position 644: 0.0015635725701182747
Position 464: 0.0015445039707826314
Position 1685: 0.0015243228873475752
Position 731: 0.001502001917164166
Position 2044: 0.0014840461720207368
Position 1919: 0.0011808462446650197
Position 500: 0.0011464179266677044
Position 2201: 0.0010171645175707817
Position 710: 0.0007659603142263258
Position 1154: 0.0006191598473730635
Position 2847: 0.0005923155597905343
Position 776: 0.0005787239218682118
Position 2885: 0.0005325498184045504
Position 528: 0.0005220287742204751
Position 79: 0.0004935829500866342
Position 2225: 0.00045557462168059983
Position 2435: 0.0004480908499838512
Position 1927: 0.00041124678484315936
Position 833: 0.0003344266686663838
Position 587: 0.00030580030561208133
Position 2684: 0.00025183905040059175
Position 1657: 0.0002512760027043307
Position 1084: 0.00024601201657093754
Position 894: 0.00021760390422144967
Position 1529: 0.0002005998971418935
Position 446: 0.00018198721545019248
Position 1235: 0.00017783907186523658
Position 368: 0.0001684634169276867
Position 115: 0.0001450375279890722
Position 1748: 0.00011399593785199105
Position 467: 0.00010896596504831135
Position 2177: 0.00010799013779032432
Position 1406: 0.00010506977539893491
Position 387: 9.068065133333337e-05
Position 1307: 6.613170082730088e-05
Position 2078: 6.538538302291804e-05
Position 1418: 6.068544571655319e-05
Position 575: 5.847303749817796e-05
Position 1700: 5.1953229553712134e-05
Position 1471: 4.577623027821838e-05
Position 551: 4.0583447001434424e-05
Position 1216: 3.813378779520953e-05
Position 590: 3.523750414231353e-05
Position 1310: 3.473236127171695e-05
Position 1931: 3.454759341204635e-05
Position 1791: 3.191625100223714e-05
Position 1475: 3.008756963669361e-05
Position 1810: 2.967713999153426e-05
Position 647: 2.763885604681089e-05
Position 1503: 2.528552928257369e-05
Position 1253: 2.4664929652950758e-05
Position 2855: 2.3765625528686246e-05
Position 2882: 2.2558777332447257e-05
Position 1640: 1.8462967527126525e-05
Position 1201: 1.7704354091228413e-05
Position 2985: 1.559894836426732e-05
Position 3021: 1.5485635890064774e-05
Position 2888: 1.5333719961000208e-05
Position 375: 1.2754314895866805e-05
Position 1139: 1.2692596386703116e-05
Position 839: 1.214602494288229e-05
Position 1451: 7.113462734161125e-06
Position 1007: 6.894095733425317e-06
Position 1160: 6.31894072988291e-06
Position 142: 5.302455458131199e-06
Position 2953: 3.774917598177623e-06
Position 738: 3.1144739659222528e-06
Position 2969: 3.0030017182320205e-06
Position 119: 1.7569772960449877e-06
Position 701: 1.6937823697075242e-06
Position 145: 1.4953071056718487e-06
Position 488: 1.2664667777941854e-06
Position 752: 1.1185205011623484e-06
Position 749: 8.970051881126419e-07
Position 236: 8.426535532659776e-07
Position 2939: 5.615994662366707e-07
Position 828: 5.448958717270265e-07
Position 323: 4.977263617634086e-07
Position 222: 4.243823601817386e-07
Position 584: 2.9370112449970983e-07
Position 761: 2.890296610269989e-07
Position 842: 2.867045386945916e-07
Position 3018: 2.813258783854734e-07
Position 216: 1.5316249188036254e-07
Position 408: 1.1969714022632418e-07
Position 485: 7.423776755347908e-08
Position 1705: 4.7979371855311005e-08
Position 1002: 3.587988203053387e-08
Position 914: 3.640687183829884e-09
Position 1052: 3.479451962322156e-09
