Gene = eIF3e
index = 1684
Annotated 5SS: [198 685]
Annotated 3SS: [291 770]
SMsplice 5SS: [198 685]
SMsplice 3SS: [291 770]
top_k =  1000
Partition function (log Z): -3.1917680372061934

Sorted 5' Splice Sites (High to Low Probability):
Position 685: 0.9905536595541746
Position 198: 0.6633199601124516
Position 506: 0.13293463814110928
Position 68: 0.0414595112614617
Position 929: 0.027031559867442465
Position 218: 0.007576944312486914
Position 91: 0.003654996817082936
Position 689: 0.002394791418940204
Position 247: 0.002325779483611109
Position 1262: 0.0019191039046051576
Position 232: 0.0015800759361905218
Position 1001: 0.001571676134066252
Position 466: 0.0014610881677169366
Position 80: 0.000983034082999615
Position 45: 0.0006858534660687232
Position 939: 0.0005941166687883165
Position 1166: 0.0005074171792461423
Position 1107: 0.0003276346260577286
Position 989: 0.00030975293167987105
Position 568: 0.00022596862657027185
Position 185: 0.00022539423049537907
Position 334: 0.00020823018932403383
Position 240: 0.00014087321376468457
Position 1221: 6.363962199044217e-05
Position 933: 6.341935033669933e-05
Position 1528: 4.469112656027959e-05
Position 1162: 4.408917919911324e-05
Position 1586: 4.346865243361374e-05
Position 648: 3.949045683520641e-05
Position 603: 3.7806537783912675e-05
Position 433: 3.051059797622468e-05
Position 29: 2.623424048269967e-05
Position 1059: 2.349974379574999e-05
Position 1130: 1.833341797841923e-05
Position 66: 1.7677423401856914e-05
Position 318: 1.5716419275682498e-05
Position 615: 1.5530712223462924e-05
Position 853: 1.4800946863997935e-05
Position 274: 1.2591252408328871e-05
Position 1266: 1.1908094903335956e-05
Position 983: 1.131717163977619e-05
Position 380: 1.1108140259863553e-05
Position 1042: 8.863950520152963e-06
Position 1595: 7.289246547350466e-06
Position 179: 6.555970655227548e-06
Position 276: 4.037790120342485e-06
Position 1027: 3.7729843440354908e-06
Position 415: 3.363874800857169e-06
Position 664: 3.3232117504742472e-06
Position 1124: 2.7594090033483723e-06
Position 1405: 1.835498943462537e-06
Position 1245: 1.6145337530581421e-06
Position 1383: 1.3450733239759824e-06
Position 1170: 1.1599496145200815e-06
Position 1621: 1.127908186996853e-06
Position 1062: 1.0094961543219655e-06
Position 633: 6.007058927340865e-07
Position 535: 2.993530805153554e-07
Position 143: 2.5788226503933784e-07
Position 285: 2.504364159764527e-07
Position 14: 1.2558334340345846e-07
Position 1025: 2.6000058539132615e-09
Position 1121: 2.5023772483423294e-09
Position 669: 7.216222515027772e-10
Position 788: 2.399899535760054e-10
Position 1151: 1.1440290242410932e-10
Position 783: 7.157154988209619e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 770: 0.9926756612766551
Position 291: 0.7001239432395464
Position 567: 0.11469372469488251
Position 1019: 0.019913701488750928
Position 549: 0.011197024009190443
Position 143: 0.009601354287332732
Position 1062: 0.00818395564567021
Position 154: 0.008118786780315244
Position 552: 0.005667911547672279
Position 1316: 0.004249245941256627
Position 1118: 0.0008160919414684922
Position 797: 0.0007938711903318395
Position 995: 0.0006384555584200134
Position 1094: 0.0005374878393481193
Position 1475: 0.0005209827481247414
Position 330: 0.0004619159557626996
Position 886: 0.00039521499124425797
Position 306: 0.00032058055567217467
Position 396: 0.00031658495339201623
Position 392: 0.00030947572703030713
Position 630: 0.00030436508339813564
Position 594: 0.00028905828895953395
Position 959: 0.00025334878035174836
Position 1106: 0.00021407777144317867
Position 453: 0.0002033907539820808
Position 736: 0.00018002891034657375
Position 303: 0.00017656792289429991
Position 1418: 0.00016447041709213503
Position 1187: 0.00015751414695517417
Position 1478: 0.0001561519091558956
Position 1330: 0.00015147706620471845
Position 1664: 0.0001282387189210697
Position 309: 0.00010985681998070917
Position 378: 7.566018498505247e-05
Position 905: 6.148530548722145e-05
Position 528: 4.464921619280499e-05
Position 1160: 3.753972681975034e-05
Position 342: 3.5781796293585515e-05
Position 501: 3.20980428090204e-05
Position 459: 3.019205249797129e-05
Position 1457: 3.0162526776388474e-05
Position 399: 2.370769245304982e-05
Position 91: 1.8953386641038074e-05
Position 1121: 1.653597175645489e-05
Position 582: 1.5692460067866123e-05
Position 896: 1.527230347730259e-05
Position 1346: 1.3592817197339777e-05
Position 1373: 1.3470759396536136e-05
Position 1621: 1.3208652249963046e-05
Position 1295: 1.2957511902421708e-05
Position 420: 8.890175731154664e-06
Position 1527: 7.869243427892317e-06
Position 573: 7.10425646341297e-06
Position 197: 6.889538419768611e-06
Position 450: 6.484075541059673e-06
Position 1595: 4.297928250195006e-06
Position 615: 3.8051959958612495e-06
Position 99: 3.772713207546912e-06
Position 483: 3.241233713313298e-06
Position 633: 3.1509963229334417e-06
Position 179: 2.2160660555101384e-06
Position 247: 2.1832007631043575e-06
Position 1358: 1.8963170848391832e-06
Position 1367: 1.862048170935495e-06
Position 842: 1.8405380684059065e-06
Position 465: 1.4329824626409774e-06
Position 194: 1.2409939300806003e-06
Position 1211: 9.46380878821442e-07
Position 603: 8.167656051691112e-07
Position 1626: 6.784134074123661e-07
Position 426: 5.992529975021566e-07
Position 519: 2.46091998436191e-07
Position 510: 2.3761899233007037e-07
Position 202: 1.337177550048679e-07
Position 318: 9.733577934727063e-08
Position 214: 3.36966741988822e-08
Position 432: 1.9262038277906474e-08
Position 684: 1.41824705900776e-08
Position 411: 1.1854649192229976e-08
Position 809: 1.5990226919284694e-09
Position 714: 1.2653697004485543e-09
Position 408: 2.0615186106081576e-10
Position 207: 5.205792707370075e-12
Position 240: 6.884837873806032e-15
