Gene = GABA-B-R3
index = 1174
Annotated 5SS: [ 456 3786 4686 5352 6136 7086 7485 7994 9178 9605]
Annotated 3SS: [2785 4541 5075 5883 6722 7182 7854 8901 9285 9733]
SMsplice 5SS: [ 760 4686 5352 6136 7086 7485 7994 9178 9605]
SMsplice 3SS: [4541 5225 5883 6722 7182 7854 8378 9285 9733]
top_k =  1000
Partition function (log Z): 13.832436574423669

Sorted 5' Splice Sites (High to Low Probability):
Position 9178: 0.9972137090316135
Position 7086: 0.9950353479711573
Position 4686: 0.9851481770364634
Position 6136: 0.9821238230630542
Position 7994: 0.9767761493742536
Position 9605: 0.937620775508646
Position 7485: 0.9004342035726915
Position 5352: 0.8975202620270915
Position 3786: 0.5940177307855203
Position 9361: 0.3101930074252162
Position 760: 0.2654750406562564
Position 10714: 0.15640669944906566
Position 247: 0.12523348733035533
Position 11151: 0.11376516187382327
Position 11774: 0.09446014158158578
Position 859: 0.09356499168513668
Position 1544: 0.0781353825436064
Position 10481: 0.05393150669084924
Position 568: 0.047702695912083766
Position 9997: 0.04700416516353028
Position 2005: 0.04677242361656968
Position 9622: 0.04484945539277881
Position 6643: 0.042279741094456445
Position 7342: 0.03898686339737498
Position 703: 0.038169167690777474
Position 5618: 0.03215594189455675
Position 8277: 0.03125064154305882
Position 822: 0.029647210783454364
Position 699: 0.028510352977670586
Position 12061: 0.02557975395458069
Position 7497: 0.024360738097097667
Position 2584: 0.022625692754446102
Position 982: 0.022359353355378617
Position 243: 0.019848358694358654
Position 2029: 0.019551859010305626
Position 8164: 0.018424614495525914
Position 665: 0.017614611229102
Position 1511: 0.017392126867673715
Position 2491: 0.013661759041802618
Position 764: 0.01353097325159362
Position 4944: 0.013172493669962239
Position 10031: 0.01308944988833513
Position 11305: 0.01251996691795419
Position 10620: 0.01179647490881596
Position 682: 0.01065078783201639
Position 8113: 0.009908624698568963
Position 9838: 0.009806728213737265
Position 7704: 0.009723026851701915
Position 7778: 0.007049933046169963
Position 266: 0.006974020035109936
Position 4105: 0.006546343308096922
Position 904: 0.006106516678685945
Position 7742: 0.005968842805342112
Position 6539: 0.005742966672196006
Position 4173: 0.005698461344026114
Position 9394: 0.005680492135364967
