Gene = hoip
index = 1729
Annotated 5SS: [147]
Annotated 3SS: [208]
SMsplice 5SS: [147]
SMsplice 3SS: [208]
top_k =  1000
Partition function (log Z): -2.941900599188532

Sorted 5' Splice Sites (High to Low Probability):
Position 147: 0.9988853322516337
Position 123: 0.0006167740801742773
Position 117: 0.00021553999750621424
Position 91: 0.00013284754775765047
Position 449: 0.00010886354359487975
Position 161: 0.00010503942154070273
Position 375: 6.735725521866415e-05
Position 418: 3.608253720949409e-05
Position 151: 2.7142069970391733e-05
Position 362: 2.5955876215635975e-05
Position 11: 2.178920877080368e-05
Position 218: 1.4559509609973241e-05
Position 365: 1.2029615469670811e-05
Position 53: 9.831111638861864e-06
Position 71: 7.595740764447785e-06
Position 474: 6.773586129366946e-06
Position 434: 3.861938998558609e-06
Position 31: 3.7439490756196924e-06
Position 177: 2.0797302762297876e-06
Position 33: 1.838020258858243e-06
Position 443: 1.6988185038460782e-06
Position 541: 1.6043481284515922e-06
Position 191: 1.8106453077207128e-07
Position 453: 1.1612304274637827e-07
Position 478: 9.110227078527776e-08
Position 485: 9.212040916478152e-09
Position 512: 8.160357046640754e-09
Position 500: 9.96400750355694e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 208: 0.9997840658919674
Position 500: 0.00013795254875858647
Position 463: 0.00010945026768071564
Position 229: 6.383477584518943e-05
Position 283: 4.872719282793666e-05
Position 253: 3.233832456231247e-05
Position 214: 3.146201184264504e-05
Position 460: 2.3120099286304627e-05
Position 191: 2.172061391831748e-05
Position 71: 1.8478928452993857e-05
Position 117: 1.1135911017745179e-05
Position 265: 6.592938253624132e-06
Position 600: 5.227783481909809e-06
Position 287: 3.4415031011358413e-06
Position 430: 2.869682320810987e-06
Position 531: 2.6833336855463006e-06
Position 313: 1.1820481516023532e-06
Position 565: 1.1344864622850729e-06
Position 526: 5.568904588963488e-07
Position 138: 5.497183511264291e-07
Position 123: 4.1911482163805146e-07
Position 568: 2.968044289853222e-07
Position 424: 2.778823799296168e-07
Position 624: 2.2692133291746007e-07
Position 562: 1.622971029914391e-07
Position 607: 1.588338869908633e-07
Position 535: 1.4628923702588502e-07
Position 76: 1.0839815967108735e-07
Position 218: 1.0214530050021489e-07
Position 104: 9.883365265002796e-08
Position 79: 9.343355629700553e-08
Position 165: 6.35316588850597e-08
Position 151: 2.5117581723553704e-08
Position 547: 1.750885436337391e-08
Position 394: 5.333827954910716e-09
Position 584: 5.139333517996696e-09
Position 485: 4.204268993280673e-09
Position 172: 3.0705233763326344e-09
Position 541: 2.6591596690106532e-09
Position 334: 2.3156457042991987e-09
Position 589: 1.176593844714848e-09
Position 385: 4.816397561470311e-10
Position 574: 2.386616128879027e-10
Position 325: 1.1882119850193037e-10
Position 83: 1.4619873535077035e-11
Position 90: 1.4378865012669491e-12
Position 88: 1.3938998854639715e-13
Position 174: 2.0679412185396848e-14
Position 317: 1.4292330648005627e-14
