Gene = bbg
index = 1624
Annotated 5SS: [   238   2716  25373  28663 121510 121707 122197 122702]
Annotated 3SS: [  2553  23005  26356 119080 121577 121781 122560 122765]
SMsplice 5SS: [   795   2716  16179  16388 121510 121707 122197 122702]
SMsplice 3SS: [  1596  15609  16249 119080 121577 121781 122560 122765]
top_k =  1000
Partition function (log Z): -136.9642435629584

Sorted 5' Splice Sites (High to Low Probability):
Position 16179: 0.850167728494081
Position 2716: 0.7644926368574717
Position 795: 0.6419423469961454
Position 16388: 0.1964735140393894
Position 16449: 0.1890087174363348
Position 10909: 0.1680849008866691
Position 1734: 0.1626043084967776
Position 16407: 0.13980375988227436
Position 2503: 0.1299022567512967
Position 16763: 0.12965279993359893
Position 545: 0.08066247706763366
Position 238: 0.07693629774135413
Position 2431: 0.05087182037552405
Position 154: 0.045242489345903844
Position 1019: 0.04508559593861725
Position 1824: 0.03704778836070109
Position 1920: 0.02425335326373098
Position 1727: 0.018231621907496085
Position 11219: 0.01712112201526514
Position 844: 0.016737578526856013
Position 11908: 0.016491988439398083
Position 18038: 0.014962517103652767
Position 8186: 0.013832402323487114
Position 17690: 0.012777277988342243
Position 437: 0.009105215274840725
Position 539: 0.008134299282494742
Position 502: 0.008120431140700862
Position 12: 0.007810838087227826
Position 1419: 0.007062318836284332
Position 1390: 0.004894164800801108
Position 1493: 0.004759935893755061
Position 747: 0.004105200225048276
Position 529: 0.0037265597691996774
Position 479: 0.0034566018084993665
Position 883: 0.0028781651292729016
Position 2191: 0.0027803029201553756
Position 964: 0.002686675106124665
Position 269: 0.002640000672222756
Position 190: 0.002580157826806708
Position 662: 0.0022953904492385834
Position 222: 0.002271826777868629
Position 147: 0.0021760172463208367
Position 1172: 0.0018438381585913987
Position 10937: 0.0018251566372455516
Position 340: 0.0016681684177882552
Position 1926: 0.0013374667393889774
Position 1999: 0.001105605996600745
Position 40: 0.000967374155975331
Position 2493: 0.0008430365612532779
Position 650: 0.0008306350858392612
Position 15882: 0.0007656519675741966
Position 1377: 0.0006138530946867506
Position 160: 0.0006120239040786846
