Gene = Hsc20
index = 1216
Annotated 5SS: [291 456]
Annotated 3SS: [342 515]
SMsplice 5SS: [456]
SMsplice 3SS: [515]
top_k =  1000
Partition function (log Z): -5.656651594758946

Sorted 5' Splice Sites (High to Low Probability):
Position 456: 0.6612509238034857
Position 291: 0.5630634593998946
Position 460: 0.14319979535169244
Position 449: 0.09792150585337572
Position 602: 0.018120502822265596
Position 17: 0.0038392015947826263
Position 102: 0.002442088623085601
Position 276: 0.001408573057354206
Position 73: 0.0008138671551377871
Position 38: 0.000691759643845693
Position 295: 0.0006679445280160193
Position 62: 0.0006276093724062791
Position 700: 0.0005608105136922773
Position 430: 0.00029864576679713685
Position 250: 0.00019442466767415816
Position 78: 0.00017757517839125518
Position 472: 0.00014096820716495232
Position 97: 0.00012221952278315522
Position 465: 0.00011780159330546824
Position 780: 0.00010838300268886098
Position 36: 0.00010814735275536701
Position 129: 8.128181375013647e-05
Position 50: 4.709007051720616e-05
Position 832: 2.0800987899260688e-05
Position 15: 1.7528109235324723e-05
Position 599: 1.727969095307986e-05
Position 843: 1.3704580094846607e-05
Position 259: 1.315032473639293e-05
Position 606: 9.67292774669328e-06
Position 333: 7.899607126490932e-06
Position 339: 7.231568784397535e-06
Position 407: 6.816827424953401e-06
Position 551: 4.284170628804984e-06
Position 666: 4.15107320806616e-06
Position 396: 3.6008049985351122e-06
Position 205: 3.553466043421371e-06
Position 417: 2.9355843362028617e-06
Position 930: 1.4711629420152454e-06
Position 887: 1.332211029234639e-06
Position 186: 5.279059840942632e-07
Position 951: 4.661143642475057e-07
Position 817: 2.5707827785579616e-07
Position 387: 2.2403446332786106e-07
Position 854: 6.527185998005026e-08
Position 161: 1.8269661148970486e-08
Position 508: 7.30458968308104e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 515: 0.9743654579959968
Position 342: 0.29370552666260785
Position 362: 0.17211368550257197
Position 664: 0.01601464275317672
Position 333: 0.015136100579380874
Position 595: 0.00895728267279819
Position 161: 0.005073088139536572
Position 800: 0.002246586130952657
Position 396: 0.0018486481875527685
Position 133: 0.0016679198067591852
Position 393: 0.001414095817280752
Position 423: 0.0009268184572253407
Position 65: 0.0005118317475144315
Position 97: 0.0003559685539682031
Position 835: 0.0002094955186519601
Position 186: 0.0001942507143242115
Position 417: 0.00018231783203476485
Position 747: 0.00017611261337242782
Position 544: 0.0001559407643985844
Position 666: 0.00015517238269431864
Position 387: 0.00012717600486540154
Position 141: 0.00010523833518425608
Position 756: 9.376894355271109e-05
Position 899: 6.492586984422255e-05
Position 996: 5.332791302765309e-05
Position 624: 4.1637688462529995e-05
Position 805: 3.209920446987928e-05
Position 973: 2.9096272181531562e-05
Position 879: 2.0739572341086856e-05
Position 108: 1.941543928803318e-05
Position 449: 1.923680912193892e-05
Position 484: 1.3973626237109647e-05
Position 168: 1.3799406006805502e-05
Position 567: 1.2205400155709736e-05
Position 488: 8.983048863543667e-06
Position 823: 7.911155814439067e-06
Position 633: 7.43556675153142e-06
Position 876: 7.074929123718722e-06
Position 861: 6.4418276301347294e-06
Position 465: 5.795676094790548e-06
Position 76: 5.146766406649413e-06
Position 650: 5.116701935016371e-06
Position 407: 4.741770805964865e-06
Position 866: 4.066187773107644e-06
Position 642: 3.932305668406226e-06
Position 272: 3.860821163652818e-06
Position 221: 3.5393099554323497e-06
Position 606: 1.7174617139262466e-06
Position 239: 1.6920673460192027e-06
Position 887: 1.5635310595739032e-06
Position 551: 8.948316868491303e-07
Position 472: 8.131000770700498e-07
Position 765: 7.492545053410994e-07
Position 687: 6.376244570246143e-07
Position 236: 5.525895905666728e-07
Position 843: 4.5221952739997625e-07
Position 699: 3.017088595339567e-07
Position 732: 2.9303748619849256e-07
Position 404: 1.3001948752469804e-07
Position 285: 4.3522874681743836e-08
Position 78: 4.2002912383790656e-08
Position 456: 2.1266360653473745e-08
Position 291: 1.6845858379093895e-08
Position 528: 2.651544046226919e-10
Position 73: 5.223246931929138e-12
Position 295: 8.049148039472805e-16
