Gene = NUCB1
index = 1307
Annotated 5SS: [388]
Annotated 3SS: [2726]
SMsplice 5SS: [388]
SMsplice 3SS: [2726]
top_k =  1000
Partition function (log Z): -4.656376203749199

Sorted 5' Splice Sites (High to Low Probability):
Position 388: 0.9889811058482998
Position 2601: 0.21381789247947497
Position 1418: 0.02697214164432227
Position 2415: 0.00926194222005079
Position 350: 0.007946442534540821
Position 2001: 0.007754692972605498
Position 592: 0.007664349528908508
Position 1585: 0.006951667903245106
Position 2646: 0.0062721619581525756
Position 1308: 0.005832439554454055
Position 1960: 0.0051865722855687635
Position 1855: 0.004304055303485322
Position 1189: 0.004023822760995788
Position 613: 0.0040218067073028935
Position 1883: 0.0038682580647221737
Position 644: 0.0037339196970748068
Position 1332: 0.0032963263417358775
Position 2877: 0.002883190469231173
Position 392: 0.0028284969155672854
Position 2212: 0.002779665532382956
Position 2498: 0.00269550906560292
Position 2511: 0.0021959900183602995
Position 11: 0.002147707895480878
Position 686: 0.0020810495673456633
Position 606: 0.002003771071411055
Position 1255: 0.0018048825668193574
Position 2515: 0.001472036876397633
Position 1392: 0.0013888387691121157
Position 3792: 0.001374074990907547
Position 641: 0.001265020782197841
Position 756: 0.0011205954736890301
Position 4253: 0.0010588670283154572
Position 3352: 0.001012509244927064
Position 650: 0.0008636762371336012
Position 2389: 0.0006920491978912695
Position 1515: 0.0006877288268214238
Position 36: 0.0006329066487823539
Position 4337: 0.0006232415791506487
Position 631: 0.0005747235757373454
Position 1880: 0.000437416313693419
Position 2085: 0.0004183609250487996
Position 148: 0.0004077463539394118
Position 16: 0.00039982160793163897
Position 4137: 0.0003869521532682974
Position 1663: 0.00035945636864681503
Position 534: 0.0003577421783382007
Position 2015: 0.00032215165253696425
Position 1604: 0.0002751021425754577
Position 2571: 0.0002524902843509645
Position 3002: 0.0002496612375398746
Position 1055: 0.00023687927870641123
Position 109: 0.00022314770573379013
Position 531: 0.0002186301869934612
Position 3749: 0.0001864439297925794
Position 3294: 0.00018130856350060328
Position 1167: 0.00018111240180503302
Position 3423: 0.00016781559911389636
Position 1790: 0.00015592462104093306
Position 1690: 0.0001483068580621869
Position 2017: 0.0001318993527825226
Position 1401: 0.00012459410823748696
Position 2216: 0.00011773291272730386
Position 639: 0.00011701189742250546
Position 1888: 0.00011468280337862197
Position 1249: 0.00011024434298237224
Position 2393: 9.866028321376817e-05
