Gene = Rbfox1
index = 1410
Annotated 5SS: [   534  25152  87194  89835  92743  93077  94000  95064  95913  98918
 104128 106276 106485 107320 108105 108979]
Annotated 3SS: [ 24657  86716  89636  92037  93022  93906  95008  95870  98896 103403
 106214 106430 107247 107943 108914 109108]
SMsplice 5SS: [   534  25152  87194  92743  93077  94000 108105 108979]
SMsplice 3SS: [ 24657  86716  92037  93022  93935 107943 108604 109108]
top_k =  1000
Partition function (log Z): -107.60637673706984

Sorted 5' Splice Sites (High to Low Probability):
Position 534: 0.9896049609571297
Position 25152: 0.8158175087902414
Position 1042: 0.07006006267100137
Position 1158: 0.06396198434810034
Position 1226: 0.062323533595939826
Position 1393: 0.042106494490465454
Position 309: 0.0019310485506731775
Position 78: 0.0011713013844413384
Position 348: 0.0007708777883298576
Position 477: 0.0004792831579727158
Position 23: 0.0003760652447991601
Position 73: 0.00033282466476739837
Position 221: 0.00031917286709664893
Position 758: 0.00029705658855488335
Position 313: 0.0002334744609710777
Position 730: 0.00021501715028650125
Position 866: 0.00011681111599956257
Position 449: 0.00011626317362244431
Position 1204: 0.00010904213751293567
Position 234: 6.529747751934685e-05
Position 571: 5.064310937108314e-05
Position 333: 4.965769563408379e-05
Position 148: 3.6597835378265615e-05
Position 801: 3.241338235987433e-05
Position 525: 3.0753483395980676e-05
Position 215: 3.0259932399184472e-05
Position 462: 2.5535365459090974e-05
Position 180: 2.5510010188528e-05
Position 794: 1.9460869996404094e-05
Position 1056: 1.550108342936276e-05
Position 1210: 1.4795425188940498e-05
Position 1190: 9.909266320429434e-06
Position 352: 7.959887219163459e-06
Position 335: 7.215574333538387e-06
Position 91: 7.211767212212683e-06
Position 223: 5.980905324102064e-06
Position 453: 5.765247122463566e-06
Position 133: 5.531814005353525e-06
Position 307: 5.429530500714922e-06
Position 106: 4.3786976467124795e-06
Position 89: 3.990670952134934e-06
Position 236: 2.6103506721007082e-06
Position 247: 2.553501907842481e-06
Position 1005: 2.279245431467181e-06
Position 592: 1.994144685770766e-06
Position 773: 1.8802285664123724e-06
Position 225: 1.702613458966004e-06
Position 205: 1.1475909144352482e-06
Position 15: 9.366945692671e-07
Position 756: 3.5516593697252495e-07
Position 207: 3.234002384292975e-07
Position 245: 2.532255095722311e-07
Position 457: 2.2034585282394375e-07
Position 623: 2.1840505301119056e-07
Position 825: 1.9553660746959109e-07
Position 1011: 1.547641711028204e-07
Position 238: 1.5264273889479311e-07
Position 343: 7.978612444093794e-08
Position 254: 5.8542542528658815e-08
Position 257: 5.246162312164604e-08
Position 382: 4.514112699851543e-08
Position 464: 2.018440351481204e-08
Position 451: 1.80598924594482e-08
Position 340: 1.6571899771542643e-08
Position 413: 1.480694873961746e-08
Position 345: 1.4144399224937278e-08
Position 466: 1.2279301078845688e-08
Position 703: 1.6907613183036425e-14
Position 11903: 2.2838912444075945e-15
Position 8250: 2.3133751095883285e-16
Position 7407: 1.6446960402428044e-16
Position 398: 1.6377118814236843e-16
Position 8649: 1.557264011280408e-16
Position 1680: 3.48466102450004e-17
Position 1726: 2.0337008451397782e-17
Position 1413: 1.536253696521328e-17
Position 1616: 1.4080410019129e-17
Position 5092: 8.583542069456046e-18
Position 6122: 7.382891657101384e-18
Position 6118: 3.846207637519426e-18
Position 5255: 1.8453031840266454e-18
Position 4727: 1.8333828578042585e-18
Position 5088: 5.247852334412077e-19
Position 2387: 1.2583845049954076e-19
Position 4672: 8.220185932095098e-20
Position 2758: 5.3367051616754576e-20
Position 1975: 3.035546915104777e-20
Position 4747: 2.941500111185416e-20
Position 4237: 2.1767011916542744e-20
Position 1424: 1.4846798758275135e-20
Position 2713: 1.1537940390547608e-20
Position 2186: 1.0248241400328091e-20
Position 2002: 7.557367926102202e-21
Position 1433: 6.6284553980773894e-21
Position 1351: 5.585435650388067e-21
Position 1269: 5.451293027497855e-21
Position 1375: 4.126247412100684e-21
Position 1979: 1.324294339503875e-22
Position 2336: 4.632356117015791e-23
Position 1549: 2.4062703540770558e-23

Sorted 3' Splice Sites (High to Low Probability):
Position 38199: 0.9806057655530147
Position 24657: 0.8158176445423799
Position 847: 0.11278214538259095
Position 583: 0.07961975552990691
Position 608: 0.023611550097232193
Position 34472: 0.018841979790296216
Position 1101: 0.009384063267210465
Position 1035: 0.0035707599179079464
Position 895: 0.0022392443014605016
Position 592: 0.0014102064305713344
Position 1269: 0.0008057584404397788
Position 33699: 0.0005508450312184956
Position 901: 0.0005100887292327786
Position 1257: 0.00046487427494713146
Position 1340: 0.00021708683434744526
Position 1040: 0.00020586581799503004
Position 1328: 0.00018098384802169276
Position 28546: 9.23681919030811e-07
Position 25716: 1.904385238316274e-07
Position 25218: 1.201468430638195e-07
Position 25201: 2.2699445679984726e-08
Position 25327: 1.6498174348836228e-08
Position 21962: 3.497667618442365e-10
Position 133: 1.743385191269558e-10
Position 19820: 5.225421894027324e-11
Position 406: 4.779217402164961e-11
Position 98: 4.736408507702824e-11
Position 148: 3.3891409621013035e-11
Position 809: 6.2903953464852115e-12
Position 623: 5.609866503671746e-12
Position 279: 5.007250554489329e-12
Position 18376: 4.069358441477781e-12
Position 735: 3.6422701423211096e-12
Position 853: 2.8318335088384786e-12
Position 477: 2.614995612597878e-12
Position 942: 2.4642420557229403e-12
Position 413: 1.743933136485063e-12
Position 317: 1.513052544528213e-12
Position 391: 1.5042481204787652e-12
Position 435: 1.4732901256253196e-12
Position 17360: 1.2251096570343563e-12
Position 199: 8.829492569681979e-13
Position 276: 7.922507141904535e-13
Position 16293: 7.582368239815448e-13
Position 489: 5.29625846010497e-13
Position 422: 3.4037703377409424e-13
Position 869: 3.243303660136595e-13
Position 560: 2.074475115442641e-13
Position 15884: 1.929181824489313e-13
Position 519: 9.203198747466782e-14
Position 205: 8.466205294168415e-14
Position 15117: 7.32033788647914e-14
Position 73: 2.6819388695626965e-14
Position 13513: 2.036427663559122e-14
Position 14193: 1.83852990276858e-14
Position 13929: 1.2131335605790866e-14
Position 12471: 1.2026591399342275e-14
Position 13664: 8.473450932091918e-15
Position 13211: 5.001150420917899e-15
Position 11633: 4.240609406714771e-15
Position 12520: 2.9023829053241862e-15
Position 11676: 2.4621116191173323e-15
Position 8329: 1.4384293823311718e-15
Position 333: 1.386796007719298e-15
Position 11847: 1.1055413754457931e-15
Position 11563: 9.45470890364074e-16
Position 521: 7.025147073765371e-16
Position 326: 6.196516207413344e-16
Position 8173: 5.203257587931098e-16
Position 11080: 4.322181241287868e-16
Position 9214: 2.307839491100222e-16
Position 5823: 1.9036692341401114e-16
Position 8714: 1.802013603440784e-16
Position 7225: 1.4702321877829852e-16
Position 9234: 1.1840163726594543e-16
Position 9788: 9.370974596334838e-17
Position 9127: 7.582692786429602e-17
Position 9473: 4.878474633692014e-17
Position 9051: 3.935341434439001e-17
Position 8842: 3.019913697188248e-17
Position 8067: 2.464301623923597e-17
Position 4602: 2.1795085450287433e-17
Position 8138: 2.1667843031206234e-17
Position 8037: 2.0784714138358206e-17
Position 8562: 1.9675781811419033e-17
Position 7229: 1.3622820661441983e-17
Position 7155: 1.3034808891382241e-17
Position 6187: 1.1229099294620868e-17
Position 8089: 1.1207292332430333e-17
Position 5072: 6.986273864445468e-18
Position 6784: 5.423238947842665e-18
Position 5013: 4.98199969503584e-18
Position 1533: 4.897213392220907e-18
Position 4940: 4.8298547545203596e-18
Position 6744: 4.566714144501398e-18
Position 5707: 3.521387730992447e-18
Position 5244: 3.487791729294195e-18
Position 4793: 3.4811254987132e-18
Position 6371: 2.753506660920617e-18
Position 5375: 2.632220487251107e-18
Position 2487: 2.4790305162698608e-18
Position 5733: 2.284730008288712e-18
Position 3443: 1.99023692435888e-18
Position 4013: 1.8431794393204905e-18
Position 1527: 1.8021569627113768e-18
Position 5965: 1.6992743496877734e-18
Position 2656: 1.4416302281595251e-18
Position 3212: 1.41811246767688e-18
Position 1563: 1.291742474629229e-18
Position 4877: 1.1521107220030364e-18
Position 6078: 9.248946766022034e-19
Position 6103: 8.658447034324004e-19
Position 5147: 8.611242588628131e-19
Position 3289: 7.288553705976734e-19
Position 4899: 5.399674990238867e-19
Position 5000: 5.382433858284385e-19
Position 5619: 4.411713172022984e-19
Position 2499: 3.3590756617543416e-19
Position 4029: 3.2797449893766237e-19
Position 2441: 3.2693783053729463e-19
Position 3269: 3.0686376376070947e-19
Position 1488: 2.191758941475294e-19
Position 4472: 1.924186897158848e-19
Position 1852: 1.7733490439622557e-19
Position 3544: 1.6531226652369515e-19
Position 4310: 1.6228750315434284e-19
Position 2811: 1.6212988977078147e-19
Position 4410: 1.1025621931017495e-19
Position 1787: 1.0717336211456786e-19
Position 3494: 6.529700037386787e-20
Position 1811: 5.253141619501754e-20
Position 3576: 3.6633659413009305e-20
Position 2536: 3.4007084014016136e-20
Position 2783: 3.216544214184579e-20
Position 3372: 2.7356841608994626e-20
Position 2695: 2.67992888405217e-20
Position 2113: 2.5852306033180487e-20
Position 3248: 2.3076957616108112e-20
Position 2372: 1.5248265183637092e-20
Position 2081: 1.1037618307686245e-20
Position 1536: 9.850838568390762e-21
Position 2283: 9.273482802457828e-21
Position 2178: 8.007577732973323e-21
Position 1615: 6.898342762817122e-21
Position 2046: 5.389319274956581e-21
Position 1042: 1.8156407397560505e-21
Position 1171: 2.2486686700571917e-22
Position 1204: 2.8194330259847843e-23
Position 1210: 1.5618223298666906e-23
