Gene = Zmynd10
index = 1606
Annotated 5SS: [ 749  998 1500]
Annotated 3SS: [ 807 1059 1556]
SMsplice 5SS: [ 749  998 1500]
SMsplice 3SS: [ 807 1059 1556]
top_k =  1000
Partition function (log Z): -1.7794725394293092

Sorted 5' Splice Sites (High to Low Probability):
Position 998: 0.9891831240487905
Position 749: 0.9342503273551129
Position 1500: 0.7265535717835959
Position 243: 0.043222002302212056
Position 1483: 0.03568576532903666
Position 766: 0.015539814435911634
Position 448: 0.007377609998407245
Position 303: 0.006487496213693592
Position 1504: 0.005379901979612548
Position 141: 0.005247178372939141
Position 408: 0.004062362645111007
Position 81: 0.003459472062482879
Position 308: 0.0018787781428720382
Position 735: 0.0013959106861162844
Position 150: 0.001118671464449703
Position 384: 0.0009964701947021432
Position 920: 0.0007846792427053218
Position 464: 0.000632380226744018
Position 510: 0.000570928846306385
Position 522: 0.0005341150937207916
Position 702: 0.0003406458914403407
Position 174: 0.0003077386516545221
Position 1464: 0.00029864205298694264
Position 31: 0.0002886425705538078
Position 663: 0.00023361095112402717
Position 1267: 0.00017693245314184144
Position 423: 0.00016501611668457233
Position 279: 0.00013580754849915034
Position 311: 8.910482891520925e-05
Position 65: 7.547362148479557e-05
Position 251: 5.272781631231645e-05
Position 4: 5.048911375348256e-05
Position 988: 4.2339964987758804e-05
Position 1219: 3.8829640601523606e-05
Position 324: 3.566604013159793e-05
Position 442: 2.664699005905712e-05
Position 145: 2.5423130961687028e-05
Position 107: 2.4041966554461033e-05
Position 1002: 2.3898300834501814e-05
Position 694: 1.69610481712927e-05
Position 368: 1.6951232409579487e-05
Position 1466: 1.636032381233806e-05
Position 890: 1.4281183919992616e-05
Position 1120: 1.4207810562119157e-05
Position 33: 1.2874828528475327e-05
Position 425: 1.2208216975458895e-05
Position 1594: 1.11093341133296e-05
Position 561: 9.5149999547358e-06
Position 671: 9.490143225100415e-06
Position 1614: 9.405697726627631e-06
Position 1406: 8.554694408339634e-06
Position 924: 7.144297708369309e-06
Position 322: 5.500168165716646e-06
Position 532: 4.065301021584581e-06
Position 468: 3.740509659750205e-06
Position 719: 3.4268806943531223e-06
Position 918: 2.7945137556101603e-06
Position 913: 2.581575136794171e-06
Position 573: 2.431008338697183e-06
Position 164: 2.2282121184684213e-06
Position 639: 1.9631849291862024e-06
Position 1067: 1.5259152048637919e-06
Position 1346: 1.1463222314497235e-06
Position 878: 1.091727602553786e-06
Position 1562: 5.825700970256775e-07
Position 1556: 5.741080318060697e-07
Position 221: 5.54642251095322e-07
Position 90: 4.710292431903346e-07
Position 869: 4.2808605651222735e-07
Position 1525: 2.3641501197944342e-07
Position 117: 5.643722881441058e-08
Position 770: 4.04745630844646e-08
Position 859: 2.9544592001889605e-08
Position 1083: 1.113718205778205e-09
Position 130: 3.073769381855241e-11
Position 1122: 8.321759722399721e-13
Position 844: 2.16035958291655e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 807: 0.9650248184902439
Position 1059: 0.9545591425559287
Position 1556: 0.7720687379562007
Position 362: 0.032569530571039645
Position 817: 0.013959651540203646
Position 1111: 0.011523114741014372
Position 1046: 0.008810444903775253
Position 509: 0.005478106406740453
Position 497: 0.004071910454894163
Position 823: 0.0021699277948851767
Position 1319: 0.001792519191115355
Position 1095: 0.001566400011330755
Position 149: 0.0014480378321724352
Position 1277: 0.0013097058978851612
Position 1359: 0.0010841733533486213
Position 1658: 0.0010342940432149486
Position 1194: 0.0008282174866012575
Position 526: 0.0007197560300333657
Position 1130: 0.0006512619663595017
Position 206: 0.0005912587695023333
Position 1356: 0.0005748844637958626
Position 1446: 0.0004990052860621542
Position 682: 0.0004660201443356408
Position 1145: 0.00046141945683544314
Position 946: 0.00040137758437107764
Position 1566: 0.0003998559076067489
Position 1245: 0.00031493847786849034
Position 841: 0.00028800745602679766
Position 1080: 0.00027720357370727316
Position 1119: 0.0002162872517207938
Position 461: 0.00016043037415891298
Position 294: 0.00015485522754159672
Position 844: 0.00014980068535269878
Position 1377: 0.00014617246797262183
Position 639: 0.000119648677283612
Position 657: 8.334458065480192e-05
Position 317: 6.321960518661552e-05
Position 548: 6.0996325873276656e-05
Position 1281: 5.979275892373079e-05
Position 859: 5.7163425512611e-05
Position 1287: 5.6982894262531245e-05
Position 140: 5.318179072379426e-05
Position 1254: 5.110832643826192e-05
Position 411: 4.750854157066864e-05
Position 617: 4.57373590963491e-05
Position 732: 4.026024745291166e-05
Position 101: 3.734405896992373e-05
Position 227: 3.687489632674738e-05
Position 1200: 3.655247927595126e-05
Position 1324: 3.531505308614182e-05
Position 344: 3.4721269698983044e-05
Position 1167: 3.277253107458187e-05
Position 1622: 2.9498708664787393e-05
Position 928: 2.4016256313762215e-05
Position 973: 2.2985957927896925e-05
Position 654: 2.0331673912706332e-05
Position 542: 2.015288751927438e-05
Position 157: 1.5805597151832497e-05
Position 1260: 1.40966781214231e-05
Position 828: 1.1792902570690714e-05
Position 554: 1.1003685853001924e-05
Position 203: 1.0790071263576335e-05
Position 272: 9.324158950555255e-06
Position 464: 7.619855855660158e-06
Position 1392: 6.106979002514062e-06
Position 1572: 5.574923145100174e-06
Position 1161: 5.416913576907903e-06
Position 398: 4.860511197838825e-06
Position 886: 4.671886024558922e-06
Position 1629: 4.380168624819796e-06
Position 1182: 3.91534142754893e-06
Position 65: 3.7226941030887443e-06
Position 1113: 3.6421230571798775e-06
Position 1387: 3.0924051420711466e-06
Position 573: 3.00396349412902e-06
Position 832: 2.1669730371838346e-06
Position 895: 2.006757193545851e-06
Position 1584: 1.8287497499708496e-06
Position 985: 1.3223526823050008e-06
