Gene = ND-SGDH
index = 1305
Annotated 5SS: [268 569 747]
Annotated 3SS: [338 639 805]
SMsplice 5SS: [268 569 747]
SMsplice 3SS: [338 639 805]
top_k =  1000
Partition function (log Z): 4.831232225147067

Sorted 5' Splice Sites (High to Low Probability):
Position 569: 0.9919720256338523
Position 747: 0.9867983707723352
Position 268: 0.9867296181978013
Position 559: 0.0017752250032999058
Position 952: 0.0012227541202866484
Position 415: 0.0010301600224690783
Position 449: 0.0010129275437084494
Position 1002: 0.0008602832260535045
Position 294: 0.0006604380798950775
Position 101: 0.0005824766326384075
Position 610: 0.0003183700430305517
Position 109: 0.00018740400341709987
Position 974: 0.0001715210916917723
Position 424: 0.00013474462374067934
Position 90: 0.00010447670623060071
Position 1004: 8.191092927427809e-05
Position 186: 7.794783055603639e-05
Position 990: 7.022532348424772e-05
Position 156: 6.165086313734654e-05
Position 257: 4.2930620018240726e-05
Position 887: 2.2606873324311204e-05
Position 190: 1.2820706503781055e-05
Position 103: 1.081350681108312e-05
Position 221: 1.0573172274499127e-05
Position 20: 1.0313255527622768e-05
Position 782: 8.533233120429098e-06
Position 116: 5.06711877864102e-06
Position 822: 4.292563492200442e-06
Position 461: 1.4623467814169201e-06
Position 503: 7.432514151633124e-07
Position 199: 3.886935188488676e-07
Position 879: 3.703330654275447e-07
Position 482: 1.814206676296252e-07
Position 436: 1.7662622985656328e-07
Position 143: 1.5600395159002045e-07
Position 769: 6.312557575451814e-08
Position 240: 4.9226759578505114e-08
Position 62: 3.12489651741745e-08
Position 985: 3.058084138888539e-08
Position 470: 2.9719130010425892e-08
Position 836: 2.0914706891452736e-08
Position 826: 1.0873887967229934e-08
Position 206: 2.497330744113706e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 805: 0.9980080895110391
Position 639: 0.9766959186054437
Position 338: 0.8765438127243778
Position 352: 0.09748997580983339
Position 415: 0.010615725791444652
Position 687: 0.0063521391704922285
Position 470: 0.002626590657513153
Position 517: 0.0014046587293998385
Position 1061: 0.0012435002208630492
Position 179: 0.0007661518026019292
Position 1081: 0.0006760713452678226
Position 360: 0.0006692106949074646
Position 1064: 0.00040025362343528185
Position 400: 0.00017453971701344913
Position 1002: 0.000107973897262558
Position 143: 8.432214744717327e-05
Position 857: 4.816693614052552e-05
Position 620: 3.711287078839826e-05
Position 82: 1.0233344322546156e-05
Position 815: 9.905557062113568e-06
Position 978: 8.120073457612728e-06
Position 723: 4.983309647722847e-06
Position 424: 1.3998504036221596e-06
Position 221: 1.1475206884741846e-06
Position 895: 8.337448446856156e-07
Position 196: 4.2983448757813265e-07
Position 249: 4.1609624856513215e-07
Position 606: 3.61870011816753e-07
Position 887: 2.966918968077727e-07
Position 160: 2.6607093502840377e-07
Position 769: 2.656913743942333e-07
Position 741: 2.5917718405336887e-07
Position 368: 2.0280499828061862e-07
Position 430: 1.9867537536818352e-07
Position 229: 1.797475699808612e-07
Position 726: 1.1628394374912682e-07
Position 822: 7.019764125648205e-08
Position 736: 5.838688231397539e-08
Position 535: 4.7142990410885966e-08
Position 944: 3.8445707449991794e-08
Position 833: 3.7006621515533034e-08
Position 842: 2.9459537760366543e-08
Position 550: 2.1402221204717646e-08
Position 101: 1.3316242097386526e-08
Position 587: 1.0977666808632709e-08
Position 559: 9.834708279589713e-09
Position 565: 8.810404048706099e-09
Position 526: 7.453647384305543e-09
Position 699: 5.889808171649143e-09
Position 568: 4.225155165800283e-09
Position 906: 1.9508479621378398e-09
Position 544: 6.046049973680695e-10
Position 908: 3.916130870300063e-10
Position 251: 2.159580498296732e-10
Position 272: 1.4346192676707322e-18
