Gene = Ncoa6
index = 1312
Annotated 5SS: [ 732 1958 3337 8173 8751]
Annotated 3SS: [1773 2019 3453 8246 8808]
SMsplice 5SS: [ 732 1958 3337 4108 8173 8751]
SMsplice 3SS: [1773 2019 3453 7965 8246 8808]
top_k =  1000
Partition function (log Z): 2.0807111260113684

Sorted 5' Splice Sites (High to Low Probability):
Position 8751: 0.9961476173260034
Position 1958: 0.9952721982207087
Position 3337: 0.9774625644680407
Position 8173: 0.9672892682476978
Position 732: 0.8524971773202945
Position 4108: 0.542388843729267
Position 4096: 0.2657202694460915
Position 396: 0.1005340002653778
Position 420: 0.08903562244837152
Position 1532: 0.054630275046136025
Position 2881: 0.01350616514196333
Position 127: 0.013426900018414923
Position 1720: 0.00823329128262922
Position 2319: 0.005853789257226932
Position 9500: 0.005499961333124637
Position 2640: 0.005144437140001968
Position 9470: 0.004776213134102661
Position 386: 0.0047370761034276395
Position 2472: 0.004610958981954161
Position 10203: 0.003813962385750092
Position 2667: 0.003812309835462396
Position 10950: 0.0035180075620274884
Position 7324: 0.003512306357237858
Position 4113: 0.003032547149990222
Position 12: 0.0030078451916541364
Position 4089: 0.002975009317970739
Position 2280: 0.0027838643345657675
Position 392: 0.002531835555133998
Position 436: 0.002376553051304246
Position 1512: 0.002238234866332479
Position 390: 0.00223721006512432
Position 1887: 0.001832825848713315
Position 1451: 0.001780184682377666
Position 9534: 0.0015949483918460813
Position 1927: 0.0015745486174301006
Position 3969: 0.0015688423300466892
Position 400: 0.0015433599554404785
Position 2104: 0.0014330811557750345
Position 9046: 0.0014084889107022123
Position 528: 0.00129273779483502
Position 402: 0.00119760999067416
Position 3398: 0.0011729386413239938
Position 1319: 0.0010966640804497445
Position 10300: 0.0010933614679749985
Position 9156: 0.0010868420884473544
Position 3343: 0.0010447248089417414
Position 8465: 0.0009390076310622751
Position 388: 0.0009301571566374387
Position 4069: 0.0009297036388703888
Position 2419: 0.0008477833505589416
Position 802: 0.0008382881889285634
Position 9580: 0.0008248464898422891
Position 1340: 0.0008077678557067242
Position 10050: 0.0007937020011787207
Position 8460: 0.0007678558949903585
Position 1962: 0.000710932486865825
Position 2340: 0.0006711334462869174
Position 404: 0.0006567150449392542
Position 949: 0.0005940705705294475
Position 424: 0.0005703745388787786
Position 2614: 0.0005673357279952528
Position 924: 0.000563429269046121
Position 426: 0.0005417074821322628
Position 1193: 0.0005237680877668248
Position 3139: 0.0005233440322868142
Position 10872: 0.0005007539786406257
Position 1557: 0.0004938898013851392
Position 9538: 0.00047281794379881904
Position 9701: 0.0004162990077676133
Position 936: 0.0004159981874683923
Position 428: 0.0004034222241800561
Position 2409: 0.00037978398043375124
Position 9862: 0.00037349872464140287
Position 8462: 0.0003694340372196021
Position 891: 0.00035623088849016395
Position 10216: 0.00035506858156830604
Position 9478: 0.0003326206770425216
Position 266: 0.00032567936830585207
Position 161: 0.0003131328194353147
Position 91: 0.00028880627148152515
Position 2484: 0.00028828598269543896
Position 8684: 0.0002876360991511176
Position 2286: 0.0002840208466374581
