Gene = Hmgcl
index = 1213
Annotated 5SS: [111]
Annotated 3SS: [169]
SMsplice 5SS: [111]
SMsplice 3SS: [169]
top_k =  1000
Partition function (log Z): -6.597404484310252

Sorted 5' Splice Sites (High to Low Probability):
Position 111: 0.9982647279087574
Position 41: 0.0025540697602635613
Position 332: 0.001568672553558932
Position 1088: 0.0012506297650331055
Position 1055: 0.001065280184534834
Position 46: 0.000610291579474782
Position 518: 0.0004662998692744681
Position 1093: 0.0004487888623130665
Position 402: 0.0003906073927140372
Position 1015: 0.00034229700761746984
Position 200: 0.00025505909685507195
Position 473: 0.0002091865112866197
Position 764: 0.00018136430855094694
Position 215: 0.00017666488326380998
Position 819: 0.00013127826835584847
Position 395: 0.00011763081341848927
Position 1007: 7.45811032882344e-05
Position 231: 5.151220203259165e-05
Position 73: 5.059626553556631e-05
Position 665: 4.374198190684463e-05
Position 628: 3.881114280280339e-05
Position 502: 3.3971805947200014e-05
Position 347: 3.379279619487452e-05
Position 374: 2.314629787964254e-05
Position 585: 1.6163615371450744e-05
Position 947: 1.5982123604171017e-05
Position 679: 1.5183627967946352e-05
Position 668: 1.4976394628632107e-05
Position 773: 1.4517227059130428e-05
Position 636: 1.08700373764791e-05
Position 292: 9.460230378305697e-06
Position 479: 7.81295048715969e-06
Position 614: 6.644729175706721e-06
Position 723: 6.294819388089287e-06
Position 1149: 4.648864188168938e-06
Position 1194: 4.519442891136284e-06
Position 617: 4.1255898016067506e-06
Position 1048: 3.594134336595113e-06
Position 1199: 3.369715742950537e-06
Position 866: 2.946745999218936e-06
Position 944: 2.395648209908422e-06
Position 983: 1.9952138404543415e-06
Position 1171: 1.8884141332985252e-06
Position 919: 1.8310215887821205e-06
Position 1066: 1.3065031498103556e-06
Position 869: 1.2174736864313922e-06
Position 10: 1.00333421622956e-06
Position 881: 7.909447103817189e-07
Position 651: 4.949821296697439e-07
Position 587: 3.7664314411893167e-07
Position 1184: 3.73189609859568e-07
Position 725: 3.659061193563654e-07
Position 447: 2.801639042033026e-07
Position 659: 2.7703284056623636e-07
Position 209: 1.2729818064846177e-07
Position 605: 1.0057004765428555e-07
Position 179: 5.401303930544587e-10
Position 416: 2.5132916163964027e-11
Position 641: 2.3625972722172278e-11
Position 593: 1.2899852151504916e-12
Position 656: 1.1144326413537537e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 169: 0.9970502766174519
Position 1184: 0.0036255477763864983
Position 105: 0.002946818651849215
Position 572: 0.001099899770724948
Position 1247: 0.0009072646585627214
Position 302: 0.0007264747575406501
Position 199: 0.0005996663264171648
Position 395: 0.0004313153814403786
Position 436: 0.0003197486517231936
Position 533: 0.0001387840137966356
Position 737: 0.00010713182433528108
Position 823: 9.522109548869375e-05
Position 263: 7.053052452965013e-05
Position 383: 4.544207578491997e-05
Position 569: 4.381394247803706e-05
Position 186: 3.5820109734088074e-05
Position 514: 3.162887379291962e-05
Position 355: 2.449800531958264e-05
Position 457: 2.4052258603708857e-05
Position 416: 2.3776498511258844e-05
Position 1149: 2.3024399808454205e-05
Position 700: 2.1173156861126883e-05
Position 317: 1.9866583532981923e-05
Position 1143: 1.805802566647611e-05
Position 1038: 1.5072180972903364e-05
Position 1132: 1.3853533225958845e-05
Position 992: 1.1070976435322653e-05
Position 327: 8.432656683216116e-06
Position 788: 8.425402479418667e-06
Position 1189: 7.49094332281679e-06
Position 1007: 5.865354218071267e-06
Position 408: 5.503291944746998e-06
Position 445: 4.437091932423089e-06
Position 913: 3.7127218100586623e-06
Position 923: 3.675464029267285e-06
Position 110: 3.3013326123881768e-06
Position 320: 3.041112281300315e-06
Position 1046: 2.779068119251759e-06
Position 772: 2.6587761371040987e-06
Position 1081: 2.410476050174977e-06
Position 665: 2.246106637379853e-06
Position 214: 1.593357315431038e-06
Position 580: 1.1156583073142679e-06
Position 1273: 9.315443888708071e-07
Position 374: 6.192657013297e-07
Position 63: 6.110739267569368e-07
Position 932: 2.559161204973731e-07
Position 271: 1.172489790821867e-10
Position 73: 8.680822511686361e-11
Position 244: 5.002525454556509e-11
Position 277: 6.726404902631858e-13
Position 447: 3.1513325257924295e-13
Position 336: 3.195914870231621e-17
