Gene = Lrr47
index = 1252
Annotated 5SS: [664]
Annotated 3SS: [724]
SMsplice 5SS: [664]
SMsplice 3SS: [724]
top_k =  1000
Partition function (log Z): -8.21007867910973

Sorted 5' Splice Sites (High to Low Probability):
Position 647: 0.5001050407997856
Position 664: 0.4577900286335484
Position 277: 0.09153739568538685
Position 309: 0.05251393231959252
Position 499: 0.021096930097421
Position 508: 0.00699404302408389
Position 1657: 0.00477877913162051
Position 1387: 0.004373470127566496
Position 1174: 0.0022433251119601963
Position 1105: 0.0018773531333990787
Position 338: 0.0017980750142014609
Position 640: 0.0017980441086625518
Position 235: 0.0015271375865664324
Position 828: 0.0013393248845116445
Position 890: 0.0012230639846474729
Position 8: 0.0006973523589680511
Position 1713: 0.00032276478461243195
Position 1743: 0.00030769592982914703
Position 1166: 0.00024941485325946145
Position 978: 0.00023635792259003508
Position 1661: 0.0002248050406142527
Position 35: 0.00020845792319077174
Position 908: 0.0001880645829096285
Position 372: 0.00015449807022405488
Position 1344: 0.00015370758168201782
Position 786: 0.0001468491753109532
Position 1411: 0.00014027727386765104
Position 54: 0.0001326762738822245
Position 313: 0.00012474694470038605
Position 528: 0.00011831457857150882
Position 589: 9.570478630314157e-05
Position 1547: 9.393211323456184e-05
Position 298: 9.321004518315195e-05
Position 1451: 6.687806386259873e-05
Position 939: 6.303051225927128e-05
Position 1055: 5.876276429557934e-05
Position 802: 5.6976701987253284e-05
Position 40: 4.9340770551055165e-05
Position 1377: 4.354703420350104e-05
Position 1057: 4.2764817353493074e-05
Position 118: 4.067424868105488e-05
Position 1553: 3.92500749005451e-05
Position 989: 3.7874502163302874e-05
Position 1859: 3.7084841027089645e-05
Position 115: 3.643847687359842e-05
Position 1453: 3.340591305017269e-05
Position 853: 2.9531077948600176e-05
Position 295: 2.410792505139335e-05
Position 1298: 2.348060840530832e-05
Position 1606: 2.219110050398481e-05
Position 152: 1.8528170373148565e-05
Position 245: 1.7116597768250362e-05
Position 1703: 1.693545214998774e-05
Position 1144: 1.6934278521482425e-05
Position 680: 1.5938025729819475e-05
Position 1392: 1.3440938849005847e-05
Position 1621: 9.754502602989784e-06
Position 1048: 9.27387744601819e-06
Position 72: 9.031265768584058e-06
Position 1370: 8.482012171529876e-06
Position 157: 7.242519787778917e-06
Position 1801: 6.244980978644899e-06
Position 1322: 5.577819210979128e-06
Position 1367: 5.268776728110151e-06
Position 1301: 4.058771472670495e-06
Position 832: 3.68858930417323e-06
Position 991: 3.5577869260537305e-06
Position 109: 3.5422663054288253e-06
Position 1588: 3.3794317491004853e-06
Position 102: 2.801361960816398e-06
Position 65: 1.2878021743125639e-06
Position 901: 9.309414081022163e-08
Position 701: 8.240756410503494e-08
Position 1009: 8.787093532588838e-09
Position 1341: 1.2935175904321656e-09
Position 1728: 7.700889738059896e-10
Position 741: 1.8280629367117418e-10
Position 744: 9.219966308038316e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 724: 0.9258281455977354
Position 348: 0.07483188595646716
Position 387: 0.05877834541629764
