Gene = SCOT
index = 1462
Annotated 5SS: [1467 2131 3164]
Annotated 3SS: [1931 2186 3221]
SMsplice 5SS: [ 365 2131 3164]
SMsplice 3SS: [1931 2186 3221]
top_k =  1000
Partition function (log Z): 7.749427885045619

Sorted 5' Splice Sites (High to Low Probability):
Position 3164: 0.9994258052135712
Position 2131: 0.9988303193973349
Position 365: 0.6882641770697187
Position 1467: 0.5429225887715908
Position 868: 0.2206516466688468
Position 873: 0.14064356489993163
Position 349: 0.10775981558045102
Position 864: 0.077951745288949
Position 862: 0.06876236158196476
Position 2240: 0.06200525378254034
Position 2276: 0.04614767358294572
Position 900: 0.03766989917156763
Position 696: 0.030718877946510143
Position 60: 0.019848007302552748
Position 448: 0.01321387204308729
Position 1637: 0.009423513776889696
Position 2866: 0.005399968555924005
Position 700: 0.004668316633708751
Position 2820: 0.004457139118221905
Position 218: 0.004442215699320802
Position 1148: 0.004064720122634147
Position 1042: 0.003020047783058722
Position 119: 0.0023929972670041714
Position 108: 0.0022223446392007364
Position 1123: 0.0021565670088598246
Position 242: 0.002061524794265811
Position 2813: 0.0018088300792441108
Position 555: 0.0017934159003180857
Position 1190: 0.001708359838447714
Position 1422: 0.0015422698893056705
Position 671: 0.0015122373301312403
Position 475: 0.0014687150521837317
Position 1530: 0.001392912290833615
Position 1083: 0.001352564436698242
Position 259: 0.001174662711929555
Position 1294: 0.0010784615454835533
Position 100: 0.0009648495276731893
Position 2990: 0.0007618252425977732
Position 373: 0.0007434239837211626
Position 2115: 0.0007148596639359864
Position 2501: 0.0006675094186850664
Position 2742: 0.0006618921209756574
Position 471: 0.0005870507437412448
Position 1826: 0.0005641712379762132
Position 2272: 0.0005452675040449997
Position 210: 0.0005093902921389077
Position 1652: 0.0005093292830033239
Position 1884: 0.0004893964145487859
Position 1589: 0.00048602801206059965
Position 1322: 0.0004761021730037349
Position 903: 0.00043972227959361955
Position 418: 0.0004157136428224885
Position 423: 0.000367822177156972
Position 223: 0.0003258184967112141
Position 892: 0.0003053446692861641
Position 2930: 0.00027364451629204847
Position 2642: 0.00024348853348078487
Position 163: 0.0002331892039659414
Position 1365: 0.00021941214229833825
Position 1639: 0.00020607551762630782
Position 2428: 0.0001574479441094817
Position 1355: 0.0001499602719269526
Position 1071: 0.00013708123669982564
Position 3168: 0.00013601329974834926
Position 398: 0.00012875373687476287
Position 2447: 0.00012098551968986496
Position 933: 0.00011873329578351955
Position 1553: 8.902256177931593e-05
Position 1537: 8.739478193929085e-05
Position 247: 8.04656946479878e-05
Position 379: 7.985800666214712e-05
Position 698: 7.88314070721558e-05
Position 662: 7.59182403606952e-05
Position 919: 6.324590927377942e-05
Position 133: 6.214850253236963e-05
Position 3282: 5.400166504996139e-05
Position 887: 5.27867022052391e-05
Position 1046: 4.661614931129929e-05
Position 85: 4.605200623017204e-05
Position 1375: 4.5400562993129146e-05
Position 1441: 4.330564370737468e-05
Position 2744: 4.050165450110811e-05
Position 3024: 4.029384919242913e-05
Position 1337: 3.967982832565762e-05
Position 158: 3.8468522909473485e-05
Position 783: 3.8056335180745006e-05
Position 876: 3.652853560537064e-05
Position 3364: 2.8253337488128964e-05
Position 2611: 2.543867623248512e-05
Position 2654: 2.520412836961527e-05
Position 1025: 2.384469174320462e-05
Position 262: 2.3823796647733674e-05
Position 2097: 2.289749286955673e-05
Position 315: 2.2580558977835634e-05
Position 426: 2.2255357412561898e-05
Position 353: 2.1870770952060295e-05
Position 1028: 1.9757360719835608e-05
Position 831: 1.9610566997988908e-05
Position 1271: 1.862292840041362e-05
Position 2482: 1.8466425570981313e-05
Position 993: 1.5527785699913966e-05
Position 2573: 1.5252143496099545e-05
Position 2690: 1.1997802008876905e-05
Position 3316: 1.0733620602517854e-05
Position 123: 1.0579496718085837e-05
Position 469: 1.027020797710811e-05
Position 1300: 1.0098374211895785e-05
Position 1036: 9.98013058413679e-06
Position 2280: 9.67218686043277e-06
Position 1031: 9.385044983739568e-06
Position 415: 8.498576967296458e-06
Position 432: 8.199223979034257e-06
Position 1039: 7.286412663149775e-06
Position 991: 5.993844375931516e-06
Position 2851: 5.0934738362215e-06
Position 3125: 4.124205369772853e-06
Position 1339: 4.056664879770861e-06
Position 966: 2.7114522920930097e-06
Position 1009: 2.461764714005931e-06
Position 3448: 2.2821593158973787e-06
Position 720: 2.275285893184362e-06
Position 1200: 2.028499699533489e-06
Position 3405: 1.7639083784203105e-06
Position 2020: 1.5284950609148902e-06
Position 35: 1.4391240674384635e-06
Position 3438: 1.1634984218008803e-06
Position 485: 1.0243430656047141e-06
Position 3035: 1.0188469439200512e-06
Position 3032: 9.308091926650486e-07
Position 3488: 6.707387704618292e-07
Position 265: 6.5807132786959e-07
Position 2033: 5.15808408808536e-07
Position 3261: 4.1292869089075355e-07
Position 3417: 3.39707614632536e-07
Position 94: 3.035290687967753e-07
Position 3095: 2.1714402758111065e-07
Position 3084: 1.1759474976533019e-07
Position 3366: 1.1718776255377971e-07
Position 3127: 9.2458250416883e-08
Position 3231: 7.413559636337584e-08
Position 2231: 6.79721726744594e-08
Position 3087: 6.240670280146567e-08
Position 2537: 5.768403139854858e-08
Position 2512: 4.715323863556274e-08
Position 2474: 3.57828277106502e-08
Position 2575: 2.8345750662329016e-08
Position 2010: 2.187940121039117e-08
Position 2255: 2.0603738302000035e-08
Position 2202: 2.030034212868225e-08
Position 3495: 2.02494968591312e-08
Position 3531: 7.339904605458521e-09
Position 2633: 4.147189012151898e-09
Position 2306: 3.3095797497227088e-09
Position 749: 3.2900638801626134e-09
Position 937: 1.8452859564549952e-09
Position 972: 1.113446651816512e-09
Position 2840: 1.0257389247417884e-09
Position 2233: 1.6229107770180967e-11
Position 2402: 2.356511220638137e-12
Position 3090: 2.1439571513407972e-12
Position 2941: 1.3649334940337639e-12
Position 2835: 8.071023250701574e-13
Position 3026: 2.9136849000438617e-13
Position 3244: 7.636725235727612e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 2186: 0.9995274937849683
Position 3221: 0.9991704129929457
Position 1931: 0.8595767603969814
Position 1245: 0.4882653025021275
Position 763: 0.4812677572457504
Position 1916: 0.07391156793040367
Position 2812: 0.05413533204512766
Position 3069: 0.024487985373980985
Position 736: 0.020833053734569968
Position 1693: 0.014914380241474907
Position 2616: 0.01244324556667498
Position 1523: 0.009768019935922802
Position 2920: 0.009218175550488273
Position 740: 0.008922325167516938
Position 778: 0.007231958009919689
Position 2722: 0.0063878764002485945
Position 297: 0.0044531655473695345
Position 2941: 0.004262974347435298
Position 1567: 0.004098769405686824
Position 1964: 0.003650554530850692
Position 2324: 0.00327713583076385
Position 689: 0.002673125672455355
Position 1600: 0.0024334404548414616
Position 455: 0.0022932737284738275
Position 1533: 0.002114671007361266
Position 925: 0.0020227144379903633
Position 2407: 0.001962248090851051
Position 2947: 0.001917062148677542
Position 2983: 0.0018945767291751938
Position 586: 0.0018224200197797047
Position 1401: 0.0017745724390629534
Position 2015: 0.001335087567890137
Position 432: 0.0012745573570941708
Position 201: 0.001236385296376038
Position 1815: 0.0011650948210137346
Position 2333: 0.0011357124009639525
Position 1190: 0.0011165440997155309
Position 1995: 0.0009207508674440941
Position 1872: 0.0008727116335481409
Position 240: 0.000681227792124891
Position 3236: 0.0005148310122440091
Position 638: 0.000501137763544682
Position 520: 0.00047788731703797663
Position 1046: 0.0004608610185047713
Position 662: 0.00043029723917178926
Position 2585: 0.0004033239280211676
Position 1285: 0.0003637300974160346
Position 1313: 0.0003565123150825976
Position 2683: 0.0003506894148650278
Position 671: 0.000303212767866247
Position 2297: 0.00029865624434212255
Position 2294: 0.00027277083032488646
Position 836: 0.0002672604073435683
Position 3019: 0.0002461696237264368
Position 2542: 0.00022782881340398665
Position 2460: 0.00016695574905971754
Position 1573: 0.00016335845721612624
Position 138: 0.0001577920389538339
Position 694: 0.000154197983172545
Position 1259: 0.00014312242537707515
Position 1636: 0.00012625523972152058
Position 415: 0.0001187589666786482
Position 1355: 0.0001123428871425117
Position 2437: 0.00010292968959834887
Position 2341: 9.811377552496556e-05
Position 1159: 7.633905563581871e-05
Position 595: 7.248867119413882e-05
Position 3392: 7.212213451529295e-05
Position 2773: 7.154814995397894e-05
Position 1537: 5.736988550027509e-05
Position 2470: 5.2701638268018966e-05
Position 2525: 5.09314246240677e-05
Position 2781: 4.24085666128399e-05
Position 1432: 3.82251293409399e-05
Position 145: 3.73457052042885e-05
Position 1658: 3.2312649044841904e-05
Position 2548: 3.0233392811825378e-05
Position 3413: 2.9880976558637617e-05
Position 1712: 2.936107278551451e-05
Position 2467: 2.7790745996792534e-05
Position 2224: 2.36313310093623e-05
Position 2411: 2.3442020551185428e-05
Position 485: 1.6310955739726958e-05
Position 3281: 1.5217920333172771e-05
Position 2479: 1.4853853202414804e-05
Position 3362: 1.3489272343566479e-05
Position 2551: 1.2616449320786855e-05
Position 203: 1.1349301990463095e-05
Position 1717: 1.0691772609186257e-05
Position 491: 1.0041043622369762e-05
Position 1792: 9.46746048468299e-06
