Gene = raw
index = 1854
Annotated 5SS: [  276  6194 27397 27572 27987 28273 28516 28960 29934]
Annotated 3SS: [ 5459 27289 27456 27640 28057 28356 28579 29022 30069]
SMsplice 5SS: [  276   501 27397 27572 27987 28273 28516 28960 29934]
SMsplice 3SS: [  343 27289 27456 27640 28057 28356 28579 29022 30069]
top_k =  1000
Partition function (log Z): 20.272586342710166

Sorted 5' Splice Sites (High to Low Probability):
Position 28516: 0.9994223216545508
Position 28960: 0.9974276068726768
Position 29934: 0.9923363234418269
Position 27397: 0.9912624050715997
Position 27572: 0.9860522288547152
Position 27987: 0.9748659985631896
Position 28273: 0.9697898795379672
Position 276: 0.8864833209744665
Position 501: 0.48990219396046697
Position 2468: 0.2105404473587749
Position 6194: 0.19984126597137344
Position 29212: 0.17793225068240284
Position 30193: 0.13579886723887205
Position 28678: 0.09192374151385405
Position 1372: 0.0772847223773849
Position 2273: 0.05837578229695949
Position 28683: 0.05464487641784466
Position 548: 0.05357811015334467
Position 4967: 0.04173013115600184
Position 11421: 0.030303920495388197
Position 27811: 0.02472524928307906
Position 1963: 0.022845820853630152
Position 1344: 0.019206194124821743
Position 27577: 0.012690650260613504
Position 30660: 0.010873302287404003
Position 4939: 0.010481790229059903
Position 30235: 0.010016540295870726
Position 870: 0.006642793885513137
Position 608: 0.006507931782136272
Position 4959: 0.006414108220570798
Position 3623: 0.00489013684847693
Position 30576: 0.004535001584379274
Position 883: 0.003851676456148963
Position 383: 0.0038060912828079708
Position 30380: 0.0036512312902863167
Position 29517: 0.0032211816848968615
Position 4061: 0.003124485886863712
Position 686: 0.002788129754390312
Position 259: 0.00253858738323519
Position 4657: 0.002431143769158745
Position 1266: 0.002367389230808357
Position 792: 0.002261173980174829
Position 29307: 0.002049337918712427
Position 4955: 0.002022933355383553
Position 11047: 0.0017185024293174878
Position 30229: 0.001603144227483581
Position 30556: 0.0015842893801711541
Position 28277: 0.00137107209475809
Position 28648: 0.001350499162840367
Position 28213: 0.0012460398461452036
Position 1411: 0.0012300426368368228
Position 30253: 0.0010460624165844897
Position 204: 0.00102641693652771
Position 4963: 0.0009819309012202414
Position 29962: 0.000945018872009051
Position 30140: 0.0008542668269673521
Position 28211: 0.0006561105714337233
Position 27991: 0.0006297737134278037
Position 30277: 0.0006220299982505366
Position 30243: 0.000614048683629981
Position 30201: 0.000594864471004215
Position 1541: 0.0005940634065217356
Position 28228: 0.0005655825694766077
Position 10519: 0.0005614735672442843
Position 29923: 0.0004721741659428002
Position 788: 0.0004212402292729637
Position 29322: 0.0004183487379951922
Position 28217: 0.00039568586247182655
Position 4407: 0.0003749121820760936
Position 28446: 0.00034726086419570887
Position 30333: 0.0003003623708785494
Position 30331: 0.00028689899750759535
Position 28605: 0.00028215994385959
Position 28191: 0.00027561228974224165
Position 29938: 0.0002659150117206606
Position 228: 0.00022274235579381938
Position 4833: 0.00020618810799089278
Position 1186: 0.00019574485267843256
Position 1885: 0.00017794326035548352
Position 4935: 0.00016623270539110145
Position 30412: 0.00014638970929526596
Position 28632: 0.00013786267128157296
Position 28325: 0.00013177535033780075
Position 27974: 0.00010868926019037026
Position 1118: 0.00010718730633745074
Position 30469: 9.947150959555347e-05
Position 30614: 9.90199053900153e-05
Position 28286: 9.868519787563089e-05
Position 29244: 9.107201539830675e-05
Position 1221: 8.850942482715184e-05
Position 28520: 8.288750907551867e-05
Position 30341: 8.193095527102737e-05
Position 1990: 8.059123639218143e-05
Position 29206: 6.573571063302232e-05
Position 28944: 6.359205161892717e-05
Position 728: 5.945065014179351e-05
Position 152: 5.8479714336908805e-05
Position 1252: 5.5081831098950426e-05
Position 182: 5.454144276746905e-05
Position 1070: 4.6264755042768525e-05
Position 28164: 4.1482606946842436e-05
Position 734: 4.052384657167129e-05
Position 27894: 4.014041506512068e-05
Position 29751: 3.91992645884104e-05
Position 921: 3.9135056486345695e-05
Position 400: 3.110813554046541e-05
Position 489: 2.8784999158881263e-05
Position 108: 2.5254393494231728e-05
Position 28121: 2.4643473523568088e-05
Position 28964: 2.0703468066261787e-05
Position 340: 2.0559827693093098e-05
Position 1358: 2.043588809545493e-05
Position 29170: 1.9020982953242097e-05
Position 30553: 1.727716194211594e-05
Position 30367: 1.69588895302464e-05
Position 28603: 1.6299046138440342e-05
Position 177: 1.4652857011083606e-05
Position 28473: 1.4299553820742641e-05
Position 860: 1.373001002254343e-05
Position 485: 1.2300695206960338e-05
Position 30410: 1.0992434001036495e-05
Position 28862: 1.099194428095842e-05
Position 29892: 1.0858839462257045e-05
Position 28849: 9.910817147672407e-06
Position 726: 9.814405881627681e-06
Position 28868: 9.023229606583109e-06
Position 487: 8.719452773231423e-06
Position 27826: 8.686467221472321e-06
Position 1762: 8.554809788015657e-06
Position 30562: 8.546585283785381e-06
Position 285: 7.405706229347103e-06
Position 29325: 7.178128354878595e-06
Position 79: 7.090338056190622e-06
Position 29455: 6.219101333884373e-06
Position 70: 5.859858767323917e-06
Position 27689: 5.263338487681081e-06
Position 645: 4.652866154695351e-06
Position 445: 4.594296715627813e-06
Position 28851: 4.309592945513955e-06
Position 28584: 4.22944730095753e-06
Position 27833: 4.163379667663322e-06
Position 29000: 3.4291388697790693e-06
Position 30592: 3.3068952618045993e-06
Position 40: 3.123887411172801e-06
Position 747: 3.0385948740713996e-06
Position 28416: 2.9880865663372013e-06
Position 343: 2.8348716399917747e-06
Position 30150: 2.781290294092793e-06
Position 28424: 2.703207024100612e-06
Position 27844: 2.5549062177025243e-06
Position 88: 2.4397847751193256e-06
Position 28929: 2.3129626520201778e-06
Position 28492: 2.138590354489342e-06
Position 29873: 2.100831377669485e-06
Position 29880: 2.0987323178039433e-06
Position 29249: 1.9410694535110704e-06
Position 28844: 1.635618723955685e-06
Position 974: 1.480025210456734e-06
Position 304: 1.4439011561234695e-06
Position 1329: 1.4005213525488148e-06
Position 337: 1.2277852725824358e-06
Position 1182: 1.1247444610929143e-06
Position 29883: 1.0875801669058378e-06
Position 28061: 1.032210229184813e-06
Position 930: 9.208513084659838e-07
Position 29663: 7.912806452656155e-07
Position 836: 7.042695515851936e-07
Position 28339: 5.420182401597897e-07
Position 29347: 5.26375717916309e-07
Position 30300: 4.722814513134295e-07
Position 661: 4.5880281055487454e-07
Position 28119: 4.4040898174539706e-07
Position 334: 4.3675648656489756e-07
Position 28985: 3.0702323373574863e-07
Position 29755: 2.82050155002546e-07
Position 1041: 2.600811524542711e-07
Position 626: 2.491714618188199e-07
Position 505: 2.462269859306444e-07
Position 586: 2.457847137922293e-07
Position 491: 2.2836692670386902e-07
Position 474: 1.9986157159370524e-07
Position 29646: 1.962931587293649e-07
Position 29950: 1.4724877448391776e-07
Position 29474: 1.3807889708775878e-07
Position 29419: 1.365122861171138e-07
Position 29941: 1.1975285533334127e-07
Position 431: 1.0199132177067435e-07
Position 29101: 8.441573522145954e-08
Position 1175: 7.689499966309413e-08
Position 145: 7.439420542583077e-08
Position 29914: 6.584409218689922e-08
Position 29364: 6.311556599692726e-08
Position 28133: 6.234178950598447e-08
Position 125: 6.122705937201744e-08
Position 29479: 4.76253880523716e-08
Position 130: 4.5496841056676006e-08
Position 29416: 4.253581052988456e-08
Position 1400: 3.328631696474185e-08
Position 718: 2.9405238215747273e-08
Position 682: 2.852756212078602e-08
Position 320: 2.6350653178152245e-08
Position 29493: 2.209533271176338e-08
Position 29155: 1.731757229690646e-08
Position 469: 1.715191732586353e-08
Position 584: 1.5866235254103618e-08
Position 29088: 1.517917286599373e-08
Position 30184: 1.2912292420524494e-08
Position 690: 1.2905334885390284e-08
Position 990: 1.1800373810124408e-08
Position 699: 1.0566808298051432e-08
Position 28384: 1.0066303856203596e-08
Position 29521: 8.946261136609811e-09
Position 554: 8.346569641799936e-09
Position 29137: 7.772648192152117e-09
Position 863: 6.844243309781661e-09
Position 493: 6.377837022345197e-09
Position 436: 5.166687165064927e-09
Position 29072: 3.4690182004689766e-09
Position 30289: 1.8881817996897127e-09
Position 29005: 1.5099556455355783e-09
Position 29031: 1.1726286142018735e-09
