Gene = REPTOR-BP
index = 1399
Annotated 5SS: [140 509 761]
Annotated 3SS: [423 638 821]
SMsplice 5SS: [509 765]
SMsplice 3SS: [638 821]
top_k =  1000
Partition function (log Z): 5.901251756305989

Sorted 5' Splice Sites (High to Low Probability):
Position 509: 0.9931224328066549
Position 765: 0.9118864983851166
Position 961: 0.13089954486766628
Position 969: 0.06418392988275863
Position 761: 0.047746679455195826
Position 140: 0.04092422488742019
Position 744: 0.029574754432530444
Position 224: 0.011821247965712493
Position 210: 0.007500839654862864
Position 551: 0.004808799565345644
Position 731: 0.0037866003059232028
Position 137: 0.0027048348398531433
Position 258: 0.001382248304685366
Position 169: 0.000545828577786239
Position 734: 0.00035011931240271717
Position 228: 0.0003304145386924604
Position 266: 0.00022149729351473058
Position 878: 0.0002172034197608996
Position 278: 0.00014582045100980726
Position 566: 0.00010178011564391673
Position 324: 9.720284382092903e-05
Position 58: 9.296210739608421e-05
Position 115: 6.0532488209209126e-05
Position 177: 5.5883676692091345e-05
Position 166: 4.7889954152910194e-05
Position 1010: 4.257040151158035e-05
Position 64: 3.443451613214611e-05
Position 197: 3.354781326194441e-05
Position 376: 2.9341878820920173e-05
Position 710: 2.1488620105185057e-05
Position 574: 2.1449915234304665e-05
Position 77: 2.1214635474530196e-05
Position 20: 1.4796035575541125e-05
Position 264: 1.1460241487406691e-05
Position 842: 1.0562133185716819e-05
Position 222: 6.43912584596791e-06
Position 688: 5.0609542002835665e-06
Position 786: 4.306364131138794e-06
Position 50: 4.174130819402473e-06
Position 256: 3.2190709062970997e-06
Position 61: 3.170860417950822e-06
Position 10: 2.5977909280192756e-06
Position 3: 1.9035507393452132e-06
Position 474: 7.436846877540554e-07
Position 821: 6.881347015109005e-07
Position 594: 6.158292241761415e-07
Position 694: 4.998943719060343e-07
Position 1045: 4.7153086490841636e-07
Position 390: 1.748900471610242e-07
Position 1054: 1.3514503663824862e-07
Position 440: 1.2779527647900916e-07
Position 654: 1.1692102965819064e-08
Position 621: 6.680206181167765e-12
Position 623: 6.326715973487579e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 638: 0.9996514684299028
Position 821: 0.9872754389913507
Position 1035: 0.1794839175309308
Position 426: 0.04614773904842441
Position 1059: 0.01589835240004815
Position 423: 0.009931054214654095
Position 842: 0.005560939342591124
Position 210: 0.004855027736046823
Position 298: 0.0017209912784512925
Position 324: 0.0005091815016761247
Position 358: 0.0004656740346388808
Position 316: 0.000392187328223826
Position 566: 0.00022141399759934837
Position 1098: 0.00016932430128072443
Position 1068: 0.0001662628488717859
Position 933: 0.00012203114083429885
Position 645: 7.182798079838064e-05
Position 1079: 6.336455807088459e-05
Position 246: 4.304757360242401e-05
Position 369: 3.462530883109135e-05
Position 463: 2.1238171129399922e-05
Position 214: 1.345723474823895e-05
Position 648: 1.2774352143883138e-05
Position 435: 1.0770278894105855e-05
Position 887: 1.0648091138706466e-05
Position 1001: 8.888864983132907e-06
Position 878: 7.10057174654807e-06
Position 449: 5.126027564117568e-06
Position 853: 2.796012097986766e-06
Position 574: 2.752168393789983e-06
Position 75: 1.2968774926768358e-06
Position 163: 1.2287431582878386e-06
Position 939: 7.298264871332746e-07
Position 103: 6.236322850219184e-07
Position 467: 5.006255834626051e-07
Position 682: 4.547958351456689e-07
Position 909: 2.0290727293339173e-07
Position 499: 1.3401042736990668e-07
Position 654: 7.028662712105399e-08
Position 660: 6.439385642328109e-08
Position 105: 6.164400510890052e-08
Position 137: 3.733049189336291e-08
Position 58: 3.722472143683484e-08
Position 471: 2.9879602352963935e-08
Position 679: 2.7108100002697147e-08
Position 97: 2.3878649525292047e-08
Position 77: 1.764441404813363e-08
Position 127: 5.4564561207086015e-09
Position 48: 3.367263035265861e-09
Position 694: 3.2177489519183795e-09
Position 508: 1.6810880668134572e-09
Position 757: 4.13659773182696e-10
Position 847: 3.074681179655605e-10
Position 703: 6.533438074867446e-11
Position 727: 6.467948192847929e-11
Position 513: 4.906910537903262e-11
Position 724: 2.585858464741821e-11
Position 50: 3.601725075081e-12
