Gene = gnu
index = 1717
Annotated 5SS: [129]
Annotated 3SS: [186]
SMsplice 5SS: [129]
SMsplice 3SS: [186]
top_k =  1000
Partition function (log Z): -5.39183900381133

Sorted 5' Splice Sites (High to Low Probability):
Position 129: 0.9910234069560452
Position 330: 0.021498148813499773
Position 359: 0.012551094329433878
Position 14: 0.006774801226897888
Position 280: 0.003899220757720668
Position 132: 0.0012495655709118668
Position 592: 0.0007148093368473093
Position 340: 0.0004286284266305734
Position 119: 0.00017457540797564543
Position 609: 0.0001459276197521188
Position 149: 0.00013834127531202453
Position 353: 0.00012369953692847755
Position 88: 6.918572097837205e-05
Position 448: 6.511334984165692e-05
Position 157: 5.42652618201366e-05
Position 4: 4.9229479158955385e-05
Position 584: 3.726172914881617e-05
Position 672: 2.2615743226077226e-05
Position 426: 1.586498058499053e-05
Position 625: 1.5399504495144556e-05
Position 774: 8.577245725377547e-06
Position 893: 7.35168297266991e-06
Position 816: 6.130451468774986e-06
Position 442: 5.7496743118853306e-06
Position 691: 5.519618733009167e-06
Position 637: 4.133208668629141e-06
Position 267: 3.99409343676748e-06
Position 699: 3.6763887904226456e-06
Position 18: 3.0369710006267054e-06
Position 391: 2.7583749301744486e-06
Position 44: 1.3017464374405598e-06
Position 421: 3.4077259990560973e-07
Position 72: 3.362528056541773e-07
Position 66: 2.3320127512957133e-07
Position 57: 1.0433975068295937e-07
Position 249: 1.2949787858293746e-08
Position 54: 1.0967123332956036e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 186: 0.9922557203849297
Position 404: 0.03510294769745474
Position 231: 0.004333632728558214
Position 442: 0.0018606636685767441
Position 340: 0.0017794831713180376
Position 741: 0.0015930201461253383
Position 246: 0.0013352571070282602
Position 659: 0.0004705383716665108
Position 472: 0.00010766812254990574
Position 896: 6.016720939836693e-05
Position 554: 3.359126825621527e-05
Position 522: 2.8958256212093018e-05
Position 551: 2.6008615716565853e-05
Position 758: 1.947883815633606e-05
Position 264: 1.8274336704219185e-05
Position 637: 1.3115858893732827e-05
Position 126: 1.1254586728090134e-05
Position 448: 1.1032170155913967e-05
Position 515: 9.897710360135e-06
Position 274: 8.9425011921824e-06
Position 952: 7.421627191887999e-06
Position 157: 6.1044393882838895e-06
Position 743: 3.5616010023835077e-06
Position 314: 2.7971975025983446e-06
Position 797: 2.554295976116276e-06
Position 602: 4.0775822217395256e-07
Position 106: 3.998026770430094e-07
Position 508: 2.554407073844916e-07
Position 691: 2.4865776908726807e-07
Position 492: 1.8521851048318297e-07
Position 761: 1.5628910706157982e-07
Position 132: 1.4276329514285497e-07
Position 572: 1.3987799737870586e-07
Position 592: 8.488747614540287e-08
Position 526: 8.180720889104348e-08
Position 128: 7.221633443388598e-08
Position 869: 3.422771571458566e-08
Position 609: 3.37135701914516e-08
Position 278: 2.733927612054784e-08
Position 677: 2.56887851434422e-08
Position 622: 2.1984399876357855e-08
Position 533: 1.3375041514547934e-08
Position 467: 7.759677944707305e-12
Position 289: 9.94548762702197e-14
Position 519: 3.2414814318279017e-14
