Gene = snRNP-U1-70K
index = 1883
Annotated 5SS: [149]
Annotated 3SS: [227]
SMsplice 5SS: [149]
SMsplice 3SS: [227]
top_k =  1000
Partition function (log Z): -6.452221539434612

Sorted 5' Splice Sites (High to Low Probability):
Position 149: 0.9909347509934822
Position 693: 0.2478312958768673
Position 2276: 0.1979400552016932
Position 633: 0.1123003701350444
Position 1671: 0.09000863145601665
Position 2413: 0.07911535213877957
Position 768: 0.056162291050956215
Position 522: 0.03592716285750825
Position 2032: 0.034852889637961494
Position 1896: 0.031397659858160676
Position 1837: 0.030913568427134552
Position 1644: 0.021315753820905402
Position 248: 0.010126892329656535
Position 2521: 0.006987447665540536
Position 2035: 0.006425948383679755
Position 2016: 0.005076180431764522
Position 1614: 0.004211705037995078
Position 1763: 0.0031129919821340202
Position 2474: 0.0030081789470149667
Position 1168: 0.0027081788194500645
Position 2726: 0.0022284932712660827
Position 1029: 0.001853354677386694
Position 721: 0.0017285422304412024
Position 2531: 0.0017143375000940157
Position 2460: 0.0016101987841016963
Position 1943: 0.001606786181757571
Position 1233: 0.0015486853259803848
Position 1371: 0.0013797090321457654
Position 1605: 0.0013260007086036997
Position 2769: 0.0012037631539938384
Position 1835: 0.001078016188459936
Position 2645: 0.001069825534435694
Position 1455: 0.0009676908141415449
Position 535: 0.0009150723602830054
Position 1618: 0.000882051415683152
Position 2760: 0.0007119142224737658
Position 1785: 0.0006854869395900348
Position 2816: 0.00057338391099875
Position 1867: 0.0005358828975103451
Position 400: 0.0005315599550770808
Position 95: 0.0004975115561331771
Position 2737: 0.0004448260691187339
Position 1660: 0.0004043150908673765
Position 2744: 0.000370593656678409
Position 2789: 0.0003666029104243643
Position 449: 0.00034635162021655455
Position 957: 0.00021635522171491612
Position 373: 0.00019913480382593803
Position 183: 0.00017373638594126722
Position 503: 0.00014866306809619304
Position 108: 0.00013926488238358287
Position 153: 0.00011382944268896415
Position 2006: 6.969879495126429e-05
Position 1841: 6.560425710085988e-05
Position 1609: 4.950121776782845e-05
Position 1731: 3.6453191219058564e-05
Position 1483: 3.390411075941763e-05
Position 613: 3.2664202226689e-05
