Gene = swm
index = 1903
Annotated 5SS: [ 132  707 1248 3619 3839]
Annotated 3SS: [ 414  781 1305 3709 3908]
SMsplice 5SS: [ 707 1248 3619 3839]
SMsplice 3SS: [ 781 1308 3709 3908]
top_k =  1000
Partition function (log Z): 4.8990034788947785

Sorted 5' Splice Sites (High to Low Probability):
Position 1248: 0.9969485888669043
Position 707: 0.9948719411608336
Position 3619: 0.98708936362429
Position 3839: 0.9800866065301403
Position 2485: 0.3211948722219776
Position 1563: 0.135850355595042
Position 2345: 0.12536932081370503
Position 224: 0.12492169039892762
Position 132: 0.04670107156916592
Position 2341: 0.045905696507931255
Position 449: 0.03383522845720052
Position 1579: 0.029907182037097
Position 1745: 0.024403509487059567
Position 216: 0.023750963294308373
Position 2129: 0.02270234114076093
Position 2069: 0.019846500742901497
Position 220: 0.018211546270030878
Position 498: 0.01791699997510758
Position 1439: 0.01785367745635816
Position 374: 0.013052445877368106
Position 2813: 0.01205305257302942
Position 264: 0.009885859733898026
Position 49: 0.009417167113430349
Position 1960: 0.007994223346339476
Position 1421: 0.007431147916429376
Position 3982: 0.006877652822757581
Position 4188: 0.005082246076280533
Position 439: 0.004764213013030671
Position 386: 0.004752664733757338
Position 2051: 0.00401732733141975
Position 1451: 0.0037030138836146014
Position 4168: 0.002363870253832762
Position 1749: 0.002152529968790518
Position 1496: 0.001925015395637046
Position 1925: 0.0017467719317818423
Position 2407: 0.0016760684198940082
Position 1658: 0.0016298158242710695
Position 277: 0.0015697265738198894
Position 1261: 0.0014724317385240117
Position 260: 0.0013934673830263186
Position 2134: 0.0011775901833051305
Position 258: 0.001089979482603827
Position 241: 0.0009058698261353537
Position 299: 0.0008884855494396357
Position 3744: 0.0007954726074641995
Position 4207: 0.0007549563536634426
Position 54: 0.0006869006391392007
Position 4150: 0.000655942074519356
Position 4239: 0.0006132851741534312
Position 4186: 0.0005914663520224356
Position 1412: 0.0005641919236427983
Position 1074: 0.000529626824355705
Position 4173: 0.0004952985442733893
Position 2858: 0.00048321091704193797
Position 2560: 0.0004797773658042479
Position 245: 0.00043330170605269366
Position 1613: 0.0004328398180031741
Position 1068: 0.00042839001909012966
Position 3968: 0.00033369191293207006
Position 1801: 0.00033348389895546603
Position 1688: 0.00030576662687697493
Position 94: 0.00029004192844833037
Position 3993: 0.00026192611157843833
Position 1965: 0.0002557627216571353
Position 915: 0.000248813032182494
Position 249: 0.00019998487618520948
Position 2535: 0.00019220538203683495
Position 2565: 0.00018093065524115798
Position 292: 0.00017517582266558525
Position 1484: 0.00017147596319800715
Position 1402: 0.00016275042195377422
Position 1532: 0.0001354281433142849
Position 1139: 0.00013370808298996992
Position 3927: 0.00012415589746585403
Position 1035: 0.00011329168031309614
Position 3960: 0.00011242594424606821
Position 893: 0.00010665051485173925
Position 2465: 0.00010363105199018253
Position 203: 8.765191954560572e-05
Position 960: 8.62614684236783e-05
Position 2593: 7.343647514728911e-05
Position 91: 7.060296977433043e-05
Position 262: 5.940687379521535e-05
Position 147: 5.03385873917165e-05
Position 3843: 4.155031864037706e-05
Position 456: 4.137050951745016e-05
Position 22: 4.070877385344934e-05
Position 3199: 3.712345335623322e-05
Position 4483: 3.701415399728124e-05
Position 711: 3.568122136373846e-05
Position 4352: 3.538966148510285e-05
Position 4460: 3.413111791463114e-05
Position 1557: 3.35861529688067e-05
Position 3989: 3.338172076802534e-05
Position 2966: 2.795398607905692e-05
Position 4324: 2.7591182726259386e-05
Position 4106: 2.6468163911365554e-05
Position 1706: 2.4858359461146736e-05
Position 1110: 2.4815360343726695e-05
Position 1258: 2.3938267156017808e-05
Position 1134: 2.2795930129899965e-05
Position 113: 1.8981457178453098e-05
Position 690: 1.6035951317269895e-05
Position 3737: 1.5772660869647598e-05
Position 75: 1.3779050368554013e-05
Position 1514: 1.2368226598470139e-05
Position 910: 1.1590563266761657e-05
Position 1252: 1.084655431225786e-05
Position 268: 8.958837829556017e-06
Position 1366: 7.9948983449976e-06
Position 4033: 7.450977824563136e-06
Position 243: 7.216307413746588e-06
Position 480: 7.1326549999921376e-06
Position 4126: 6.229314504176342e-06
Position 4129: 6.178336216360931e-06
Position 271: 5.845777739273813e-06
Position 526: 5.811589803608871e-06
Position 991: 4.868279802666247e-06
Position 3817: 4.623625827948368e-06
Position 4213: 4.596377442455091e-06
Position 4666: 4.3994821768061455e-06
Position 1424: 4.13190600493163e-06
Position 524: 3.99801850384333e-06
Position 693: 3.0246695114300247e-06
Position 4470: 2.913467846906284e-06
Position 228: 2.84959909095599e-06
Position 885: 2.440660850816219e-06
Position 1278: 2.1449570696103324e-06
Position 2010: 1.8668984241207976e-06
Position 235: 1.7941330188411948e-06
Position 138: 1.7520800980176549e-06
Position 1283: 1.727905660271725e-06
Position 627: 1.5738992016783165e-06
Position 151: 1.2668418540118893e-06
Position 2548: 1.1850954175815428e-06
Position 2171: 1.1216585077699633e-06
Position 2308: 1.0225116707835365e-06
Position 136: 6.956567638968307e-07
Position 1014: 5.758107102090486e-07
Position 153: 3.695238698757143e-07
Position 1755: 2.6783706955907203e-07
Position 1338: 2.310603323873023e-07
Position 1218: 1.1940413331035693e-07
Position 1373: 3.0477688158582524e-08
Position 816: 3.006473230201377e-08
Position 2080: 8.5832272947942e-09
Position 1951: 7.994356129326603e-09
Position 3757: 1.736534834484464e-09
Position 4241: 5.976434357926345e-10
Position 4216: 5.112584917355879e-10
Position 1153: 2.3254177447661905e-10
Position 2647: 5.490978574376273e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 781: 0.995122029627085
Position 3709: 0.9914861627147125
Position 3908: 0.9538857738497503
Position 1308: 0.7931991749420265
Position 2670: 0.2795728010489838
Position 1630: 0.17736978160839115
Position 414: 0.16701974403153583
Position 2559: 0.11381942442111
Position 560: 0.10354059034387744
Position 1305: 0.09124784222433406
Position 1338: 0.07681001411624103
Position 1837: 0.0467315365257065
Position 2690: 0.03992688515383437
Position 2406: 0.028237376034177048
Position 2693: 0.021661092313263557
Position 2886: 0.020834033345010765
Position 2126: 0.01999997263952724
Position 4404: 0.019522592924168
Position 3442: 0.017215452880557328
Position 565: 0.015369891756529808
Position 2283: 0.014934665134817149
Position 611: 0.012905126204439154
Position 4025: 0.011796499457182998
Position 1373: 0.008550871222796843
Position 2420: 0.0067729561323367285
Position 4357: 0.006407354717044564
Position 2617: 0.004989966176909169
Position 3796: 0.004045814353244085
Position 614: 0.003129409232738965
Position 2535: 0.002990463642344221
Position 3757: 0.0027233512175969415
Position 336: 0.0022857093153051877
Position 2454: 0.002270753889366632
