Gene = chb
index = 1645
Annotated 5SS: [193]
Annotated 3SS: [5243]
SMsplice 5SS: [  193  5352 10157]
SMsplice 3SS: [ 5243  9953 10217]
top_k =  1000
Partition function (log Z): -10.676042470130884

Sorted 5' Splice Sites (High to Low Probability):
Position 193: 0.9709233176520821
Position 5352: 0.6324285059776502
Position 10157: 0.5117928835598509
Position 4593: 0.07766623610137809
Position 10107: 0.05165973736322937
Position 4588: 0.0300448100673659
Position 9427: 0.02920131734529537
Position 5709: 0.022540428316077152
Position 4950: 0.019944153375889978
Position 4931: 0.014776694249641347
Position 9842: 0.014612505709022713
Position 933: 0.013867622003449015
Position 3676: 0.011318860692978773
Position 71: 0.008972048335063623
Position 5090: 0.008511083385355417
Position 4874: 0.007923999636131596
Position 10001: 0.0066376317826843025
Position 585: 0.006594436557821698
Position 5437: 0.005661543203257583
Position 10044: 0.0033772849044749757
Position 10307: 0.0023978279040944516
Position 4169: 0.0020586597704238293
Position 7680: 0.0016457777401688437
Position 938: 0.0013490952744810833
Position 4601: 0.0013283778418586255
Position 3684: 0.0012441779755267422
Position 2038: 0.0012266051966172056
Position 197: 0.0011614338028475726
Position 689: 0.0010267635834881345
Position 7059: 0.0010190103643425577
Position 3700: 0.0009365607857729033
Position 1585: 0.0009274631761125355
Position 7321: 0.0009262586182735909
Position 149: 0.0008893513922632548
Position 4839: 0.0008399758760153602
Position 5373: 0.0007963458053717803
Position 4534: 0.0007687918044393762
Position 5138: 0.000767417977633453
Position 3688: 0.0007361641250623316
Position 1178: 0.0005521453033869145
Position 1678: 0.0005090756389915508
Position 823: 0.0004958344378704951
Position 4512: 0.0004690394022601428
Position 763: 0.0004279362725218363
Position 1432: 0.00042549006976619146
Position 1331: 0.0003386334351642774
Position 7009: 0.00033739213245441365
Position 494: 0.00028855501516769985
Position 488: 0.0002832128688335909
Position 7624: 0.00026078460233773597
Position 942: 0.0002469770660564653
Position 4173: 0.0002165953700652772
Position 827: 0.00020167135207103934
Position 831: 0.00018779381687891172
Position 3888: 0.00018001505541702067
Position 3680: 0.0001556507599410458
Position 3893: 0.00014894402113621827
Position 748: 0.00014858560558742145
Position 8740: 0.00014798069044114081
Position 3261: 0.0001472898519827042
Position 2009: 0.00014518227251443029
Position 4969: 0.00014011778640204956
Position 703: 0.00011865098858284167
Position 288: 0.00010043256365111068
Position 3694: 9.610738309465117e-05
Position 6575: 8.289870590127459e-05
Position 2938: 7.543090711164089e-05
Position 899: 7.288681889396943e-05
Position 989: 6.531807430655005e-05
Position 2147: 6.531460495226277e-05
Position 1655: 6.490402570472843e-05
Position 2050: 4.5428635473043056e-05
Position 4904: 4.1539515299791223e-05
Position 4100: 4.1352349945668377e-05
Position 3312: 4.011055852256447e-05
Position 6543: 3.847310667527502e-05
Position 6156: 3.462995288560597e-05
Position 168: 3.0282953414491134e-05
Position 4748: 3.0072212693226712e-05
Position 5753: 2.812325040820674e-05
Position 349: 2.79857360702487e-05
Position 1060: 2.6612732039307788e-05
Position 161: 2.1029347549974082e-05
Position 3175: 2.0983359306548207e-05
Position 127: 2.086227853874879e-05
Position 881: 2.0345724310433994e-05
Position 6126: 1.9392840905546628e-05
Position 3453: 1.8376985000966576e-05
Position 2934: 1.762080036369562e-05
Position 1338: 1.7543173100705002e-05
Position 4538: 1.6978635602225416e-05
Position 1535: 1.6608614849767746e-05
Position 8436: 1.657710443008473e-05
Position 2471: 1.2883177048347446e-05
Position 657: 1.1716561750964873e-05
Position 302: 1.1486557120369384e-05
Position 3932: 1.0389533069509524e-05
Position 3392: 1.0180418476572558e-05
Position 6423: 5.166916770268069e-06
Position 3982: 3.6811612894084597e-06
Position 3969: 1.7859074651284064e-06
Position 7720: 1.4495146246126587e-06
Position 512: 2.358431263603346e-07
Position 599: 8.802906712363964e-08
Position 423: 5.090512647782609e-08
Position 318: 5.043582740172714e-08
Position 243: 1.922831783841558e-08
Position 183: 1.3467604864218501e-08
Position 19: 1.2295784206238789e-08
Position 548: 1.1879789992599111e-08
Position 450: 1.1234930705724706e-08
Position 125: 1.0772264450976849e-08
Position 471: 9.766287212447816e-09
Position 1043: 6.456338282890425e-09
Position 874: 5.334265509901712e-09
Position 1182: 4.950616321542908e-09
Position 1107: 3.041235425337849e-09
Position 1322: 2.042633204893621e-09
Position 1097: 1.9643235507044084e-09
Position 5961: 1.1493966449582832e-09
Position 5829: 1.1421341112330252e-09
Position 270: 2.2744948947223453e-10
Position 106: 6.435712250337311e-11
Position 572: 2.0511027740666135e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 10217: 0.8001475812967864
Position 9953: 0.6672635810735492
Position 5243: 0.6642794725888459
Position 4426: 0.05471488163991919
Position 4296: 0.053136792153037134
Position 4667: 0.038677681521939795
Position 9950: 0.025099297128729704
Position 9285: 0.02109302460948378
Position 8594: 0.016121230154037783
Position 4482: 0.01163950169249443
Position 3014: 0.010989332464307206
Position 7087: 0.007126071362012634
Position 10410: 0.00672799168964901
Position 9325: 0.006459813035422504
Position 10104: 0.005894358976118513
Position 270: 0.005590496202480867
Position 5252: 0.005469241649574748
Position 7744: 0.005374718129180858
Position 9458: 0.005040386698556861
Position 7124: 0.0049777049219939555
Position 4647: 0.0047746135360914625
Position 10367: 0.004273980342572452
Position 8144: 0.0038274585506732507
Position 10073: 0.003776286092454109
Position 4238: 0.0035883729663890294
Position 9157: 0.0033052626998337125
Position 3792: 0.003083488830341051
Position 133: 0.002905684331260774
Position 4039: 0.001918229581297906
Position 10161: 0.0017359129137952505
Position 8789: 0.0014291042054479766
Position 8645: 0.0013655689165715968
Position 7455: 0.0013488672953490511
Position 6181: 0.0013358868542073358
Position 8150: 0.0013218231004192003
Position 10421: 0.001277661348131519
Position 771: 0.0012316606085212818
Position 2850: 0.0011223575577480709
Position 6861: 0.0008455017563785782
Position 6644: 0.000843971494314854
Position 10123: 0.0008236286420739528
Position 5201: 0.0008017569396961317
