Gene = CAH2
index = 58
Annotated 5SS: [2555 4548 4837]
Annotated 3SS: [4074 4608 4897]
SMsplice 5SS: [  69 4548 4837]
SMsplice 3SS: [4074 4608 4897]
top_k =  1000
Partition function (log Z): 5.845273986943348

Sorted 5' Splice Sites (High to Low Probability):
Position 4837: 0.9998499106616384
Position 4548: 0.9992356828896478
Position 69: 0.8643569355435005
Position 2555: 0.08561821307747257
Position 1932: 0.08117138916491229
Position 278: 0.07085814497300337
Position 1580: 0.04245185756056756
Position 4191: 0.027415422752483924
Position 2308: 0.01756512009923202
Position 4326: 0.0162565046125499
Position 140: 0.01613903889084914
Position 1671: 0.015979939671165712
Position 319: 0.01502553609804383
Position 381: 0.01344419320133591
Position 388: 0.013127630658761925
Position 2321: 0.00996758845556305
Position 5163: 0.007898080782401009
Position 999: 0.007352295899479067
Position 5283: 0.005164346281460731
Position 2473: 0.004437168298732454
Position 834: 0.003988664215576986
Position 872: 0.003984780992731729
Position 1518: 0.0037344416639231467
Position 4728: 0.003721289064540959
Position 809: 0.0021006820436329796
Position 3886: 0.0017219165033994846
Position 3617: 0.0012745217466439344
Position 2489: 0.0012600715765327013
Position 272: 0.0011582203432065996
Position 4324: 0.0009710409857326065
Position 361: 0.0008093095654334936
Position 3445: 0.0007607180895713098
Position 5174: 0.0007277349680893699
Position 4716: 0.0006814015258431937
Position 1972: 0.0006390455910973674
Position 5398: 0.0005611929906150239
Position 1380: 0.0004523284449673175
Position 1562: 0.00042326261715721063
Position 144: 0.0004210385277180262
Position 1601: 0.00040555159575275077
Position 3500: 0.00038579133246260163
Position 1239: 0.0003298727326262619
Position 343: 0.0003233897661595248
Position 152: 0.0002692815250877508
Position 256: 0.0002313760254632915
Position 3447: 0.00018902452506930505
Position 5646: 0.00018797323635316347
Position 1141: 0.00014330116363960184
Position 5160: 0.00013857830063762145
Position 5139: 0.00012928575134825348
Position 4684: 0.00010680752182639172
Position 618: 0.00010668872173435898
Position 5062: 0.00010021240347451164
Position 4984: 7.97562511909713e-05
Position 1226: 7.717144218834307e-05
Position 1814: 6.126939588860637e-05
Position 942: 5.516818275736553e-05
Position 957: 4.10500399257832e-05
Position 425: 3.686019893520558e-05
Position 5223: 3.655208235000939e-05
Position 4609: 3.626316793522177e-05
Position 5313: 3.169872106729809e-05
Position 4739: 2.7342336540283627e-05
Position 5116: 2.2156720684875766e-05
Position 39: 2.1489708436036014e-05
Position 506: 2.10616060208895e-05
Position 5152: 1.9848124657715876e-05
Position 5507: 1.7903878867957497e-05
