Gene = Osi21
index = 1349
Annotated 5SS: [816]
Annotated 3SS: [984]
SMsplice 5SS: [816]
SMsplice 3SS: [984]
top_k =  1000
Partition function (log Z): -2.0585942580321497

Sorted 5' Splice Sites (High to Low Probability):
Position 816: 0.9913274145053418
Position 273: 0.03382540390857518
Position 262: 0.0163556621497595
Position 793: 0.005385842105745704
Position 271: 0.005182815254573514
Position 218: 0.00377565633355511
Position 60: 0.0034678176442880077
Position 852: 0.0010522661868757118
Position 615: 0.0009778642433402878
Position 139: 0.0007904503658054503
Position 548: 0.0004591254806516448
Position 559: 0.00043087068284789875
Position 715: 0.0003504804643340303
Position 1079: 0.0003461896853777435
Position 803: 0.00033115726502706724
Position 839: 0.00023819216056001044
Position 1243: 0.00017350538440826012
Position 830: 0.00016763608062858967
Position 1269: 0.00013094755839165097
Position 135: 0.00011080214220211857
Position 1283: 8.565307934688627e-05
Position 538: 8.403573357753307e-05
Position 245: 8.205546463992219e-05
Position 160: 7.12234231476884e-05
Position 190: 5.7887711738619365e-05
Position 847: 5.668788019130058e-05
Position 886: 3.593262822437545e-05
Position 380: 2.7735251777688624e-05
Position 1087: 2.6430387052927936e-05
Position 1117: 1.9903407410640305e-05
Position 833: 1.8011124950935792e-05
Position 1228: 1.5443147884689474e-05
Position 1065: 1.2190889345866407e-05
Position 148: 1.1660454528513298e-05
Position 1147: 9.853698019682286e-06
Position 27: 9.229222450593774e-06
Position 1126: 9.188320816830766e-06
Position 110: 8.353048899490264e-06
Position 85: 8.29379010560317e-06
Position 665: 8.03063507168313e-06
Position 1052: 7.961951841816104e-06
Position 1307: 6.385983084663031e-06
Position 1124: 5.628464564780282e-06
Position 1280: 5.582424390429736e-06
Position 212: 4.933858483524892e-06
Position 1046: 4.4177593955043705e-06
Position 1257: 3.7585748431091294e-06
Position 703: 3.4035272304069913e-06
Position 21: 3.2994874201398977e-06
Position 619: 3.0842804844290025e-06
Position 563: 2.2280846888909756e-06
Position 117: 2.211880608639716e-06
Position 557: 1.7297865218817914e-06
Position 605: 1.4767042960770693e-06
Position 1184: 1.3899122381955758e-06
Position 1149: 1.0998791813363242e-06
Position 1041: 7.468534407492482e-07
Position 622: 4.932022770693222e-07
Position 1168: 4.242841301604176e-07
Position 446: 4.220934196976478e-07
Position 373: 3.969766167377877e-07
Position 1135: 3.431302781760823e-07
Position 894: 2.9523891125285575e-07
Position 341: 2.751879432212225e-07
Position 13: 1.4676726837893157e-07
Position 656: 7.792038012597768e-08
Position 1023: 8.685940237398427e-09
Position 998: 5.077066385376343e-09
Position 947: 2.89617502041896e-12
Position 462: 3.221166121205223e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 984: 0.9515888120869505
Position 341: 0.058220558492517505
Position 941: 0.04788968032283787
Position 321: 0.003086291820789754
Position 672: 0.0011720544656598914
Position 492: 0.0006111036750580128
Position 773: 0.0005298086745487397
Position 1307: 0.00039196957902397345
Position 1365: 0.00034366535970155684
Position 142: 0.00032786183659702623
Position 1135: 0.0002808678996096338
Position 212: 0.00016333995024379433
Position 696: 0.0001226482606237691
Position 886: 0.00011722972853704322
Position 1018: 9.235645101205642e-05
Position 160: 9.094108474036221e-05
Position 325: 8.444389952442766e-05
Position 710: 5.005104984707197e-05
Position 232: 4.0240519168102004e-05
Position 597: 3.7367668255864595e-05
Position 615: 3.626783791995147e-05
Position 1034: 3.580358603072232e-05
Position 541: 3.561534535718166e-05
Position 108: 2.88187696278461e-05
Position 369: 2.451317948540004e-05
Position 1117: 1.996143480289799e-05
Position 1114: 1.643653528352367e-05
Position 357: 1.5842242831580627e-05
Position 1195: 1.4482615094395363e-05
Position 868: 1.4391500882161817e-05
Position 396: 1.3639519658549613e-05
Position 750: 1.2124421162302339e-05
Position 753: 1.1344408174197248e-05
Position 1228: 9.795724506833019e-06
Position 1272: 8.121140285535525e-06
Position 373: 7.443610966945771e-06
Position 89: 6.988875697565447e-06
Position 714: 5.860909820878623e-06
Position 1286: 5.326386700113693e-06
Position 501: 4.978156634888795e-06
Position 1367: 3.9856868724421415e-06
Position 417: 2.6337719999008787e-06
Position 93: 2.627963735597019e-06
Position 173: 2.5772983766205502e-06
Position 600: 2.524679619958078e-06
Position 588: 2.194479936477057e-06
Position 1071: 1.8753161289469245e-06
Position 582: 1.8613541492294365e-06
Position 170: 1.5861340218567308e-06
Position 289: 1.442260248437188e-06
Position 1199: 1.2524108760950745e-06
Position 405: 1.070854123043128e-06
Position 1330: 7.271202876526357e-07
Position 117: 6.678883730277162e-07
Position 1254: 6.498408017787193e-07
Position 1144: 6.102544767709731e-07
Position 185: 5.995363884734566e-07
Position 1251: 5.656232497540004e-07
Position 846: 4.0118624284559276e-07
Position 176: 3.421754199272712e-07
Position 266: 2.1760920377873255e-07
Position 1023: 1.7049127208092595e-07
Position 1280: 1.6233960758293764e-07
Position 777: 1.3294536333894195e-07
Position 393: 9.099476451371753e-08
Position 852: 5.649730282723042e-08
Position 478: 1.827103703158022e-08
Position 792: 1.5500054176457425e-08
Position 1209: 8.269580389780653e-09
Position 269: 5.445226684380732e-09
Position 815: 3.1589108243832815e-09
Position 64: 3.801984257100353e-10
Position 59: 6.725413712737673e-11
Position 252: 4.622378344010275e-11
Position 346: 4.0063759582521204e-12
Position 407: 1.2962421783108685e-13
