Gene = fs(2)ltoPP43
index = 1709
Annotated 5SS: [ 312 1269 2628]
Annotated 3SS: [ 807 2448 2692]
SMsplice 5SS: [ 312 1269 2628]
SMsplice 3SS: [ 807 2448 2692]
top_k =  1000
Partition function (log Z): 5.320601864616442

Sorted 5' Splice Sites (High to Low Probability):
Position 2628: 0.9988186687781221
Position 1269: 0.9780595398109183
Position 312: 0.737288306687178
Position 735: 0.637186546328779
Position 554: 0.29736040486495285
Position 2953: 0.037296668972317745
Position 1842: 0.015318488618914642
Position 728: 0.00838426415701248
Position 1282: 0.007352785195714889
Position 340: 0.004762199038486323
Position 1543: 0.0036756808046263943
Position 1582: 0.0030448344845717405
Position 696: 0.0023922092808505973
Position 438: 0.0010680713711781788
Position 1527: 0.001004671338161313
Position 1782: 0.0008909428067779881
Position 1641: 0.000811516484968972
Position 287: 0.0007950446175392752
Position 2187: 0.0007458488637911045
Position 645: 0.000678438345293092
Position 1729: 0.0006680809601749045
Position 1411: 0.0006567276538183586
Position 2258: 0.0005204431001686374
Position 40: 0.0005087062438221263
Position 1423: 0.0003973697566067377
Position 593: 0.0003684047266144448
Position 623: 0.00036622845673991603
Position 723: 0.0003653927861931925
Position 1417: 0.0003382103568197683
Position 1323: 0.00033141913445337503
Position 1719: 0.00032940130502351046
Position 1639: 0.00029884653633983693
Position 2617: 0.00025706897037909137
Position 1427: 0.00025471591475234953
Position 1437: 0.0002259933727235632
Position 640: 0.0001957340092209924
Position 249: 0.00017218602610174295
Position 1431: 0.00017181066581571644
Position 2023: 0.00016645780306255643
Position 2596: 0.0001608642632219758
Position 515: 0.00014580402166862786
Position 1421: 0.00013674577782313188
Position 1901: 0.00013448314678329306
Position 364: 0.0001277633468469735
Position 1376: 0.00012504187079365387
Position 1944: 0.0001165715850719801
Position 567: 0.00010444588595832344
Position 2583: 9.147194034010506e-05
Position 2281: 7.719828607399217e-05
Position 965: 7.699323577466741e-05
Position 1415: 6.938059428747603e-05
Position 279: 6.889240715395037e-05
Position 976: 6.752566248375855e-05
Position 2268: 6.709065679409406e-05
Position 408: 6.707239312591694e-05
Position 1186: 6.528877419259132e-05
Position 1299: 5.674953194631203e-05
Position 412: 5.4580705969626144e-05
Position 1040: 4.2028911996417904e-05
Position 908: 4.1383447121983494e-05
Position 871: 3.666321364226247e-05
Position 1546: 3.538180134296996e-05
Position 2637: 3.493182384337394e-05
Position 57: 3.228287958965321e-05
Position 237: 2.919974870810688e-05
Position 1007: 2.902764967375632e-05
Position 1384: 2.242373021799264e-05
Position 1112: 2.1246233687095797e-05
Position 2882: 1.7419885077381398e-05
Position 597: 1.6783237371462857e-05
Position 824: 1.559560809119334e-05
Position 225: 1.3673030079119004e-05
Position 1836: 9.647225688029057e-06
Position 77: 7.645016247589563e-06
Position 616: 7.314902551492937e-06
Position 444: 7.221596448030352e-06
Position 2639: 6.140622690991842e-06
Position 28: 5.134173567003242e-06
Position 863: 4.951705928895615e-06
Position 2790: 4.406538252135406e-06
Position 74: 4.251035199752052e-06
Position 2646: 3.908067122869975e-06
Position 569: 2.271430871228922e-06
Position 2599: 2.096410604169862e-06
Position 600: 1.0246970089061032e-06
Position 114: 9.434396768347922e-07
Position 117: 8.709621581259535e-07
Position 2761: 7.956589101983981e-07
Position 973: 6.490701938592842e-07
Position 791: 5.770747090363359e-07
Position 84: 5.617725908994774e-07
Position 1457: 3.8201900108919125e-07
Position 162: 2.7275402322005777e-07
Position 1441: 2.5420409383007515e-07
Position 421: 2.527088089988087e-07
Position 633: 2.2961844824939744e-07
Position 390: 2.003472653879236e-07
Position 1047: 1.5047341357996792e-07
Position 2803: 9.965042059429997e-08
Position 1403: 8.44121097964933e-08
