Gene = Adi1
index = 14
Annotated 5SS: [193 352 542 793]
Annotated 3SS: [273 413 698 851]
SMsplice 5SS: [193 352 542 793]
SMsplice 3SS: [273 413 698 851]
top_k =  1000
Partition function (log Z): 6.984851488467936

Sorted 5' Splice Sites (High to Low Probability):
Position 793: 0.999650001346954
Position 542: 0.9934728186920383
Position 197: 0.8657864162879365
Position 393: 0.11412494743991503
Position 162: 0.005008604674474496
Position 363: 0.0037166791679307883
Position 178: 0.002025545539480721
Position 329: 0.0016922953352094625
Position 231: 0.0013160402427748337
Position 956: 0.0011986208052159322
Position 523: 0.0010791273060353098
Position 79: 0.0004724901315266691
Position 941: 0.00037051343005889897
Position 16: 0.00022889053815331928
Position 574: 0.00019944143625706955
Position 84: 0.000199042135446429
Position 546: 0.00012157860353736956
Position 797: 0.00011108048101181691
Position 969: 6.857222167330481e-05
Position 534: 6.715813265668082e-05
Position 633: 3.7533636521334475e-05
Position 604: 2.83512690241205e-05
Position 288: 2.695011769301291e-05
Position 73: 2.0192631436322973e-05
Position 551: 1.5347896355827992e-05
Position 431: 7.550957473471861e-06
Position 727: 6.374536992978275e-06
Position 455: 6.025660885125043e-06
Position 43: 3.52009739814786e-06
Position 36: 3.032305372033039e-06
Position 29: 2.2744642019484868e-06
Position 63: 4.2649408120028976e-07
Position 53: 4.241132058899396e-07
Position 666: 5.254995010069144e-08
Position 931: 4.545070150258701e-08
Position 714: 2.795720027079578e-08
Position 879: 3.749010418085847e-09
Position 910: 3.1746414798124625e-09
Position 730: 2.7832572323310103e-09
Position 891: 1.421821164972887e-09
Position 835: 6.142067012323658e-11
Position 868: 1.0894650278296763e-11
Position 840: 1.7570433554716572e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 851: 0.9867398708705281
Position 698: 0.9376743061068952
Position 273: 0.8103107360925282
Position 441: 0.10442957840610288
Position 413: 0.06887663994518305
Position 604: 0.05889315943492735
Position 862: 0.013136950232644799
Position 455: 0.006045424194748574
Position 1019: 0.0016404425522829212
Position 462: 0.0012886399984367663
Position 726: 0.0012394752501053421
Position 610: 0.00047567266267710835
Position 63: 0.0001726769678265422
Position 705: 4.55806728697547e-05
Position 78: 4.4015514511683846e-05
Position 294: 1.1303710067771291e-05
Position 431: 9.483195210143623e-06
Position 757: 9.225599424502162e-06
Position 735: 8.836634735949918e-06
Position 574: 8.00403554791469e-06
Position 231: 4.599387909636055e-06
Position 111: 1.0616354941653763e-06
Position 983: 1.0191524421073474e-06
Position 515: 3.039702595892909e-07
Position 320: 2.708486117582428e-07
Position 739: 2.277906346293523e-07
Position 99: 1.7881709083681444e-07
Position 582: 8.082533348223144e-08
Position 950: 6.757074907946731e-08
Position 356: 5.8618289078005314e-08
Position 351: 2.6004314711339596e-08
Position 494: 2.4498905047491343e-08
Position 171: 1.4674749405287124e-08
Position 168: 1.4067025125539498e-08
Position 288: 1.3881111532154472e-08
Position 956: 5.993171877762646e-09
Position 192: 4.964406065495634e-09
Position 296: 3.9065183140290636e-09
Position 542: 3.190038351083225e-09
Position 204: 1.3091346501898465e-09
Position 247: 8.157284125425623e-10
Position 546: 7.407164416101429e-10
Position 120: 3.797519732090628e-10
Position 797: 1.5524024797022487e-10
Position 197: 1.469764251613459e-11
