Gene = obst-E
index = 1829
Annotated 5SS: [182]
Annotated 3SS: [2773]
SMsplice 5SS: [182]
SMsplice 3SS: [2773]
top_k =  1000
Partition function (log Z): -6.436156724192748

Sorted 5' Splice Sites (High to Low Probability):
Position 182: 0.4664493653154112
Position 1746: 0.4309000011902062
Position 870: 0.40636228097868266
Position 308: 0.1786377090608639
Position 599: 0.15670467560881482
Position 1811: 0.14158857214766574
Position 1039: 0.09888548879898386
Position 285: 0.07654004350263062
Position 382: 0.05370127078628804
Position 2592: 0.0527375933568744
Position 633: 0.048962829567338884
Position 156: 0.03723136329928377
Position 590: 0.03645041208052747
Position 1988: 0.036319151248172775
Position 2226: 0.031539808505085594
Position 1312: 0.01626015838405553
Position 2501: 0.014366543333188203
Position 1652: 0.013552516960339833
Position 1614: 0.013504497789187187
Position 2368: 0.010952558615186122
Position 2245: 0.010577816663580429
Position 3294: 0.009073855186781844
Position 3245: 0.008642785976498184
Position 2557: 0.007322940535130148
Position 471: 0.0061538247424664134
Position 2545: 0.006094790158034037
Position 2448: 0.005623409457444229
Position 1319: 0.005582111326854297
Position 1418: 0.004768949512069318
Position 400: 0.004439820947771139
Position 1995: 0.004115709410021239
Position 531: 0.004051844570076911
Position 2609: 0.003667184904887586
Position 2613: 0.0035848032247539643
Position 2554: 0.003076934740529589
Position 2007: 0.002625490250928562
Position 927: 0.0025512891917241045
Position 2126: 0.0024996216499397353
Position 944: 0.002383661363328616
Position 2198: 0.0022685493374046744
Position 2106: 0.002165863193460408
Position 2370: 0.0020614675318786795
Position 885: 0.001691469495119298
Position 2041: 0.0012642936735149358
Position 648: 0.001257121246060182
Position 1658: 0.001212303391675813
Position 2492: 0.0011604217901011239
Position 1303: 0.0011063957788199279
Position 186: 0.0009940848810282973
Position 787: 0.0008555160847276914
Position 168: 0.000854659014367103
Position 697: 0.0008014283113694454
Position 275: 0.0007813845738123621
Position 2483: 0.0006303483945708522
Position 1329: 0.0006130880845226918
Position 2467: 0.0005906125055107347
Position 953: 0.0005719539616861532
Position 2015: 0.0005632812922603533
Position 2255: 0.0005173642575994139
Position 2399: 0.0005157814275113255
Position 2381: 0.0005040395550434908
Position 312: 0.00045822571719149796
Position 3285: 0.0004427110924173657
Position 1092: 0.0004079877450748766
Position 828: 0.0003684874439469569
Position 1422: 0.000356488986604316
Position 605: 0.0002961366754319702
Position 2181: 0.0002774409245862243
Position 2148: 0.00026323951057838065
Position 2094: 0.00023471895495503847
Position 1760: 0.00022008512123227483
Position 71: 0.00020993835882236248
Position 2046: 0.0002030336253328947
Position 2349: 0.00012735030305025495
Position 809: 0.00012055488865803354
Position 57: 8.546024781127975e-05
Position 1750: 8.193082627638917e-05
Position 250: 6.696438657209133e-05
Position 3448: 6.310198267040402e-05
Position 1261: 5.8570969811850764e-05
Position 1343: 5.2193705673684295e-05
Position 32: 4.6714158745035516e-05
Position 196: 4.5482404311027924e-05
Position 662: 4.065670729449063e-05
Position 1101: 2.7731541761738836e-05
Position 506: 2.5847651045107444e-05
Position 837: 2.5625683361543573e-05
Position 23: 1.985600437330705e-05
Position 83: 1.983256624107606e-05
Position 160: 1.977820188794984e-05
Position 451: 1.6750340145695817e-05
Position 434: 1.0036353727871445e-05
Position 6: 9.515235460908707e-06
Position 888: 5.6635822384887605e-06
Position 265: 4.050990478921502e-06
Position 874: 2.3970675345821247e-06
Position 906: 1.8166879600873345e-06
Position 40: 1.409805979897314e-06
Position 146: 1.2372487975523805e-06
Position 997: 7.531335056444592e-07
Position 482: 6.046790693483997e-07
Position 1072: 5.790893460759731e-07
Position 1007: 4.83517348346525e-07
Position 234: 3.1376386912090424e-07
